Customer_ID,Penalty_Cost
1,0.00045
2,0.00045
3,0.00089
4,0.00045
5,0.00045
6,0.00045
7,0.00134
8,0.00045
9,0.01425
10,0.00223
11,0.00045
12,0.00045
13,0.00267
14,0.00045
15,0.02048
16,0.27015
17,0.00045
18,0.00045
19,0.00178
20,0.00045
21,0.00045
22,0.01723
23,0.07257
24,0.01336
25,0.00045
26,0.00045
27,0.00089
28,0.01302
29,0.01158
30,0.00045
31,0.00045
32,0.0049
33,0.00267
34,0.00045
35,0.00356
36,0.02493
37,0.00045
38,0.00045
39,0.00045
40,0.00089
41,0.00045
42,0.01647
43,0.00223
44,0.0336
45,0.00045
46,0.00178
47,0.02237
48,0.00045
49,0.00134
50,0.00089
51,0.00089
52,0.00045
53,0.00045
54,0.00045
55,0.00045
56,0.00045
57,0.00045
58,0.02281
59,0.00846
60,0.00045
61,0.00178
62,0.00045
63,0.00312
64,0.00045
65,0.00045
66,0.00089
67,0.00178
68,0.00134
69,0.00089
70,0.00134
71,0.00045
72,0.00045
73,0.00045
74,0.00045
75,0.02706
76,0.06186
77,0.00045
78,0.00178
79,0.00045
80,0.02326
81,0.00045
82,0.00045
83,0.00045
84,0.00134
85,0.02014
86,0.00223
87,0.00045
88,0.00178
89,0.00134
90,0.00045
91,0.00134
92,0.00579
93,0.00312
94,0.00045
95,0.00045
96,0.00579
97,0.00045
98,0.00045
99,0.00089
100,0.01569
101,0.00045
102,0.00356
103,0.02192
104,0.00045
105,0.00267
106,0.00757
107,0.02326
108,0.00045
109,0.00356
110,0.00089
111,0.00089
112,0.00178
113,0.00045
114,0.00089
115,0.00045
116,0.00401
117,0.02326
118,0.00045
119,0.00045
120,0.00045
121,0.02326
122,0.02281
123,0.00045
124,0.00045
125,0.02326
126,0.00045
127,0.00668
128,0.00045
129,0.00223
130,0.00134
131,0.00045
132,0.00134
133,0.00045
134,0.00045
135,0.00312
136,0.00178
137,0.00045
138,0.00045
139,0.00045
140,0.00045
141,0.00267
142,0.00045
143,0.00045
144,0.00045
145,0.00045
146,0.00089
147,0.00089
148,0.00045
149,0.00045
150,0.00089
151,0.00045
152,0.00045
153,0.00045
154,0.00178
155,0.00089
156,0.00178
157,0.00045
158,0.00089
159,0.00089
160,0.00089
161,0.00089
162,0.00267
163,0.00045
164,0.00045
165,0.00045
166,0.00045
167,0.00045
168,0.00045
169,0.00045
170,0.00045
171,0.00045
172,0.00267
173,0.00267
174,0.00045
175,0.00134
176,0.00045
177,0.00178
178,0.00045
179,0.00401
180,0.00045
181,0.00089
182,0.00045
183,0.00045
184,0.02326
185,0.00089
186,0.00045
187,0.00045
188,0.00223
189,0.00045
190,0.00045
191,0.00089
192,0.00045
193,0.00089
194,0.00178
195,0.00045
196,0.00045
197,0.00045
198,0.00267
199,0.00089
200,0.00089
201,0.00045
202,0.00267
203,0.00045
204,0.00045
205,0.00045
206,0.00045
207,0.00045
208,0.00134
209,0.00045
210,0.00045
211,0.02326
212,0.00045
213,0.00045
214,0.00045
215,0.00267
216,0.00045
217,0.00045
218,0.00089
219,0.00267
220,0.00045
221,0.00045
222,0.00045
223,0.00045
224,0.00445
225,0.00045
226,0.00089
227,0.02326
228,0.02326
229,0.00045
230,0.00045
231,0.00045
232,0.00089
233,0.00089
234,0.00045
235,0.00045
236,0.00045
237,0.00045
238,0.00045
239,0.00089
240,0.02281
241,0.00045
242,0.00045
243,0.00223
244,0.00178
245,0.00045
246,0.00134
247,0.00134
248,0.00045
249,0.00045
250,0.00045
251,0.00045
252,0.00045
253,0.00089
254,0.02326
255,0.00089
256,0.00089
257,0.02281
258,0.00045
259,0.00134
260,0.00045
261,0.00045
262,0.00045
263,0.00045
264,0.00045
265,0.00045
266,0.00045
267,0.00045
268,0.00045
269,0.00045
270,0.00045
271,0.00045
272,0.00579
273,0.00178
274,0.00089
275,0.00045
276,0.00045
277,0.00045
278,0.00045
279,0.00045
280,0.00045
281,0.00045
282,0.00045
283,0.00045
284,0.00178
285,0.00045
286,0.00045
287,0.00045
288,0.00045
289,0.00045
290,0.00045
291,0.00045
292,0.00045
293,0.00045
294,0.00089
295,0.00045
296,0.00045
297,0.00045
298,0.00045
299,0.00045
300,0.00045
301,0.00134
302,0.00045
303,0.00045
304,0.00045
305,0.00045
306,0.00089
307,0.00045
308,0.00045
309,0.00045
310,0.00178
311,0.00045
312,0.00045
313,0.00045
314,0.00045
315,0.00045
316,0.00045
317,0.00045
318,0.00045
319,0.00045
320,0.00134
321,0.00045
322,0.00045
323,0.00045
324,0.00045
325,0.02326
326,0.00089
327,0.00045
328,0.00045
329,0.00045
330,0.00045
331,0.00045
332,0.00045
333,0.00045
334,0.00045
335,0.02326
336,0.02326
337,0.00045
338,0.00223
339,0.02281
340,0.00045
341,0.00045
342,0.00178
343,0.00045
344,0.00045
345,0.00045
346,0.00045
347,0.00045
348,0.00045
349,0.00045
350,0.00045
351,0.00045
352,0.00045
353,0.00045
354,0.00045
355,0.00045
356,0.00045
357,0.00045
358,0.00045
359,0.00045
360,0.00045
361,0.00045
362,0.00045
363,0.00045
364,0.00045
365,0.00045
366,0.00045
367,0.00045
368,0.00045
369,0.00045
370,0.00089
371,0.00045
372,0.00045
373,0.00045
374,0.00089
375,0.00045
376,0.00045
377,0.00045
378,0.00045
379,0.00045
380,0.00089
381,0.00089
382,0.00045
383,0.00045
384,0.00045
385,0.00045
386,0.00045
387,0.00045
388,0.00045
389,0.00045
390,0.00045
391,0.00045
392,0.00045
393,0.00089
394,0.00045
395,0.00045
396,0.02326
397,0.00045
398,0.00045
399,0.00045
400,0.00045
401,0.02326
402,0.00089
403,0.00045
404,0.02326
405,0.00045
406,0.00045
407,0.00045
408,0.00045
409,0.00045
410,0.00045
411,0.00045
412,0.00045
413,0.00045
414,0.00045
415,0.00045
416,0.00045
417,0.00045
418,0.00045
419,0.02326
420,0.00045
421,0.00045
422,0.00045
423,0.00045
424,0.00045
425,0.00089
426,0.00045
427,0.00045
428,0.00045
429,0.02326
430,0.00045
431,0.00045
432,0.00045
433,0.00045
434,0.00045
435,0.00045
436,0.00045
437,0.02326
438,0.00045
439,0.00045
440,0.00045
441,0.00045
442,0.00045
443,0.00045
444,0.00045
445,0.00089
446,0.00045
447,0.00045
448,0.00045
449,0.00045
450,0.00045
451,0.00045
452,0.00045
453,0.00045
454,0.00045
455,0.00045
456,0.00045
457,0.00045
458,0.00045
459,0.00045
460,0.00045
461,0.00045
462,0.00045
463,0.00045
464,0.00045
465,0.00045
466,0.00045
467,0.00045
468,0.00045
469,0.00045
470,0.00045
471,0.00045
472,0.00045
473,0.00045
474,0.00045
475,0.02326
476,0.00045
477,0.00045
478,0.00045
479,0.00045
480,0.00045
481,0.02326
482,0.00045
483,0.00045
484,0.00045
485,0.02326
