unit_id,event_type,start_time_id,end_time_id,event_cost
COGEN_035,START,1,159,0.0
COGEN_035,START,160,168,4.5333
COGEN_038,START,1,1,0.0
COGEN_038,START,2,2,3.399975
COGEN_038,START,3,168,4.5333
COGEN_053,START,1,1,0.0
COGEN_053,START,2,2,2.461125
COGEN_053,START,3,168,3.2815
COGEN_056,START,1,1,0.0
COGEN_056,START,2,2,2.35275
COGEN_056,START,3,168,3.137
COGEN_059,START,1,1,0.0
COGEN_059,START,2,2,3.2625
COGEN_059,START,3,168,4.35
COGEN_062,START,1,1,0.0
COGEN_062,START,2,2,3.2878125
COGEN_062,START,3,168,4.38375
COGEN_101,START,1,1,0.0
COGEN_101,START,2,2,2.938455
COGEN_101,START,3,3,5.22392
COGEN_101,START,4,4,6.856395
COGEN_101,START,5,5,7.83588
COGEN_101,START,6,168,8.162375
COGEN_035,STOP,1,1,4.5333
COGEN_035,STOP,2,168,0.0
COGEN_038,STOP,1,167,4.5333
COGEN_038,STOP,168,168,3.399975
COGEN_053,STOP,1,1,4.92225
COGEN_053,STOP,2,167,3.2815
COGEN_053,STOP,168,168,2.461125
COGEN_056,STOP,1,1,4.89372
COGEN_056,STOP,2,167,3.137
COGEN_056,STOP,168,168,2.35275
COGEN_059,STOP,1,1,6.786
COGEN_059,STOP,2,167,4.35
COGEN_059,STOP,168,168,3.2625
COGEN_062,STOP,1,1,6.95555
COGEN_062,STOP,2,167,4.38375
COGEN_062,STOP,168,168,3.2878125
COGEN_101,STOP,1,1,16.199175
COGEN_101,STOP,2,164,8.162375
COGEN_101,STOP,165,165,7.83588
COGEN_101,STOP,166,166,6.856395
COGEN_101,STOP,167,167,5.22392
COGEN_101,STOP,168,168,2.938455
