unit_id,mode_id,fixed_cost,fuel_price_per_mmbtu,fuel_consumption_rate_mmbtu_per_mwh
COGEN_014,1,0.0,3.12,0.005762820512820513
COGEN_014,2,0.0,4.85,0.0034948453608247424
COGEN_014,3,0.0,4.2,0.0038595238095238092
COGEN_014,4,0.0,3.8,0.0041263157894736845
COGEN_019,1,0.0,2.47,0.0224412955465587
COGEN_019,2,0.0,2.47,0.022020242914979754
COGEN_019,3,0.0,2.17,0.025170506912442398
COGEN_022,1,0.0,4.6,0.0
COGEN_023,1,0.0,3.8,0.0
COGEN_024,1,0.0,4.12,0.05941747572815534
COGEN_026,1,0.0,2.06,0.1433592233009709
COGEN_027,1,0.0,4.91,0.046668024439918535
COGEN_028,1,0.0,4.5,0.05205111111111111
COGEN_029,1,0.0,2.64,0.08845454545454545
COGEN_030,1,0.0,2.55,0.06367843137254903
COGEN_031,1,0.0,2.55,0.09401960784313726
COGEN_032,1,0.0,2.91,0.04831615120274914
COGEN_035,1,0.0,3.57,0.014109243697478992
COGEN_035,2,0.0,3.3,0.014818181818181819
COGEN_035,3,0.0,2.87,0.017261324041811847
COGEN_035,4,0.0,3.84,0.0129140625
COGEN_038,1,0.0,2.42,0.02081404958677686
COGEN_038,2,0.0,2.88,0.016979166666666667
COGEN_038,3,0.0,3.1,0.015980645161290323
COGEN_038,4,0.0,3.37,0.014715133531157271
COGEN_046,1,0.0,4.36,0.03573853211009174
COGEN_053,1,0.0,2.6,0.02524230769230769
COGEN_053,2,0.0,3.54,0.018502824858757063
COGEN_056,1,0.0,3.78,0.016425925925925927
COGEN_056,2,0.0,2.14,0.02919626168224299
COGEN_056,3,0.0,3.82,0.01642408376963351
COGEN_059,1,0.0,2.51,0.02310756972111554
COGEN_059,2,0.0,2.2,0.025981818181818182
COGEN_062,1,0.0,4.85,0.012051546391752578
COGEN_062,2,0.0,4.9,0.01146530612244898
COGEN_062,3,0.0,4.43,0.012442437923250565
COGEN_067,1,0.0,2.91,0.013415807560137456
COGEN_070,1,0.0,2.29,0.1260524017467249
COGEN_071,1,0.0,4.05,0.008180246913580247
COGEN_071,2,0.0,3.32,0.009897590361445784
COGEN_072,1,0.0,2.37,0.07379746835443038
COGEN_079,1,0.0,3.49,0.08271060171919771
COGEN_084,1,0.0,2.1,0.1344904761904762
COGEN_086,1,0.0,4.73,0.03697674418604651
COGEN_089,1,0.0,2.78,0.040327338129496404
COGEN_089,2,0.0,3.99,0.027563909774436086
COGEN_092,1,0.0,2.94,0.07547278911564625
COGEN_101,1,0.0,3.56,0.00776685393258427
