VehicleID,1,2,3,4,5,6,7,8,9,10,11,12
1,3595.0,3595.0,1833.0,3595.0,0.0,0.0,3595.0,3595.0,1833.0,3595.0,0.0,0.0
2,3100.0,3100.0,1257.0,3100.0,1355.0,7797.0,3100.0,3100.0,1257.0,3100.0,1355.0,7797.0
3,2685.0,2685.0,1257.0,2685.0,1176.0,6214.0,2685.0,2685.0,1257.0,2685.0,1176.0,6214.0
4,2940.0,2940.0,1980.0,2940.0,1980.0,7145.0,2940.0,2940.0,1980.0,2940.0,1980.0,7145.0
5,3100.0,3100.0,1816.0,3100.0,1926.0,7011.0,3100.0,3100.0,1816.0,3100.0,1926.0,7011.0
6,3100.0,3100.0,1816.0,3100.0,1983.0,7797.0,3100.0,3100.0,1816.0,3100.0,1983.0,7797.0
7,0.0,0.0,0.0,0.0,1926.0,7011.0,0.0,0.0,0.0,0.0,1926.0,7011.0
8,3100.0,3100.0,1257.0,3100.0,0.0,0.0,3100.0,3100.0,1257.0,3100.0,0.0,0.0
9,2448.0,2448.0,1652.0,2448.0,1652.0,5954.0,2448.0,2448.0,1652.0,2448.0,1652.0,5954.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
