team_id,researcher_id
0,15
0,20
0,35
0,117
1,71
1,76
2,17
2,20
2,100
3,45
3,88
3,107
4,17
4,106
5,54
5,61
5,64
5,84
6,45
6,61
6,95
7,25
7,76
8,41
8,67
8,79
9,51
9,59
9,84
10,11
10,21
10,51
10,60
11,20
11,49
11,105
11,109
12,38
12,41
13,58
13,83
13,93
14,12
14,26
14,49
14,74
15,10
15,95
15,113
16,21
16,64
16,113
16,119
17,56
17,98
17,109
17,122
18,59
18,62
19,12
19,72
19,122
19,123
20,5
20,69
20,79
21,55
21,89
21,113
21,125
22,37
22,64
23,66
23,81
23,102
24,19
24,24
24,64
25,18
25,46
25,112
26,7
26,41
26,45
26,56
27,52
27,57
27,86
27,103
28,32
28,47
28,60
28,61
29,85
29,86
30,1
30,29
30,84
31,7
31,30
31,52
31,66
32,11
32,34
33,25
33,53
34,56
34,101
34,107
35,34
35,75
35,109
35,118
36,29
36,41
36,88
36,100
37,9
37,99
38,100
38,124
39,0
39,24
39,37
39,51
40,0
40,44
40,100
41,19
41,102
41,112
42,2
42,48
42,86
42,113
43,33
43,53
43,80
43,95
44,14
44,97
44,120
45,5
45,58
45,63
46,72
46,81
46,104
47,21
47,79
47,94
47,108
48,28
48,31
49,25
49,40
49,112
50,26
50,65
50,107
50,110
51,3
51,36
51,68
51,106
52,52
52,69
53,6
53,41
53,115
54,30
54,40
54,96
54,111
55,28
55,74
56,29
56,52
56,60
56,97
57,65
57,117
58,0
58,66
58,81
59,6
59,19
59,41
59,66
60,17
60,47
60,125
61,78
61,80
61,95
61,100
62,12
62,13
62,40
62,57
63,37
63,48
63,71
63,72
64,38
64,92
65,8
65,43
65,101
66,4
66,17
66,42
66,120
67,8
67,24
67,82
68,94
68,107
68,111
68,121
69,17
69,28
69,44
69,65
70,1
70,86
71,5
71,27
71,65
71,93
72,22
72,116
73,9
73,23
73,100
74,40
74,87
74,89
75,11
75,58
75,59
75,86
76,66
76,68
76,77
76,101
77,56
77,70
77,82
77,109
78,3
78,69
78,105
78,115
79,50
79,102
79,115
80,85
80,109
81,69
81,97
81,102
81,121
82,17
82,28
82,73
82,112
83,6
83,95
84,16
84,45
84,91
85,8
85,18
85,39
85,126
86,60
86,74
86,90
87,32
87,114
88,27
88,127
