resource_id,option_id,contribution
1,12,3
1,13,4
1,14,4
1,15,4
1,16,3
1,17,4
1,18,4
1,36,3
1,37,4
1,38,4
1,39,4
1,127,3
1,128,4
1,157,3
1,158,4
1,159,4
1,160,4
1,161,4
1,178,3
1,179,4
1,180,4
1,181,4
1,288,3
1,289,4
1,290,4
1,291,4
1,292,4
1,307,3
1,308,4
1,390,3
1,391,4
1,666,3
1,667,4
1,1381,3
1,1382,4
1,1383,4
1,1384,4
1,1385,4
1,1386,4
1,1387,4
1,1388,4
1,1389,4
1,1390,4
1,1391,4
1,1392,4
1,1393,4
1,1394,4
1,1395,4
1,1396,4
1,1397,4
1,1398,4
1,1399,4
1,1400,4
1,1401,4
1,1402,4
1,1403,3
1,1404,4
1,1405,4
1,1406,4
1,1407,4
1,1408,4
1,1409,4
1,1410,4
1,1411,4
1,1412,4
1,1413,4
1,1414,4
1,1415,4
1,1416,4
1,1462,3
1,1463,4
1,1464,4
1,1465,4
1,1466,4
1,1467,4
1,1468,4
1,1469,4
1,1470,4
1,1471,4
1,1472,4
1,1473,4
1,1474,4
1,1475,4
1,1476,4
1,1477,4
1,1478,4
1,1479,4
1,1480,4
1,1481,4
1,1482,4
1,1483,4
1,1501,3
1,1502,4
1,1503,4
1,1504,4
1,1505,4
1,1506,4
1,1507,4
1,1508,4
1,1509,4
1,1510,4
1,1511,4
1,1512,4
1,1513,4
1,1514,4
1,1532,3
1,1533,4
1,1534,4
1,1535,4
1,1536,4
1,1537,4
1,1538,4
1,1539,4
1,1540,4
1,1541,4
1,1542,4
1,1543,4
1,1544,4
1,1545,4
1,1567,3
1,1568,4
1,1569,4
1,1570,4
1,1571,4
1,1572,4
1,1573,4
1,1574,4
1,1575,4
1,1576,4
1,1577,4
1,1578,4
1,1579,4
1,1580,4
1,1598,3
1,1599,4
1,1600,4
1,1601,4
1,1602,4
1,1603,4
1,1604,4
1,1605,4
1,1606,4
1,1607,4
1,1608,4
1,1609,4
1,1610,3
1,1611,4
1,1612,4
1,1613,4
1,1614,4
1,1615,4
1,1616,4
1,1617,4
1,1618,4
1,1619,4
1,1620,4
1,1621,4
1,1622,4
1,1623,4
1,1672,3
1,1673,4
1,1674,4
1,1675,4
1,1676,4
1,1677,4
1,1678,4
1,1679,4
1,1680,4
1,1681,4
1,1682,4
1,1683,4
1,1684,4
1,1685,4
1,1686,4
1,1687,4
1,1688,4
1,1689,4
1,1690,4
1,1691,4
1,1692,4
1,1693,4
1,1711,3
1,1712,4
1,1713,4
1,1714,4
1,1715,4
1,1716,4
1,1717,4
1,1718,4
1,1719,4
1,1720,4
1,1721,4
1,1722,4
1,1723,4
1,1724,4
1,1725,4
1,1726,4
1,1727,4
1,1728,3
1,1729,4
1,1730,4
1,1731,4
1,1732,4
1,1733,4
1,1734,4
1,1735,4
1,1736,4
1,1737,4
1,1738,4
1,1739,4
1,1740,4
1,1741,4
1,1830,3
1,1831,4
1,1832,4
1,1833,4
1,1834,4
1,1835,4
1,1836,4
1,1837,4
1,1838,4
1,1839,4
1,1840,4
1,1841,4
1,1842,4
1,1843,4
1,1940,3
1,1941,4
1,1942,4
1,1943,4
1,1944,4
1,1945,4
1,1946,4
1,1947,4
1,1948,4
1,1949,4
1,1950,4
1,1951,4
1,1952,4
1,1953,4
1,1969,3
1,1970,4
1,1971,4
1,1972,4
1,1973,4
1,1974,4
1,1975,4
1,1976,4
1,1977,4
1,1978,4
1,1979,4
1,1980,4
1,1981,4
1,1982,4
1,2011,3
1,2012,4
1,2013,4
1,2014,4
1,2015,4
1,2016,4
1,2017,4
1,2018,4
1,2019,4
1,2020,4
1,2021,4
1,2022,4
1,2023,4
1,2024,4
1,2025,3
1,2026,4
1,2027,4
1,2028,4
1,2029,4
1,2030,4
1,2031,4
1,2032,4
1,2033,4
1,2034,4
1,2035,4
1,2036,4
1,2037,4
1,2038,4
1,2154,3
1,2155,4
1,2156,4
1,2157,4
1,2158,4
1,2159,4
1,2160,4
1,2161,4
1,2162,4
1,2163,4
1,2164,4
1,2165,4
1,2166,4
1,2167,4
1,2777,3
1,2778,4
1,2779,4
1,2780,4
1,2781,4
1,2782,4
1,2783,4
1,2784,4
1,2785,4
1,2786,4
1,2787,4
1,2788,4
1,2789,4
1,2790,4
1,2879,3
1,2880,4
1,2881,4
1,2882,4
1,2883,4
1,2884,4
1,2885,4
1,2886,4
1,2887,4
1,2888,4
1,2889,4
1,2890,4
1,2891,4
1,2892,4
1,2914,3
1,2915,4
1,2916,4
1,2917,4
1,2918,4
1,2919,4
1,2920,4
1,2921,4
1,2922,4
1,2923,4
1,2924,4
1,2925,4
1,2926,4
1,3082,3
1,3083,4
1,3084,4
1,3085,4
1,3086,4
1,3087,4
1,3088,4
