option_id,resource_id
0,0
36,0
42,0
47,0
57,0
59,0
70,0
91,0
92,0
96,0
107,0
144,0
164,0
169,0
171,0
184,0
191,0
203,0
205,0
206,0
210,0
218,0
255,0
275,0
280,0
282,0
295,0
302,0
314,0
316,0
317,0
321,0
329,0
363,0
365,0
430,0
464,0
466,0
531,0
568,0
571,0
586,0
593,0
595,0
599,0
608,0
610,0
612,0
621,0
622,0
625,0
630,0
642,0
679,0
700,0
703,0
705,0
713,0
731,0
736,0
738,0
739,0
743,0
749,0
753,0
791,0
800,0
806,0
823,0
834,0
846,0
849,0
867,0
906,0
921,0
928,0
932,0
947,0
957,0
960,0
963,0
984,0
1023,0
1038,0
1045,0
1049,0
1064,0
1074,0
1077,0
1080,0
1101,0
1140,0
1148,0
1154,0
1178,0
1180,0
1194,0
1199,0
1204,0
1205,0
1218,0
1255,0
1258,0
1267,0
1280,0
1281,0
1282,0
1303,0
1305,0
1307,0
1308,0
1318,0
1319,0
1329,0
1367,0
1397,0
1409,0
1410,0
1435,0
1443,0
1480,0
1491,0
1501,0
1503,0
1528,0
1548,0
1549,0
1554,0
1591,0
1602,0
1612,0
1614,0
1639,0
1659,0
1660,0
1665,0
1701,0
1702,0
1703,0
1704,0
1705,0
1707,0
1710,0
1712,0
1719,0
1723,0
1729,0
1730,0
1739,0
1740,0
1742,0
1745,0
1753,0
1758,0
1761,0
1773,0
1809,0
1810,0
1822,0
1832,0
1833,0
1835,0
1841,0
1846,0
1852,0
1854,0
1858,0
1866,0
1869,0
1881,0
1914,0
1926,0
1933,0
1935,0
1941,0
1945,0
1956,0
1963,0
1964,0
1967,0
1970,0
1980,0
2013,0
2015,0
2016,0
2017,0
2076,0
2109,0
2111,0
2112,0
2113,0
4417,0
4420,0
4423,0
4426,0
4429,0
4431,0
4433,0
4435,0
3374,1
3376,1
3378,1
3379,1
3381,1
3383,1
3384,1
3386,1
3388,1
3389,1
3391,1
3393,1
3394,1
3396,1
3398,1
3399,1
3401,1
3403,1
3404,1
3406,1
3408,1
3409,1
3411,1
3413,1
3414,1
3416,1
3418,1
3419,1
3421,1
3423,1
3424,1
3426,1
3428,1
3429,1
3431,1
3433,1
3434,1
3436,1
3438,1
3439,1
3441,1
3443,1
3444,1
3446,1
3448,1
3449,1
3451,1
3453,1
3454,1
3456,1
3458,1
3459,1
3461,1
3463,1
3464,1
3466,1
3468,1
3469,1
3471,1
3473,1
4437,1
4440,1
4442,1
4443,1
4444,1
4447,1
4449,1
4450,1
4451,1
4454,1
4456,1
4457,1
4458,1
4461,1
4463,1
4464,1
4465,1
4468,1
4470,1
4471,1
4472,1
4475,1
4477,1
4478,1
4479,1
4482,1
4484,1
4485,1
4486,1
4489,1
4491,1
4492,1
