unit_id,mode_id,marginal_cost,fixed_cost
DER_001,1,0.0,0.0
DER_002,1,0.0,0.0
DER_003,1,0.0,0.0
DER_004,1,0.0,0.0
DER_005,1,0.0,0.0
DER_006,1,0.0,0.0
DER_007,1,0.0,0.0
DER_008,1,0.0,0.0
DER_009,1,0.0,0.0
DER_010,1,0.0,0.0
DER_011,1,0.0,0.0
DER_012,1,0.0,0.0
DER_013,1,0.0,0.0
DER_014,1,0.0,0.0
DER_015,1,0.0,0.0
DER_016,1,0.0,0.0
DER_017,1,0.0,0.0
DER_018,1,0.0,0.0
DER_019,1,0.0,0.0
DER_020,1,0.0,0.0
DER_021,1,0.0,0.0
DER_022,1,0.0,0.0
DER_023,1,0.0,0.0
DER_024,1,0.0,0.0
DER_025,1,0.0,0.0
DER_026,1,0.0,0.0
DER_027,1,0.0,0.0
DER_028,1,0.0,0.0
DER_029,1,0.0,0.0
DER_030,1,0.0,0.0
DER_031,1,0.0,0.0
DER_032,1,0.0,0.0
DER_033,1,0.0,0.0
DER_034,1,0.0,0.0
DER_035,1,0.0,0.0
DER_036,1,0.0,0.0
DER_037,1,0.0,0.0
DER_038,1,0.0,0.0
DER_039,1,0.0,0.0
DER_040,1,0.0,0.0
DER_041,1,0.0,0.0
DER_042,1,0.0,0.0
DER_043,1,0.0,0.0
DER_044,1,0.0,0.0
DER_045,1,0.0,0.0
DER_046,1,0.0,0.0
DER_047,1,0.0,0.0
DER_048,1,0.0,0.0
DER_049,1,0.0,0.0
DER_050,1,0.0,0.0
DER_051,1,0.0,0.0
DER_052,1,0.0,0.0
DER_053,1,0.0,0.0
DER_054,1,0.0,0.0
