time_id,demand,spinning_reserve_requirement
1,4200,420
2,3960,396
3,3480,348
4,2400,240
5,3000,300
6,3600,360
7,4200,420
8,4680,468
9,4920,492
10,5280,528
11,5340,534
12,5040,504
13,4800,480
14,4560,456
15,5280,528
16,5400,540
17,5100,510
18,5340,534
19,5640,564
20,5880,588
21,6000,600
22,5400,540
23,5220,522
24,4920,492
25,4200,420
26,3960,396
27,3480,348
28,2400,240
29,3000,300
30,3600,360
31,4200,420
32,4680,468
33,4920,492
34,5280,528
35,5340,534
36,5040,504
37,4800,480
38,4560,456
39,5280,528
40,5400,540
41,5100,510
42,5340,534
43,5640,564
44,5880,588
45,6000,600
46,5400,540
47,5220,522
48,4920,492
49,4200,420
50,3960,396
51,3480,348
52,2400,240
53,3000,300
54,3600,360
55,4200,420
56,4680,468
57,4920,492
58,5280,528
59,5340,534
60,5040,504
61,4800,480
62,4560,456
63,5280,528
64,5400,540
65,5100,510
66,5340,534
67,5640,564
68,5880,588
69,6000,600
70,5400,540
71,5220,522
72,4920,492
73,4200,420
74,3960,396
75,3480,348
76,2400,240
77,3000,300
78,3600,360
79,4200,420
80,4680,468
81,4920,492
82,5280,528
83,5340,534
84,5040,504
85,4800,480
86,4560,456
87,5280,528
88,5400,540
89,5100,510
90,5340,534
91,5640,564
92,5880,588
93,6000,600
94,5400,540
95,5220,522
96,4920,492
97,4200,420
98,3960,396
99,3480,348
100,2400,240
101,3000,300
102,3600,360
103,4200,420
104,4680,468
105,4920,492
106,5280,528
107,5340,534
108,5040,504
109,4800,480
110,4560,456
111,5280,528
112,5400,540
113,5100,510
114,5340,534
115,5640,564
116,5880,588
117,6000,600
118,5400,540
119,5220,522
120,4920,492
121,4200,420
122,3960,396
123,3480,348
124,2400,240
125,3000,300
126,3600,360
127,4200,420
128,4680,468
129,4920,492
130,5280,528
131,5340,534
132,5040,504
133,4800,480
134,4560,456
135,5280,528
136,5400,540
137,5100,510
138,5340,534
139,5640,564
140,5880,588
141,6000,600
142,5400,540
143,5220,522
144,4920,492
145,4200,420
146,3960,396
147,3480,348
148,2400,240
149,3000,300
150,3600,360
151,4200,420
152,4680,468
153,4920,492
154,5280,528
155,5340,534
156,5040,504
157,4800,480
158,4560,456
159,5280,528
160,5400,540
161,5100,510
162,5340,534
163,5640,564
164,5880,588
165,6000,600
166,5400,540
167,5220,522
168,4920,492
