unit_id,event_type,start_time_id,end_time_id,event_cost
DER_004,START,2,2,2.57661
DER_004,START,3,3,4.58064
DER_004,START,4,4,6.01209
DER_004,START,5,5,6.87096
DER_004,START,6,168,7.15725
DER_005,START,2,2,1.581416667
DER_005,START,3,3,2.530266667
DER_005,START,4,168,2.84655
DER_010,START,2,2,1.581416667
DER_010,START,3,3,2.530266667
DER_010,START,4,168,2.84655
DER_011,START,2,2,1.059166667
DER_011,START,3,3,1.694666667
DER_011,START,4,168,1.9065
DER_027,START,2,2,1.37975
DER_027,START,3,3,2.2076
DER_027,START,4,168,2.48355
DER_028,START,2,2,1.37975
DER_028,START,3,3,2.2076
DER_028,START,4,168,2.48355
DER_029,START,2,2,1.13604
DER_029,START,3,168,1.51472
DER_036,START,2,2,2.57661
DER_036,START,3,3,4.58064
DER_036,START,4,4,6.01209
DER_036,START,5,5,6.87096
DER_036,START,6,168,7.15725
DER_039,START,2,2,1.036666667
DER_039,START,3,3,1.658666667
DER_039,START,4,168,1.866
DER_043,START,2,2,1.581416667
DER_043,START,3,3,2.530266667
DER_043,START,4,168,2.84655
DER_044,START,2,2,1.581416667
DER_044,START,3,3,2.530266667
DER_044,START,4,168,2.84655
DER_045,START,2,2,1.581416667
DER_045,START,3,3,2.530266667
DER_045,START,4,168,2.84655
DER_004,STOP,1,164,7.15725
DER_004,STOP,165,165,6.87096
DER_004,STOP,166,166,6.01209
DER_004,STOP,167,167,4.58064
DER_004,STOP,168,168,2.57661
DER_005,STOP,1,166,2.84655
DER_005,STOP,167,167,2.530266667
DER_005,STOP,168,168,1.581416667
DER_010,STOP,1,166,2.84655
DER_010,STOP,167,167,2.530266667
DER_010,STOP,168,168,1.581416667
DER_011,STOP,1,166,1.9065
DER_011,STOP,167,167,1.694666667
DER_011,STOP,168,168,1.059166667
DER_027,STOP,1,166,2.48355
DER_027,STOP,167,167,2.2076
DER_027,STOP,168,168,1.37975
DER_028,STOP,1,166,2.48355
DER_028,STOP,167,167,2.2076
DER_028,STOP,168,168,1.37975
DER_029,STOP,1,167,1.51472
DER_029,STOP,168,168,1.13604
DER_036,STOP,1,164,7.15725
DER_036,STOP,165,165,6.87096
DER_036,STOP,166,166,6.01209
DER_036,STOP,167,167,4.58064
DER_036,STOP,168,168,2.57661
DER_039,STOP,1,166,1.866
DER_039,STOP,167,167,1.658666667
DER_039,STOP,168,168,1.036666667
DER_043,STOP,1,166,2.84655
DER_043,STOP,167,167,2.530266667
DER_043,STOP,168,168,1.581416667
DER_044,STOP,1,166,2.84655
DER_044,STOP,167,167,2.530266667
DER_044,STOP,168,168,1.581416667
DER_045,STOP,1,166,2.84655
DER_045,STOP,167,167,2.530266667
DER_045,STOP,168,168,1.581416667
