decision_id,node_id,coef
d011648,c3634,-1.0
d011649,c3635,-1.0
d011650,c3636,-1.0
d011651,c3637,-1.0
d011652,c3638,-1.0
d011653,c3639,-1.0
d011654,c3640,-1.0
d011655,c3641,-1.0
d011657,c3643,-1.0
d011658,c3644,-1.0
d011659,c3645,-1.0
d011660,c3646,-1.0
d011661,c3647,-1.0
d011662,c3648,-1.0
d011663,c3649,-1.0
d011664,c3650,-1.0
d011665,c3651,-1.0
d011666,c3652,-1.0
d011668,c3654,-1.0
d011669,c3655,-1.0
d011670,c3656,-1.0
d011671,c3657,-1.0
d011672,c3658,-1.0
d011673,c3659,-1.0
d011674,c3660,-1.0
d011675,c3661,-1.0
d011676,c3662,-1.0
d011677,c3663,-1.0
d011679,c3665,-1.0
d011680,c3666,-1.0
d011681,c3667,-1.0
d011682,c3668,-1.0
d011683,c3669,-1.0
d011684,c3670,-1.0
d011685,c3671,-1.0
d011686,c3672,-1.0
d011687,c3673,-1.0
d011688,c3674,-1.0
d011690,c3676,-1.0
d011691,c3677,-1.0
d011692,c3678,-1.0
d011693,c3679,-1.0
d011694,c3680,-1.0
d011695,c3681,-1.0
d011696,c3682,-1.0
d011697,c3683,-1.0
d011698,c3684,-1.0
d011699,c3685,-1.0
d011701,c3687,-1.0
d011702,c3688,-1.0
d011703,c3689,-1.0
d011704,c3690,-1.0
d011705,c3691,-1.0
d011706,c3692,-1.0
d011707,c3693,-1.0
d011708,c3694,-1.0
d011709,c3695,-1.0
d011710,c3696,-1.0
d011712,c3698,-1.0
d011713,c3699,-1.0
d011714,c3700,-1.0
d011715,c3701,-1.0
d011716,c3702,-1.0
d011717,c3703,-1.0
d011718,c3704,-1.0
d011719,c3705,-1.0
d011720,c3706,-1.0
d011721,c3707,-1.0
d011723,c3709,-1.0
d011724,c3710,-1.0
d011725,c3711,-1.0
d011726,c3712,-1.0
d011727,c3713,-1.0
d011728,c3714,-1.0
d011729,c3715,-1.0
d011730,c3716,-1.0
d011731,c3717,-1.0
d011732,c3718,-1.0
d011734,c3720,-1.0
d011735,c3721,-1.0
d011736,c3722,-1.0
d011737,c3723,-1.0
d011738,c3724,-1.0
d011739,c3725,-1.0
d011740,c3726,-1.0
d011741,c3727,-1.0
d011742,c3728,-1.0
d011743,c3729,-1.0
d011745,c3731,-1.0
d011746,c3732,-1.0
d011747,c3733,-1.0
d011748,c3734,-1.0
d011749,c3735,-1.0
d011750,c3736,-1.0
d011751,c3737,-1.0
d011752,c3738,-1.0
d011753,c3739,-1.0
d011754,c3740,-1.0
d011756,c3742,-1.0
d011757,c3743,-1.0
d011758,c3744,-1.0
d011759,c3745,-1.0
d011760,c3746,-1.0
d011761,c3747,-1.0
d011762,c3748,-1.0
d011763,c3749,-1.0
d011764,c3750,-1.0
d011765,c3751,-1.0
d011767,c3753,-1.0
d011768,c3754,-1.0
d011769,c3755,-1.0
d011770,c3756,-1.0
d011771,c3757,-1.0
d011772,c3758,-1.0
d011773,c3759,-1.0
d011774,c3760,-1.0
d011775,c3761,-1.0
d011776,c3762,-1.0
d011778,c3764,-1.0
d011779,c3765,-1.0
d011780,c3766,-1.0
d011781,c3767,-1.0
d011782,c3768,-1.0
d011783,c3769,-1.0
d011784,c3770,-1.0
d011785,c3771,-1.0
d011786,c3772,-1.0
d011787,c3773,-1.0
d011789,c3775,-1.0
d011790,c3776,-1.0
d011791,c3777,-1.0
d011792,c3778,-1.0
d011793,c3779,-1.0
d011794,c3780,-1.0
d011795,c3781,-1.0
d011796,c3782,-1.0
d011797,c3783,-1.0
d011798,c3784,-1.0
d011800,c3786,-1.0
d011801,c3787,-1.0
d011802,c3788,-1.0
d011803,c3789,-1.0
d011804,c3790,-1.0
d011805,c3791,-1.0
d011806,c3792,-1.0
d011807,c3793,-1.0
d011808,c3794,-1.0
d011809,c3795,-1.0
d011811,c3797,-1.0
d011812,c3798,-1.0
d011813,c3799,-1.0
d011814,c3800,-1.0
d011815,c3801,-1.0
d011816,c3802,-1.0
d011817,c3803,-1.0
d011818,c3804,-1.0
d011819,c3805,-1.0
d011820,c3806,-1.0
d011822,c3808,-1.0
d011823,c3809,-1.0
d011824,c3810,-1.0
d011825,c3811,-1.0
d011826,c3812,-1.0
d011827,c3813,-1.0
d011828,c3814,-1.0
d011829,c3815,-1.0
d011830,c3816,-1.0
d011831,c3817,-1.0
d011833,c3819,-1.0
d011834,c3820,-1.0
d011835,c3821,-1.0
d011836,c3822,-1.0
d011837,c3823,-1.0
d011838,c3824,-1.0
d011839,c3825,-1.0
d011840,c3826,-1.0
d011841,c3827,-1.0
d011842,c3828,-1.0
d011844,c3830,-1.0
d011845,c3831,-1.0
d011846,c3832,-1.0
d011847,c3833,-1.0
d011848,c3834,-1.0
d011849,c3835,-1.0
d011850,c3836,-1.0
d011851,c3837,-1.0
d011852,c3838,-1.0
d011853,c3839,-1.0
d011855,c3841,-1.0
d011856,c3842,-1.0
d011857,c3843,-1.0
d011858,c3844,-1.0
d011859,c3845,-1.0
d011860,c3846,-1.0
d011861,c3847,-1.0
d011862,c3848,-1.0
d011863,c3849,-1.0
d011864,c3850,-1.0
d011866,c3852,-1.0
d011867,c3853,-1.0
d011868,c3854,-1.0
d011869,c3855,-1.0
d011870,c3856,-1.0
d011871,c3857,-1.0
d011872,c3858,-1.0
d011873,c3859,-1.0
d011874,c3860,-1.0
d011875,c3861,-1.0
d011877,c3863,-1.0
d011878,c3864,-1.0
d011879,c3865,-1.0
d011880,c3866,-1.0
d011881,c3867,-1.0
d011882,c3868,-1.0
d011883,c3869,-1.0
d011884,c3870,-1.0
