node_id,rhs
c22,0.0
c23,0.0
c24,0.0
c25,0.0
c26,0.0
c27,0.0
c28,0.0
c29,0.0
c30,0.0
c31,0.0
c32,0.0
c33,0.0
c34,0.0
c35,0.0
c36,0.0
c37,0.0
c38,0.0
c39,0.0
c40,0.0
c41,0.0
c42,0.0
c43,0.0
c44,0.0
c45,0.0
c46,0.0
c47,0.0
c48,0.0
c49,0.0
c50,0.0
c51,0.0
c52,0.0
c53,0.0
c54,0.0
c55,0.0
c56,0.0
c57,0.0
c58,0.0
c59,0.0
c60,0.0
c61,0.0
c62,0.0
c63,0.0
c64,0.0
c65,0.0
c66,0.0
c67,0.0
c68,0.0
c69,0.0
c70,0.0
c71,0.0
c72,0.0
c73,0.0
c74,0.0
c75,0.0
c76,0.0
c77,0.0
c78,0.0
c79,0.0
c80,0.0
c81,0.0
c82,0.0
c83,0.0
c84,0.0
c85,0.0
c86,0.0
c87,0.0
c88,0.0
c89,0.0
c90,0.0
c91,0.0
c92,0.0
c93,0.0
c94,0.0
c95,0.0
c96,0.0
c97,0.0
c98,0.0
c99,0.0
c100,0.0
c101,0.0
c102,0.0
c103,0.0
c104,0.0
c105,0.0
c106,0.0
c107,0.0
c108,0.0
c109,0.0
c110,0.0
c111,0.0
c112,0.0
c113,0.0
c114,0.0
c115,0.0
c116,0.0
c117,0.0
c118,0.0
c119,0.0
c120,0.0
c121,0.0
c122,0.0
c123,0.0
c124,0.0
c125,0.0
c126,0.0
c127,0.0
c128,0.0
c129,0.0
c130,0.0
c131,0.0
c132,0.0
c133,0.0
c134,0.0
c135,0.0
c136,0.0
c137,0.0
c138,0.0
c139,0.0
c140,0.0
c141,0.0
c142,0.0
c143,0.0
c144,0.0
c145,0.0
c146,0.0
c147,0.0
c148,0.0
c149,0.0
c150,0.0
c151,0.0
c152,0.0
c153,0.0
c154,0.0
c155,0.0
c156,0.0
c157,0.0
c158,0.0
c159,0.0
c160,0.0
c161,0.0
c162,0.0
c163,0.0
c164,0.0
c165,0.0
c166,0.0
c167,0.0
c168,0.0
c169,0.0
c170,0.0
c171,0.0
c172,0.0
c173,0.0
c174,0.0
c175,0.0
c176,0.0
c177,0.0
c178,0.0
c179,0.0
c180,0.0
c181,0.0
c182,0.0
c183,0.0
c184,0.0
c185,0.0
c186,0.0
c187,0.0
c188,0.0
c189,0.0
c190,0.0
c191,0.0
c192,0.0
c193,0.0
c194,0.0
c195,0.0
c196,0.0
c197,0.0
c198,0.0
c199,0.0
c200,0.0
c201,0.0
c202,0.0
c203,0.0
c204,0.0
c205,0.0
c206,0.0
c207,0.0
c208,0.0
c209,0.0
c210,0.0
c211,0.0
c212,0.0
c213,0.0
c214,0.0
c215,0.0
c216,0.0
c217,0.0
c218,0.0
c219,0.0
c220,0.0
c221,0.0
c222,0.0
c223,0.0
c224,0.0
c225,0.0
c226,0.0
c227,0.0
c228,0.0
c229,0.0
c230,0.0
c231,0.0
c232,0.0
c233,0.0
c234,0.0
c235,0.0
c236,0.0
c237,0.0
c238,0.0
c239,0.0
c240,0.0
c241,0.0
c242,0.0
c243,0.0
c244,0.0
c245,0.0
c246,0.0
c247,0.0
c248,0.0
c249,0.0
c250,0.0
c251,0.0
c252,0.0
c253,0.0
c254,0.0
c255,0.0
c256,0.0
c257,0.0
c258,0.0
c259,0.0
c260,0.0
c261,0.0
c262,0.0
c263,0.0
c264,0.0
c265,0.0
c266,0.0
c267,0.0
c268,0.0
c269,0.0
c270,0.0
c271,0.0
c272,0.0
c273,0.0
c274,0.0
c275,0.0
c276,0.0
c277,0.0
c278,0.0
c279,0.0
c280,0.0
c281,0.0
c282,0.0
c283,0.0
c284,0.0
c285,0.0
c286,0.0
c287,0.0
c288,0.0
c289,0.0
c290,0.0
c291,0.0
c292,0.0
c293,0.0
c294,0.0
c295,0.0
c296,0.0
c297,0.0
c298,0.0
c299,0.0
c300,0.0
c301,0.0
c302,0.0
c303,0.0
c304,0.0
c305,0.0
c306,0.0
c307,0.0
c308,0.0
c309,0.0
c310,0.0
c311,0.0
c312,0.0
c313,0.0
c314,0.0
c315,0.0
c316,0.0
c317,0.0
c318,0.0
c319,0.0
c320,0.0
c321,0.0
c322,0.0
c323,0.0
c324,0.0
c325,0.0
c326,0.0
c327,0.0
c328,0.0
c329,0.0
c330,0.0
c331,0.0
c332,0.0
c333,0.0
c334,0.0
c335,0.0
c336,0.0
c337,0.0
c338,0.0
c339,0.0
c340,0.0
c341,0.0
c342,0.0
c343,0.0
c344,0.0
c345,0.0
c346,0.0
c347,0.0
c348,0.0
c349,0.0
c350,0.0
c351,0.0
c352,0.0
c353,0.0
c354,0.0
c355,0.0
c356,0.0
c357,0.0
c358,0.0
c359,0.0
c360,0.0
c361,0.0
c362,0.0
c363,0.0
c364,0.0
c365,0.0
c366,0.0
c367,0.0
c368,0.0
c369,0.0
c370,0.0
c371,0.0
c372,0.0
c373,0.0
c374,0.0
c375,0.0
c376,0.0
c377,0.0
c378,0.0
c379,0.0
c380,0.0
c381,0.0
c382,0.0
c383,0.0
c384,0.0
c385,0.0
c386,0.0
c387,0.0
c388,0.0
c389,0.0
c390,0.0
c391,0.0
