conflict_group_id,decision_id
C0000,d011648
C0028,d011649
C0056,d011650
C0084,d011651
C0112,d011652
C0140,d011653
C0168,d011654
C0196,d011655
C0224,d011656
C0252,d011657
C0280,d011658
C0001,d011659
C0029,d011660
C0057,d011661
C0085,d011662
C0113,d011663
C0141,d011664
C0169,d011665
C0197,d011666
C0225,d011667
C0253,d011668
C0281,d011669
C0002,d011670
C0030,d011671
C0058,d011672
C0086,d011673
C0114,d011674
C0142,d011675
C0170,d011676
C0198,d011677
C0226,d011678
C0254,d011679
C0282,d011680
C0003,d011681
C0031,d011682
C0059,d011683
C0087,d011684
C0115,d011685
C0143,d011686
C0171,d011687
C0199,d011688
C0227,d011689
C0255,d011690
C0283,d011691
C0004,d011692
C0032,d011693
C0060,d011694
C0088,d011695
C0116,d011696
C0144,d011697
C0172,d011698
C0200,d011699
C0228,d011700
C0256,d011701
C0284,d011702
C0005,d011703
C0033,d011704
C0061,d011705
C0089,d011706
C0117,d011707
C0145,d011708
C0173,d011709
C0201,d011710
C0229,d011711
C0257,d011712
C0285,d011713
C0006,d011714
C0034,d011715
C0062,d011716
C0090,d011717
C0118,d011718
C0146,d011719
C0174,d011720
C0202,d011721
C0230,d011722
C0258,d011723
C0286,d011724
C0007,d011725
C0035,d011726
C0063,d011727
C0091,d011728
C0119,d011729
C0147,d011730
C0175,d011731
C0203,d011732
C0231,d011733
C0259,d011734
C0287,d011735
C0008,d011736
C0036,d011737
C0064,d011738
C0092,d011739
C0120,d011740
C0148,d011741
C0176,d011742
C0204,d011743
C0232,d011744
C0260,d011745
C0288,d011746
C0009,d011747
C0037,d011748
C0065,d011749
C0093,d011750
C0121,d011751
C0149,d011752
C0177,d011753
C0205,d011754
C0233,d011755
C0261,d011756
C0289,d011757
C0010,d011758
C0038,d011759
C0066,d011760
C0094,d011761
C0122,d011762
C0150,d011763
C0178,d011764
C0206,d011765
C0234,d011766
C0262,d011767
C0290,d011768
C0011,d011769
C0039,d011770
C0067,d011771
C0095,d011772
C0123,d011773
C0151,d011774
C0179,d011775
C0207,d011776
C0235,d011777
C0263,d011778
C0291,d011779
C0012,d011780
C0040,d011781
C0068,d011782
C0096,d011783
C0124,d011784
C0152,d011785
C0180,d011786
C0208,d011787
C0236,d011788
C0264,d011789
C0292,d011790
C0013,d011791
C0041,d011792
C0069,d011793
C0097,d011794
C0125,d011795
C0153,d011796
C0181,d011797
C0209,d011798
C0237,d011799
C0265,d011800
C0293,d011801
C0014,d011802
C0042,d011803
C0070,d011804
C0098,d011805
C0126,d011806
C0154,d011807
C0182,d011808
C0210,d011809
C0238,d011810
C0266,d011811
C0294,d011812
C0015,d011813
C0043,d011814
C0071,d011815
C0099,d011816
C0127,d011817
C0155,d011818
C0183,d011819
C0211,d011820
C0239,d011821
C0267,d011822
C0295,d011823
C0016,d011824
C0044,d011825
C0072,d011826
C0100,d011827
C0128,d011828
C0156,d011829
C0184,d011830
C0212,d011831
C0240,d011832
C0268,d011833
C0296,d011834
C0017,d011835
C0045,d011836
C0073,d011837
C0101,d011838
C0129,d011839
