coverage_group_id,decision_id
G0000,d000000
G0000,d000001
G0000,d000002
G0000,d000003
G0000,d000004
G0000,d000005
G0000,d000006
G0000,d000007
G0000,d000008
G0000,d000009
G0000,d000010
G0000,d000011
G0000,d000012
G0000,d000013
G0000,d000014
G0000,d000015
G0000,d000016
G0000,d000017
G0000,d000018
G0000,d000019
G0000,d000020
G0000,d000021
G0000,d000022
G0000,d000023
G0000,d000024
G0000,d000025
G0000,d000026
G0000,d000027
G0000,d000028
G0000,d000029
G0000,d000030
G0000,d000031
G0000,d000032
G0000,d000033
G0000,d000034
G0000,d000035
G0000,d000036
G0000,d000037
G0000,d000038
G0000,d000039
G0000,d000040
G0000,d000041
G0000,d000042
G0000,d000043
G0000,d000044
G0000,d000045
G0000,d000046
G0000,d000047
G0000,d000048
G0000,d000049
G0000,d000050
G0000,d000051
G0000,d000052
G0000,d000053
G0000,d000054
G0000,d000055
G0000,d000056
G0000,d000057
G0000,d000058
G0000,d000059
G0000,d000060
G0000,d000061
G0000,d000062
G0000,d000063
G0000,d000064
G0000,d000065
G0000,d000066
G0000,d000067
G0000,d000068
G0000,d000069
G0000,d000070
G0000,d000071
G0000,d000072
G0000,d000073
G0000,d000074
G0000,d000075
G0000,d000076
G0000,d000077
G0000,d000078
G0000,d000079
G0000,d000080
G0000,d000081
G0000,d000082
G0000,d000083
G0000,d000084
G0000,d000085
G0000,d000086
G0000,d000087
G0000,d000088
G0000,d000089
G0000,d000090
G0000,d000091
G0000,d000092
G0000,d000093
G0000,d000094
G0000,d000095
G0000,d000096
G0000,d000097
G0000,d000098
G0000,d000099
G0000,d000100
G0000,d000101
G0000,d000102
G0000,d000103
G0000,d000104
G0000,d000105
G0000,d000106
G0000,d000107
G0000,d000108
G0000,d000109
G0000,d000110
G0000,d000111
G0000,d000112
G0000,d000113
G0000,d000114
G0000,d000115
G0000,d000116
G0000,d000117
G0000,d000118
G0000,d000119
G0000,d000120
G0000,d000121
G0000,d000122
G0000,d000123
G0000,d000124
G0000,d000125
G0000,d000126
G0000,d000127
G0000,d000128
G0000,d000129
G0000,d000130
G0000,d000131
G0000,d000132
G0000,d000133
G0000,d000134
G0000,d000135
G0000,d000136
G0000,d000137
G0000,d000138
G0000,d000139
G0000,d000140
G0000,d000141
G0000,d000142
G0000,d000143
G0000,d000144
G0000,d000145
G0000,d000146
G0000,d000147
G0000,d000148
G0000,d000149
G0000,d000150
G0000,d000151
G0000,d000152
G0000,d000153
G0000,d000154
G0000,d000155
G0000,d000156
G0000,d000157
G0000,d000158
G0000,d000159
G0000,d000160
G0000,d000161
G0000,d000162
G0000,d000163
G0000,d000164
G0000,d000165
G0000,d000166
G0000,d000167
G0000,d000168
G0000,d000169
G0000,d000170
G0000,d000171
G0000,d000172
G0000,d000173
