cap_group_id,max_selected
K000,2
K001,6
K002,6
K003,2
K004,2
K005,6
K006,6
K007,6
K008,6
K009,6
K010,2
K011,2
K012,2
K013,2
K014,2
K015,2
K016,2
K017,2
K018,2
K019,2
K020,2
K021,2
K022,2
K023,2
K024,2
K025,2
K026,2
K027,2
K028,6
K029,6
K030,6
K031,6
K032,6
K033,6
K034,6
K035,2
K036,6
K037,2
K038,6
K039,6
K040,6
K041,2
K042,6
K043,2
K044,2
K045,6
K046,6
K047,6
K048,6
K049,6
K050,6
K051,6
K052,6
K053,2
K054,2
K055,2
K056,2
K057,2
K058,2
K059,2
K060,2
K061,2
K062,2
K063,2
K064,2
K065,2
K066,2
K067,2
K068,2
K069,2
K070,2
K071,6
K072,2
K073,6
K074,2
K075,6
K076,6
K077,6
K078,2
K079,2
K080,6
K081,2
K082,6
K083,6
K084,6
K085,6
K086,6
K087,6
K088,6
K089,6
K090,6
K091,6
K092,6
K093,6
K094,6
K095,6
K096,6
K097,6
K098,6
K099,6
K100,6
K101,6
K102,6
K103,2
K104,2
K105,2
K106,2
K107,2
K108,2
K109,2
K110,2
K111,2
K112,2
K113,2
K114,2
K115,2
K116,2
K117,2
K118,2
K119,6
K120,6
K121,2
K122,6
K123,6
K124,6
K125,6
K126,6
K127,6
K128,6
K129,6
K130,6
K131,6
K132,6
K133,6
K134,6
K135,6
K136,6
K137,6
K138,6
K139,6
K140,6
K141,6
K142,2
K143,6
K144,2
K145,2
K146,2
K147,2
K148,2
K149,2
K150,2
K151,2
K152,2
K153,2
K154,2
K155,6
K156,6
K157,6
K158,6
K159,6
K160,6
K161,6
K162,6
K163,6
K164,6
K165,6
K166,6
K167,6
K168,6
K169,6
K170,6
K171,6
K172,6
K173,6
K174,6
K175,6
K176,6
K177,6
K178,6
K179,6
K180,6
K181,6
K182,6
K183,6
K184,6
K185,6
K186,6
K187,6
K188,6
K189,6
K190,6
K191,6
K192,6
K193,6
K194,6
K195,6
K196,6
K197,6
K198,6
K199,6
K200,6
K201,6
K202,6
K203,6
K204,6
K205,6
K206,6
K207,6
K208,6
K209,6
K210,6
K211,6
K212,6
K213,6
K214,6
K215,6
K216,6
K217,6
K218,6
K219,6
K220,6
K221,6
K222,6
K223,6
K224,6
K225,6
K226,6
K227,6
K228,6
K229,6
K230,6
K231,6
K232,6
K233,6
K234,6
K235,6
K236,6
K237,6
K238,6
K239,6
K240,6
K241,6
K242,6
K243,6
K244,6
K245,6
K246,6
K247,6
K248,6
K249,6
K250,6
K251,6
K252,6
K253,6
K254,6
K255,6
K256,6
K257,6
K258,6
K259,6
K260,6
K261,6
K262,6
K263,6
K264,6
K265,6
K266,6
K267,6
K268,6
K269,6
K270,6
K271,6
K272,6
K273,6
K274,6
K275,6
K276,6
K277,6
K278,6
K279,6
K280,6
K281,6
K282,6
K283,6
K284,6
K285,6
K286,6
K287,6
K288,6
K289,6
K290,6
K291,6
K292,6
K293,6
K294,6
K295,6
K296,6
K297,6
K298,6
K299,6
K300,6
K301,6
K302,6
K303,6
K304,6
K305,6
K306,6
K307,6
K308,6
K309,6
K310,6
K311,6
K312,6
K313,6
K314,6
K315,6
K316,6
K317,6
K318,6
K319,6
K320,6
K321,6
K322,6
K323,6
K324,6
K325,6
K326,6
K327,6
K328,6
K329,6
K330,6
K331,6
K332,6
K333,6
K334,6
K335,6
K336,6
K337,6
K338,6
K339,6
K340,6
K341,6
K342,6
K343,6
K344,6
K345,6
K346,6
K347,6
K348,6
K349,6
K350,6
K351,6
K352,6
K353,6
K354,6
K355,6
K356,6
K357,6
K358,6
K359,6
K360,6
K361,6
K362,6
K363,6
K364,6
K365,6
K366,6
K367,6
K368,6
K369,6
K370,6
K371,6
K372,6
K373,6
K374,6
K375,6
K376,6
K377,6
K378,6
K379,6
K380,6
K381,6
K382,6
K383,6
K384,6
K385,6
K386,6
K387,6
K388,6
K389,6
K390,6
K391,6
K392,6
K393,6
K394,6
K395,6
K396,6
K397,6
K398,6
K399,6
K400,6
K401,6
K402,6
K403,6
K404,6
K405,6
K406,6
K407,6
K408,6
K409,6
K410,6
K411,6
K412,6
K413,6
K414,6
K415,6
K416,6
K417,6
K418,6
K419,6
K420,6
K421,6
K422,6
K423,6
K424,6
K425,6
K426,6
K427,6
K428,6
K429,6
K430,6
K431,6
K432,6
K433,6
K434,6
K435,6
K436,6
K437,6
