chain_owner_city_id,service_city_id,order
0,0,0
0,188,1
0,16,2
0,72,3
0,196,4
0,186,5
0,70,6
0,91,7
0,158,8
0,96,9
0,61,10
0,184,11
0,168,12
0,144,13
0,142,14
0,67,15
0,51,16
0,153,17
0,174,18
0,57,19
0,83,20
0,15,21
0,111,22
0,64,23
0,74,24
0,10,25
0,93,26
0,152,27
0,122,28
0,1,29
0,7,30
0,179,31
0,47,32
0,46,33
0,86,34
0,190,35
0,175,36
0,117,37
0,52,38
0,180,39
0,164,40
0,129,41
0,66,42
0,99,43
0,165,44
0,198,45
0,166,46
0,120,47
0,65,48
0,115,49
0,181,50
0,87,51
0,45,52
0,31,53
0,40,54
0,124,55
0,121,56
0,39,57
0,159,58
0,21,59
0,155,60
0,173,61
0,106,62
0,118,63
0,24,64
0,34,65
0,169,66
0,132,67
0,59,68
0,127,69
0,177,70
0,29,71
0,73,72
0,192,73
0,25,74
0,98,75
0,108,76
0,20,77
0,138,78
0,183,79
0,189,80
0,150,81
0,14,82
0,43,83
0,95,84
0,76,85
0,171,86
0,26,87
0,116,88
0,134,89
0,42,90
0,11,91
0,170,92
0,9,93
0,56,94
0,133,95
0,94,96
0,90,97
0,102,98
0,130,99
0,30,100
0,18,101
0,107,102
0,135,103
0,154,104
0,77,105
0,109,106
0,167,107
0,103,108
0,19,109
0,199,110
0,187,111
0,145,112
0,104,113
0,38,114
0,50,115
0,28,116
0,119,117
0,63,118
0,81,119
0,128,120
0,78,121
0,151,122
0,23,123
0,97,124
0,36,125
0,80,126
0,161,127
0,92,128
0,17,129
0,136,130
0,41,131
0,194,132
0,4,133
0,71,134
0,13,135
0,84,136
0,85,137
0,185,138
0,88,139
0,139,140
0,148,141
0,33,142
0,8,143
0,6,144
0,32,145
0,44,146
0,12,147
0,5,148
0,110,149
0,157,150
1,1,0
1,83,1
1,65,2
1,157,3
1,196,4
1,32,5
1,70,6
1,85,7
1,71,8
1,42,9
1,149,10
1,36,11
1,141,12
1,57,13
1,135,14
1,197,15
1,78,16
1,191,17
1,50,18
1,94,19
1,4,20
1,125,21
1,170,22
1,167,23
1,116,24
1,166,25
1,136,26
1,23,27
1,139,28
1,39,29
1,72,30
1,90,31
1,9,32
1,13,33
1,107,34
1,37,35
1,194,36
1,103,37
1,16,38
1,114,39
1,152,40
1,110,41
1,165,42
1,108,43
1,40,44
1,66,45
1,7,46
1,22,47
1,26,48
1,33,49
1,12,50
1,127,51
1,163,52
1,147,53
1,58,54
1,89,55
1,142,56
1,187,57
1,171,58
1,180,59
1,120,60
1,46,61
1,62,62
1,156,63
1,121,64
1,106,65
1,146,66
1,75,67
1,130,68
1,140,69
1,148,70
1,173,71
1,174,72
1,158,73
1,82,74
1,67,75
1,47,76
1,126,77
1,144,78
1,155,79
1,84,80
1,133,81
1,190,82
1,51,83
1,8,84
1,111,85
1,113,86
1,17,87
1,54,88
1,79,89
1,128,90
1,25,91
1,160,92
1,29,93
1,137,94
1,68,95
1,178,96
1,73,97
1,105,98
1,184,99
1,172,100
1,159,101
1,131,102
1,61,103
1,59,104
1,176,105
1,98,106
1,18,107
1,43,108
1,150,109
1,109,110
1,76,111
1,104,112
1,10,113
1,129,114
1,186,115
1,77,116
1,95,117
1,91,118
1,177,119
1,48,120
1,122,121
1,181,122
1,175,123
1,97,124
1,143,125
1,145,126
1,81,127
1,2,128
1,102,129
1,183,130
1,132,131
1,45,132
1,34,133
1,21,134
1,96,135
1,161,136
1,19,137
1,88,138
1,134,139
1,28,140
1,93,141
1,14,142
1,123,143
1,49,144
1,124,145
1,151,146
1,138,147
2,2,0
2,115,1
2,94,2
2,104,3
2,133,4
2,63,5
2,147,6
2,180,7
2,83,8
2,125,9
2,142,10
2,21,11
2,196,12
2,118,13
2,179,14
2,170,15
2,112,16
2,73,17
2,9,18
2,5,19
2,93,20
2,20,21
2,123,22
2,129,23
2,135,24
2,105,25
2,144,26
2,154,27
2,191,28
2,120,29
2,32,30
2,6,31
2,165,32
2,189,33
2,23,34
2,101,35
2,29,36
2,79,37
2,71,38
2,148,39
2,76,40
2,44,41
2,82,42
2,61,43
2,121,44
2,46,45
2,156,46
2,110,47
2,109,48
2,124,49
2,18,50
2,159,51
2,70,52
2,132,53
2,30,54
2,98,55
2,185,56
2,59,57
2,102,58
2,66,59
2,141,60
2,24,61
2,22,62
2,175,63
2,87,64
2,95,65
2,153,66
2,199,67
2,28,68
2,56,69
2,72,70
2,171,71
2,88,72
2,136,73
2,190,74
2,107,75
2,89,76
2,31,77
2,117,78
2,34,79
2,53,80
2,41,81
2,78,82
2,177,83
2,116,84
2,90,85
2,163,86
2,11,87
2,48,88
2,184,89
2,0,90
2,15,91
2,195,92
2,166,93
2,197,94
2,100,95
2,145,96
2,138,97
2,64,98
2,160,99
2,92,100
2,134,101
2,14,102
2,151,103
2,176,104
2,143,105
2,3,106
2,158,107
2,52,108
2,17,109
2,186,110
2,55,111
2,69,112
2,97,113
2,114,114
2,128,115
2,149,116
2,81,117
2,99,118
2,68,119
2,130,120
2,155,121
2,164,122
2,91,123
2,7,124
2,187,125
2,42,126
2,45,127
2,178,128
2,26,129
2,62,130
2,150,131
2,65,132
2,174,133
2,126,134
2,137,135
2,198,136
2,188,137
2,103,138
2,108,139
2,75,140
2,47,141
2,51,142
2,106,143
2,40,144
3,3,0
3,70,1
3,139,2
3,155,3
3,27,4
3,143,5
3,150,6
3,107,7
3,196,8
3,181,9
3,192,10
3,43,11
3,121,12
3,47,13
3,186,14
3,62,15
3,128,16
3,77,17
3,156,18
3,170,19
3,126,20
3,20,21
3,198,22
3,178,23
3,120,24
3,15,25
3,164,26
3,51,27
3,18,28
3,4,29
3,29,30
3,79,31
3,60,32
3,193,33
3,11,34
3,30,35
3,167,36
3,135,37
3,169,38
3,166,39
3,80,40
3,174,41
3,17,42
3,118,43
