id1,id2,fixed_cost,variable_cost
1,2,50.0,1.0
1,3,254.950976,5.09902
1,4,206.155281,4.123106
1,5,273.861279,5.477226
1,6,86.60254,1.732051
1,7,273.861279,5.477226
1,8,187.082869,3.741657
1,9,122.474487,2.44949
1,10,158.113883,3.162278
1,11,384.057287,7.681146
1,12,187.082869,3.741657
1,13,122.474487,2.44949
1,14,287.228132,5.744563
1,15,304.138127,6.082763
1,16,70.710678,1.414214
1,17,320.156212,6.403124
1,18,320.156212,6.403124
1,19,165.83124,3.316625
1,20,122.474487,2.44949
1,21,273.861279,5.477226
1,22,384.057287,7.681146
1,23,357.071421,7.141428
1,24,187.082869,3.741657
1,25,357.071421,7.141428
1,26,353.553391,7.071068
1,27,187.082869,3.741657
1,28,367.423461,7.348469
1,29,308.2207,6.164414
1,30,122.474487,2.44949
1,31,324.037035,6.480741
1,32,150.0,3.0
1,33,150.0,3.0
1,34,320.156212,6.403124
1,35,273.861279,5.477226
1,36,158.113883,3.162278
1,37,295.803989,5.91608
1,38,339.116499,6.78233
1,39,122.474487,2.44949
1,40,122.474487,2.44949
1,41,187.082869,3.741657
1,42,324.037035,6.480741
1,43,324.037035,6.480741
1,44,150.0,3.0
1,45,158.113883,3.162278
1,46,187.082869,3.741657
1,47,320.156212,6.403124
1,48,206.155281,4.123106
1,49,187.082869,3.741657
1,50,158.113883,3.162278
1,51,254.950976,5.09902
1,52,187.082869,3.741657
1,53,367.423461,7.348469
1,54,165.83124,3.316625
1,55,273.861279,5.477226
1,56,320.156212,6.403124
1,57,384.057287,7.681146
1,58,273.861279,5.477226
1,59,217.944947,4.358899
1,60,122.474487,2.44949
1,61,187.082869,3.741657
1,62,165.83124,3.316625
1,63,86.60254,1.732051
1,64,259.807621,5.196152
1,65,273.861279,5.477226
1,66,254.950976,5.09902
1,67,393.700394,7.874008
1,68,357.071421,7.141428
1,69,364.005494,7.28011
1,70,158.113883,3.162278
1,71,339.116499,6.78233
1,72,70.710678,1.414214
1,73,122.474487,2.44949
1,74,187.082869,3.741657
1,75,295.803989,5.91608
1,76,158.113883,3.162278
1,77,212.132034,4.242641
1,78,150.0,3.0
1,79,254.950976,5.09902
1,80,165.83124,3.316625
2,2,50.0,1.0
2,3,212.132034,4.242641
2,4,259.807621,5.196152
2,5,273.861279,5.477226
2,6,259.807621,5.196152
2,7,357.071421,7.141428
2,8,259.807621,5.196152
2,9,364.005494,7.28011
2,10,339.116499,6.78233
2,11,259.807621,5.196152
2,12,295.803989,5.91608
2,13,353.553391,7.071068
2,14,187.082869,3.741657
2,15,217.944947,4.358899
2,16,122.474487,2.44949
2,17,339.116499,6.78233
2,18,158.113883,3.162278
2,19,259.807621,5.196152
2,20,150.0,3.0
2,21,158.113883,3.162278
2,22,122.474487,2.44949
2,23,86.60254,1.732051
2,24,187.082869,3.741657
2,25,217.944947,4.358899
2,26,86.60254,1.732051
2,27,165.83124,3.316625
2,28,229.128785,4.582576
2,29,320.156212,6.403124
2,30,86.60254,1.732051
2,31,273.861279,5.477226
2,32,273.861279,5.477226
2,33,273.861279,5.477226
2,34,259.807621,5.196152
2,35,364.005494,7.28011
2,36,70.710678,1.414214
2,37,320.156212,6.403124
2,38,320.156212,6.403124
