pairing_id,cost
1,3952.0
2,13724.0
3,4792.0
4,13734.0
5,2830.0
6,1976.0
7,9694.0
8,1932.0
9,9676.0
10,1590.0
11,1628.0
12,1530.0
13,2082.0
14,13704.0
15,3102.0
16,2510.0
17,3528.0
18,2968.0
19,2950.0
20,3150.0
21,2556.0
22,3568.0
23,3008.0
24,2998.0
25,13722.0
26,2306.0
27,1768.0
28,1650.0
29,1948.0
30,3094.0
31,3408.0
32,2686.0
33,1564.0
34,2010.0
35,914.0
36,13706.0
37,2268.0
38,2580.0
39,2328.0
40,1680.0
41,2392.0
42,2470.0
43,1716.0
44,1792.0
45,1830.0
46,1732.0
47,2284.0
48,13712.0
49,13704.0
50,3592.0
51,2324.0
52,2970.0
53,2640.0
54,3286.0
55,2768.0
56,3304.0
57,3406.0
58,2814.0
59,3824.0
60,3264.0
61,3254.0
62,13738.0
63,2096.0
64,2650.0
65,3598.0
66,2578.0
67,3514.0
68,2472.0
69,2746.0
70,2776.0
71,2174.0
72,3718.0
73,3308.0
74,3632.0
75,3202.0
76,1618.0
77,1672.0
78,3586.0
79,2080.0
80,2544.0
81,3068.0
82,1548.0
83,1748.0
84,1826.0
85,1968.0
86,1888.0
87,2270.0
88,2302.0
89,2004.0
90,2228.0
91,2708.0
92,2404.0
93,2650.0
94,3350.0
95,1342.0
96,1400.0
97,1288.0
98,1960.0
99,2204.0
100,2382.0
101,2628.0
102,2674.0
103,2966.0
104,2926.0
105,2046.0
106,1630.0
107,1724.0
108,1800.0
109,3076.0
110,3438.0
111,1604.0
112,3036.0
113,3138.0
114,1700.0
115,2546.0
116,1302.0
117,3564.0
118,2110.0
119,1550.0
120,3004.0
121,1972.0
122,2988.0
123,2940.0
124,2756.0
125,3202.0
126,9660.0
127,13706.0
128,2328.0
129,1136.0
130,1470.0
131,2492.0
132,1472.0
133,1536.0
134,1732.0
135,2660.0
136,2044.0
137,2974.0
138,2024.0
139,2978.0
140,3224.0
141,2748.0
142,1886.0
143,2532.0
144,808.0
145,2336.0
146,3290.0
147,3536.0
148,2198.0
149,2844.0
150,1140.0
151,1824.0
152,13704.0
153,2466.0
154,2544.0
155,3008.0
156,3370.0
157,2974.0
158,2348.0
159,2442.0
160,3076.0
161,1718.0
162,2484.0
163,3502.0
164,2854.0
165,2294.0
166,2942.0
167,2716.0
168,2924.0
169,2368.0
170,2406.0
171,2302.0
172,2952.0
173,2460.0
174,3478.0
