Employee_ID,Salary
0,44.0
1,60.0
2,87.0
3,21.0
4,71.0
5,31.0
6,24.0
7,62.0
8,74.0
9,17.0
10,39.0
11,-9.0
12,74.0
13,44.0
14,46.0
15,44.0
16,60.0
17,77.0
18,45.0
19,23.0
20,76.0
21,67.0
22,19.0
23,20.0
24,62.0
25,71.0
26,48.0
27,61.0
28,37.0
29,37.0
30,55.0
31,80.0
32,57.0
33,70.0
34,63.0
35,85.0
36,71.0
37,56.0
38,63.0
39,78.0
40,76.0
41,86.0
42,4.0
43,71.0
44,35.0
45,65.0
46,79.0
47,24.0
48,79.0
49,-2.0
50,61.0
51,45.0
52,83.0
53,91.0
54,49.0
55,50.0
56,66.0
57,74.0
58,78.0
59,56.0
60,0.0
61,-4.0
62,83.0
63,51.0
64,52.0
65,44.0
66,3.0
67,62.0
68,86.0
69,62.0
70,70.0
71,79.0
72,77.0
73,55.0
74,45.0
75,82.0
76,-10.0
77,57.0
78,2.0
79,5.0
80,61.0
81,91.0
82,94.0
83,70.0
84,9.0
85,68.0
86,90.0
87,92.0
88,72.0
89,74.0
90,57.0
91,67.0
92,81.0
93,0.0
94,79.0
95,50.0
96,57.0
97,63.0
98,58.0
99,89.0
100,36.0
101,75.0
102,32.0
103,77.0
104,30.0
105,47.0
106,47.0
107,61.0
108,88.0
109,62.0
110,33.0
111,35.0
112,4.0
113,68.0
114,73.0
115,40.0
116,67.0
117,59.0
118,47.0
119,41.0
120,21.0
121,57.0
122,-10.0
123,51.0
124,79.0
125,87.0
126,23.0
127,3.0
128,52.0
129,70.0
130,51.0
131,56.0
132,19.0
133,43.0
134,32.0
135,17.0
136,37.0
137,26.0
138,31.0
139,77.0
140,33.0
141,84.0
142,73.0
143,77.0
144,6.0
145,70.0
146,60.0
147,4.0
148,89.0
149,10.0
150,80.0
151,35.0
152,9.0
153,50.0
154,74.0
155,40.0
156,85.0
157,-3.0
158,72.0
159,46.0
160,11.0
161,76.0
162,67.0
163,57.0
164,65.0
165,59.0
166,73.0
167,91.0
168,87.0
169,86.0
170,25.0
171,48.0
172,21.0
173,30.0
174,63.0
175,50.0
176,2.0
177,87.0
178,66.0
179,81.0
180,74.0
181,10.0
182,9.0
183,43.0
184,46.0
185,83.0
186,63.0
187,53.0
188,41.0
189,87.0
190,78.0
191,27.0
192,80.0
193,46.0
194,45.0
195,-1.0
196,65.0
197,97.0
198,49.0
199,23.0
200,68.0
201,77.0
202,54.0
203,61.0
204,85.0
205,61.0
206,-3.0
207,73.0
208,54.0
209,27.0
210,38.0
211,34.0
212,22.0
213,64.0
214,15.0
215,78.0
216,0.0
217,83.0
218,58.0
219,80.0
220,43.0
221,63.0
222,82.0
223,62.0
224,46.0
225,64.0
226,41.0
227,61.0
228,10.0
229,93.0
230,45.0
231,66.0
232,49.0
233,41.0
234,7.0
235,26.0
236,33.0
237,86.0
238,84.0
239,90.0
240,59.0
241,19.0
242,19.0
243,33.0
244,54.0
245,85.0
246,-2.0
247,-11.0
248,43.0
249,62.0
250,61.0
251,90.0
252,78.0
253,11.0
254,31.0
255,66.0
256,56.0
257,16.0
258,76.0
259,35.0
260,52.0
261,52.0
262,82.0
263,86.0
264,22.0
265,87.0
266,71.0
267,31.0
268,39.0
269,77.0
270,18.0
271,77.0
272,57.0
273,84.0
274,37.0
275,29.0
276,80.0
277,55.0
278,86.0
279,36.0
280,91.0
281,48.0
282,78.0
283,84.0
284,14.0
285,-2.0
286,62.0
287,67.0
288,58.0
289,55.0
290,64.0
291,63.0
292,41.0
293,64.0
294,37.0
295,99.0
296,9.0
297,26.0
298,18.0
299,39.0
300,45.0
301,80.0
302,98.0
303,69.0
304,10.0
305,73.0
306,12.0
307,-7.0
308,29.0
309,-5.0
310,48.0
311,78.0
312,74.0
313,76.0
314,72.0
315,-9.0
316,74.0
317,43.0
318,49.0
319,20.0
320,54.0
321,91.0
322,99.0
323,80.0
324,24.0
325,47.0
326,58.0
327,48.0
328,64.0
329,80.0
330,82.0
331,15.0
332,1.0
333,41.0
334,26.0
335,65.0
336,27.0
337,30.0
338,36.0
339,63.0
340,32.0
341,78.0
342,33.0
343,64.0
344,24.0
345,28.0
346,65.0
347,31.0
348,58.0
349,25.0
350,70.0
351,66.0
352,56.0
353,82.0
354,45.0
355,-4.0
356,88.0
357,64.0
358,31.0
359,81.0
360,78.0
361,20.0
362,56.0
363,93.0
364,51.0
365,18.0
366,49.0
367,87.0
368,1.0
369,1.0
370,28.0
371,71.0
372,72.0
373,77.0
374,68.0
375,20.0
376,41.0
377,76.0
378,14.0
379,54.0
380,54.0
381,53.0
382,86.0
383,-2.0
384,59.0
385,74.0
386,74.0
387,71.0
388,64.0
389,35.0
390,51.0
391,38.0
392,5.0
393,82.0
394,43.0
395,25.0
396,76.0
397,83.0
398,88.0
399,82.0
