Task_ID,1,2,3,4,5,6,7,8,9,10
1,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
3,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
4,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
5,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
6,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
7,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
8,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
9,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
10,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
11,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
12,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
13,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
14,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
16,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
17,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
18,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
19,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
20,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
21,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
22,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
23,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
24,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
25,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
26,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
27,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
28,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
29,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
30,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
31,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
32,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
33,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
34,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
35,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
36,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
37,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
38,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
39,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
40,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
41,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
42,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
43,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
44,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
45,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
46,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
47,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
48,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
49,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
50,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
51,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
53,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
54,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
55,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
56,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
57,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
58,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
59,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
60,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
61,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
62,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
63,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
64,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
65,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
66,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
67,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
68,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
69,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
70,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
71,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
72,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
73,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
74,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
75,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
76,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
77,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
78,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
79,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
80,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
81,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
82,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
83,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
84,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
85,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
86,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
87,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
88,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
89,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
90,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
91,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
92,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
93,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
94,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
95,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
96,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
97,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
98,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
99,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
100,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
101,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
102,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
103,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
104,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
105,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
106,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
107,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
108,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
109,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
110,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
111,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
112,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
113,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
