pairing_id,cost
1,708.0
2,454.0
3,461.0
4,448.0
5,441.0
6,504.0
7,297.0
8,248.0
9,43.0
10,275.0
11,410.0
12,230.0
13,448.0
14,420.0
15,535.0
16,433.0
17,77.0
18,875.0
19,407.0
20,911.0
21,655.0
22,48.0
23,474.0
24,530.0
25,105.0
26,674.0
27,449.0
28,340.0
29,545.0
30,595.0
31,413.0
32,242.0
33,411.0
34,850.0
35,543.0
36,256.0
37,36.0
38,417.0
39,416.0
40,43.0
41,68.0
42,211.0
43,265.0
44,344.0
45,698.0
46,517.0
47,266.0
48,428.0
49,766.0
50,452.0
51,292.0
52,117.0
53,571.0
54,805.0
55,730.0
56,174.0
57,513.0
58,41.0
59,268.0
60,514.0
61,400.0
62,545.0
63,598.0
64,317.0
65,429.0
66,358.0
67,42.0
68,745.0
69,226.0
70,480.0
71,1041.0
72,428.0
73,731.0
74,499.0
75,551.0
76,571.0
77,461.0
78,791.0
79,74.0
80,487.0
81,463.0
82,399.0
83,922.0
84,873.0
85,505.0
86,535.0
87,460.0
88,552.0
89,78.0
90,281.0
91,656.0
92,722.0
93,752.0
94,228.0
95,295.0
96,558.0
97,223.0
98,137.0
99,75.0
100,517.0
101,623.0
102,616.0
103,536.0
104,486.0
105,516.0
106,557.0
107,544.0
108,396.0
109,335.0
110,613.0
111,506.0
112,629.0
113,344.0
114,412.0
115,270.0
116,836.0
117,491.0
118,459.0
119,446.0
120,233.0
121,674.0
122,397.0
123,317.0
124,548.0
125,474.0
126,655.0
127,708.0
128,674.0
129,679.0
130,35.0
131,421.0
132,760.0
133,276.0
134,582.0
135,247.0
136,399.0
137,676.0
138,673.0
139,744.0
140,954.0
141,1125.0
142,988.0
143,292.0
144,798.0
145,819.0
146,714.0
147,798.0
148,887.0
149,711.0
150,563.0
151,1016.0
152,306.0
153,903.0
154,539.0
155,478.0
156,711.0
157,535.0
158,554.0
159,545.0
160,505.0
161,530.0
162,506.0
163,753.0
164,627.0
165,898.0
166,893.0
167,471.0
168,562.0
169,562.0
170,421.0
171,446.0
172,668.0
173,629.0
174,543.0
175,925.0
176,243.0
177,920.0
178,757.0
179,611.0
180,512.0
181,668.0
182,756.0
183,621.0
184,756.0
185,849.0
186,640.0
187,779.0
188,650.0
189,863.0
190,798.0
191,416.0
192,819.0
193,1092.0
194,541.0
195,1441.0
196,969.0
197,757.0
198,690.0
199,1142.0
200,598.0
201,930.0
202,1703.0
203,878.0
204,1342.0
205,720.0
206,1130.0
207,1131.0
208,991.0
209,787.0
210,1054.0
211,403.0
212,685.0
213,846.0
214,1443.0
215,966.0
216,1413.0
217,825.0
218,1047.0
219,238.0
220,694.0
221,447.0
222,1005.0
223,884.0
224,1079.0
225,615.0
226,569.0
227,1241.0
228,1199.0
229,1393.0
230,692.0
231,1982.0
232,1557.0
233,728.0
234,513.0
235,399.0
236,1306.0
237,1785.0
238,975.0
239,1332.0
240,1526.0
241,841.0
242,1063.0
243,1190.0
244,1772.0
245,2020.0
246,2679.0
247,1970.0
248,2002.0
249,250.0
250,680.0
251,297.0
252,823.0
253,679.0
254,869.0
255,244.0
256,837.0
257,693.0
258,68.0
259,613.0
260,722.0
261,42.0
262,458.0
263,1018.0
264,373.0
265,387.0
266,402.0
267,737.0
268,652.0
269,44.0
270,381.0
271,1015.0
272,1222.0
273,492.0
274,419.0
275,444.0
276,444.0
277,140.0
278,993.0
279,1276.0
280,1162.0
281,2099.0
282,1201.0
283,1230.0
284,782.0
285,2313.0
286,1043.0
287,1033.0
288,529.0
289,402.0
290,335.0
291,335.0
292,714.0
293,1110.0
294,421.0
295,572.0
296,421.0
297,1324.0
298,69.0
299,620.0
300,37.0
301,524.0
302,36.0
303,253.0
304,674.0
305,577.0
306,227.0
307,615.0
308,435.0
309,444.0
310,410.0
311,419.0
312,435.0
313,468.0
314,548.0
315,784.0
316,508.0
317,444.0
318,460.0
319,469.0
320,435.0
321,444.0
322,410.0
323,444.0
324,760.0
325,565.0
326,708.0
327,230.0
328,349.0
329,206.0
330,579.0
331,419.0
332,428.0
333,540.0
334,403.0
335,553.0
336,214.0
337,592.0
338,534.0
339,518.0
340,720.0
341,445.0
342,506.0
343,1044.0
344,1359.0
345,75.0
346,639.0
347,1196.0
348,907.0
349,730.0
350,549.0
351,414.0
352,413.0
353,1048.0
354,771.0
355,569.0
356,587.0
357,1281.0
358,437.0
359,441.0
360,575.0
361,562.0
362,561.0
363,639.0
364,967.0
365,246.0
366,1086.0
367,654.0
368,384.0
369,548.0
370,763.0
371,426.0
372,426.0
373,401.0
374,1483.0
375,1639.0
376,669.0
377,243.0
378,453.0
379,415.0
380,70.0
381,593.0
382,228.0
383,281.0
384,347.0
385,674.0
386,611.0
387,427.0
388,217.0
389,41.0
390,130.0
391,496.0
392,186.0
393,699.0
394,421.0
395,66.0
396,452.0
397,645.0
398,410.0
