unit,batch_0,batch_1,batch_2,batch_3,batch_4,batch_5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,36.3752,41.2612,45.5733,49.3987,52.7951
2,0.0,104.057,118.034,130.3697,141.3126,151.0285
3,0.0,0.0,0.0,0.0,246.607,279.7164
4,0.0,47.4488,53.8221,59.447,64.4369,68.8672
5,0.0,42.1862,47.8528,52.8538,57.2902,61.2292
6,0.0,0.0,141.9515,161.0186,177.8465,192.7745
7,0.0,64.3131,72.9517,80.5758,87.3392,93.3442
8,0.0,273.8152,310.5824,343.0792,371.8508,397.4121
9,0.0,0.0,0.0,0.0,76.4221,86.6872
10,0.0,0.0,213.6835,242.3763,267.7366,290.1898
11,0.0,0.0,0.0,143.6934,162.9944,180.0288
12,0.0,0.0,0.0,0.0,29.2949,33.2332
13,0.0,0.0,0.0,91.6587,103.9704,114.8362
14,0.0,0.0,59.2505,67.2055,74.2305,80.4559
15,0.0,0.0,0.0,130.3649,147.8757,163.33
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,143.8521,163.1745,180.2278
18,0.0,0.0,0.0,0.0,110.7225,125.5809
19,0.0,53.897,61.1328,67.5266,73.1886,78.2235
20,0.0,0.0,0.0,24.6231,27.9335,30.8561
21,0.0,0.0,0.0,133.4705,151.3985,167.221
22,0.0,0.0,0.0,0.0,61.1105,69.319
23,0.0,0.0,99.9728,113.3969,125.2618,135.7666
24,0.0,0.0,282.3469,320.2547,353.7309,383.3967
25,0.0,0.0,98.4829,111.7052,123.3818,133.7292
26,0.0,0.0,142.5495,161.6969,178.5957,193.5865
27,0.0,0.0,86.5482,98.1735,108.4335,117.5351
28,0.0,128.4711,145.7219,160.969,174.4684,186.4615
29,0.0,272.9609,309.6133,342.0087,370.6906,396.1722
30,0.0,0.0,0.0,0.0,157.1826,178.2955
31,0.0,0.0,0.0,0.0,55.5977,63.0657
32,0.0,0.0,0.0,0.0,391.6635,444.2686
33,0.0,0.0,0.0,0.0,408.6106,463.4919
34,0.0,0.0,0.0,130.5367,148.0706,163.5453
35,0.0,0.0,0.0,158.0772,179.3103,198.0499
36,0.0,0.0,0.0,67.5348,76.6061,84.6122
37,0.0,0.0,0.0,168.6982,191.3579,211.3565
38,0.0,0.0,0.0,0.0,0.0,75.517
39,0.0,0.0,0.0,0.0,0.0,142.1413
40,0.0,0.0,110.0299,124.8044,137.8629,149.4245
41,0.0,76.9544,84.9969,92.1313,98.4658,104.1193
