id,lab_value,lab_load,base_capacity
1,1053.0,1300.0,957.0
2,1580.0,1600.0,965.0
3,1133.0,1200.0,965.0
4,862.0,1100.0,957.0
5,1113.0,1500.0,993.0
6,1699.0,1700.0,969.0
7,1131.0,1400.0,987.0
8,1015.0,1500.0,979.0
9,1094.0,1100.0,987.0
10,1434.0,1500.0,969.0
11,593.0,1000.0,953.0
12,1071.0,1100.0,993.0
13,982.0,1100.0,991.0
14,1345.0,1700.0,991.0
15,1326.0,1500.0,983.0
16,1011.0,1100.0,991.0
17,1187.0,1300.0,987.0
18,1460.0,1800.0,995.0
19,1330.0,1600.0,951.0
20,1381.0,1500.0,993.0
21,1600.0,1700.0,973.0
22,1339.0,1700.0,997.0
23,1704.0,1800.0,973.0
24,860.0,1300.0,969.0
25,1660.0,1700.0,959.0
26,1382.0,1500.0,991.0
27,996.0,1300.0,991.0
28,946.0,1200.0,965.0
29,1100.0,1500.0,953.0
30,1388.0,1500.0,979.0
31,1249.0,1300.0,993.0
32,979.0,1400.0,953.0
33,1098.0,1500.0,959.0
34,1148.0,1500.0,955.0
35,1182.0,1400.0,977.0
36,1317.0,1400.0,993.0
37,1027.0,1300.0,957.0
38,1302.0,1700.0,993.0
39,1455.0,1700.0,955.0
40,759.0,1100.0,951.0
41,1263.0,1600.0,975.0
42,1023.0,1500.0,975.0
43,1158.0,1600.0,987.0
44,1378.0,1700.0,999.0
45,779.0,1100.0,953.0
46,1116.0,1300.0,993.0
47,1230.0,1300.0,971.0
48,1333.0,1500.0,991.0
49,721.0,1100.0,999.0
50,1098.0,1200.0,999.0
51,614.0,1000.0,959.0
52,1538.0,1600.0,991.0
53,877.0,1200.0,957.0
54,1206.0,1400.0,967.0
55,1227.0,1300.0,957.0
56,1468.0,1500.0,985.0
57,1279.0,1700.0,981.0
58,1445.0,1600.0,979.0
59,1300.0,1600.0,971.0
60,1260.0,1700.0,961.0
61,1465.0,1500.0,967.0
62,1381.0,1700.0,993.0
63,1374.0,1700.0,979.0
64,1412.0,1700.0,953.0
65,1179.0,1200.0,983.0
66,960.0,1300.0,989.0
67,1109.0,1500.0,957.0
68,1506.0,1700.0,997.0
69,1172.0,1400.0,977.0
70,783.0,1200.0,983.0
71,740.0,1000.0,959.0
72,1287.0,1700.0,981.0
73,888.0,1100.0,979.0
74,1031.0,1500.0,961.0
75,810.0,1100.0,991.0
