id,unit_value,max_batches
1,52.0,3
2,207.0,2
3,610.0,4
4,64.0,2
5,337.0,2
6,265.0,3
7,197.0,2
8,53.0,3
9,518.0,3
10,224.0,4
11,156.0,3
12,720.0,3
13,627.0,4
14,551.0,1
15,56.0,4
16,114.0,3
17,1026.0,2
18,234.0,4
19,246.0,1
20,4.0,1
21,130.0,3
22,723.0,1
23,1094.0,1
24,437.0,2
25,301.0,1
26,163.0,4
27,1051.0,1
28,396.0,1
29,165.0,3
30,829.0,4
31,470.0,3
32,153.0,2
33,34.0,4
34,15.0,4
35,68.0,2
36,57.0,4
37,1484.0,4
38,1011.0,1
39,493.0,3
40,175.0,1
41,330.0,3
42,334.0,3
43,1049.0,1
44,208.0,4
45,625.0,2
46,833.0,1
47,326.0,3
48,440.0,3
49,473.0,1
50,881.0,4
51,1021.0,4
52,416.0,4
53,128.0,2
54,615.0,2
55,1536.0,1
56,278.0,1
57,615.0,1
58,145.0,1
59,251.0,4
60,248.0,3
61,232.0,3
62,184.0,1
63,1231.0,4
64,41.0,1
65,442.0,3
66,155.0,3
67,93.0,4
68,531.0,1
69,293.0,3
70,311.0,4
71,255.0,4
72,142.0,4
73,738.0,4
74,295.0,2
75,564.0,2
76,703.0,4
77,560.0,1
78,837.0,3
79,883.0,4
80,691.0,3
81,257.0,1
82,328.0,3
83,648.0,2
84,172.0,2
85,272.0,4
86,116.0,1
87,1436.0,2
88,286.0,1
89,36.0,4
90,831.0,4
91,322.0,1
92,79.0,1
93,1447.0,4
94,433.0,4
95,1053.0,3
96,1115.0,3
97,849.0,1
98,241.0,3
99,230.0,3
100,148.0,1
