chassis_id,time_id,assignment_coefficient
40,0,38400.6003570557
41,1,38400.6003570557
42,2,38400.6003570557
43,3,37358.3999633789
44,4,38482.2003936768
45,5,38400.6003570557
46,6,37358.3999633789
47,7,37358.3999633789
48,8,37358.3999633789
49,9,37358.3999633789
50,10,38400.6003570557
51,11,37358.3999633789
52,12,38400.6003570557
53,13,38683.800201416
54,14,38400.6003570557
55,15,37358.3999633789
56,16,38400.6003570557
57,17,37358.3999633789
58,18,37358.3999633789
59,19,37358.3999633789
60,20,38400.6003570557
61,21,37358.3999633789
62,22,38400.6003570557
63,23,38546.9145584106
64,24,37358.3999633789
65,25,37358.3999633789
66,26,38482.2003936768
67,27,38546.9145584106
68,28,37358.3999633789
69,29,37358.3999633789
70,30,38400.6003570557
71,31,38400.6003570557
72,32,37358.3999633789
73,33,37358.3999633789
74,34,38400.6003570557
75,35,37358.3999633789
76,36,37358.3999633789
77,37,38400.6003570557
78,38,38400.6003570557
79,39,37358.3999633789
80,40,38400.6003570557
81,41,38400.6003570557
82,42,37358.3999633789
83,43,38400.6003570557
84,44,38400.6003570557
85,45,37358.3999633789
86,46,38400.6003570557
87,47,37358.3999633789
88,48,37358.3999633789
89,49,37358.3999633789
90,50,38400.6003570557
91,51,38482.2003936768
92,52,37358.3999633789
93,53,38400.6003570557
94,54,37358.3999633789
95,55,37358.3999633789
96,56,37358.3999633789
97,57,38400.6003570557
98,58,38400.6003570557
99,59,37358.3999633789
100,60,38400.6003570557
101,61,37358.3999633789
102,62,38400.6003570557
103,63,38482.2003936768
104,64,37358.3999633789
