decision_id,from_node,to_node
d10344,N11937,N07393
d10345,N12048,N07393
d10346,N12159,N07404
d10347,N12270,N07404
d10348,N12371,N07415
d10349,N12382,N07415
d10350,N12393,N07426
d10351,N12404,N07426
d10352,N12415,N07438
d10353,N12426,N07438
d10354,N12437,N07449
d10356,N12448,N07460
d10357,N12459,N07460
d10358,N12470,N07471
d10359,N12481,N07471
d10360,N12492,N12278
d10361,N12558,N07482
d10362,N12669,N07482
d10363,N12780,N07493
d11797,N13147,N09724
d11798,N13158,N09724
d11799,N13169,N09735
d11800,N13180,N09735
d11801,N13191,N09746
d11802,N13202,N09746
d11803,N13213,N09757
d11804,N13225,N09757
d11805,N13236,N09769
d11806,N13247,N09769
d11807,N13258,N09780
d11809,N13269,N09791
d11810,N13280,N09791
d11811,N13291,N09802
d11812,N13302,N09802
d11813,N13313,N12301
d11814,N13324,N09813
d11815,N13336,N09813
d11816,N13347,N09824
d13231,N17709,N11812
d13232,N17720,N11812
d13233,N17731,N11813
d13234,N17742,N11813
d13235,N17753,N11814
d13236,N17764,N11814
d13237,N17776,N11815
d13238,N17787,N11815
d13239,N17798,N11817
d13240,N17809,N11817
d13241,N17820,N11818
d13243,N17831,N11819
d13244,N17842,N11819
d13245,N17853,N11820
d13246,N17864,N11820
d13247,N17875,N12324
d13248,N17887,N11821
d13249,N17898,N11821
d13250,N17909,N11822
d14627,N02831,N12044
d14628,N02842,N12044
d14629,N02853,N12045
d14630,N02864,N12045
d14631,N02875,N12046
d14632,N02887,N12046
d14633,N02898,N12047
d14634,N02909,N12047
d14635,N02920,N12050
d14636,N02931,N12050
d14637,N02942,N12051
d14639,N02953,N12052
d14640,N02964,N12052
d14641,N02975,N12053
d14642,N02986,N12053
d14643,N02998,N12347
d14644,N03009,N12054
d14645,N03020,N12054
d14646,N03031,N12055
d16004,N12891,N07504
d16005,N13002,N07504
d16006,N13113,N07515
d16007,N13224,N07515
d16008,N13335,N07526
d16009,N13446,N07526
d16010,N13557,N07537
d16011,N13668,N07537
d16012,N13779,N07549
d16013,N13890,N07549
d16014,N14001,N07560
d16016,N14112,N07571
d16017,N14223,N07571
d16018,N14334,N07582
d16019,N14445,N07582
d16020,N14556,N12279
d16021,N14667,N07593
d16022,N14778,N07593
d16023,N14889,N07604
d17381,N13358,N09835
d17382,N13369,N09835
d17383,N13380,N09846
d17384,N13391,N09846
d17385,N13402,N09857
d17386,N13413,N09857
d17387,N13424,N09868
d17388,N13435,N09868
d17389,N13447,N09880
d17390,N13458,N09880
d17391,N13469,N09891
d17393,N13480,N09902
d17394,N13491,N09902
d17395,N13502,N09913
d17396,N13513,N09913
d17397,N13524,N12302
d17398,N13535,N09924
d17399,N13546,N09924
d17400,N13558,N09935
d18739,N17920,N11823
d18740,N17931,N11823
d18741,N17942,N11824
d18742,N17953,N11824
d18743,N17964,N11825
d18744,N17975,N11825
d18745,N17986,N11826
d18746,N17998,N11826
d18747,N18009,N11828
d18748,N18020,N11828
d18749,N18031,N11829
d18751,N18042,N11830
d18752,N18053,N11830
d18753,N18064,N11831
d18754,N18075,N11831
d18755,N18086,N12325
d18756,N18097,N11832
d18757,N18109,N11832
d18758,N18120,N11833
d20059,N03042,N12056
d20060,N03053,N12056
d20061,N03064,N12057
d20062,N03075,N12057
d20063,N03086,N12058
d20064,N03097,N12058
d20065,N03109,N12059
d20066,N03120,N12059
d20067,N03131,N12061
d20068,N03142,N12061
d20069,N03153,N12062
d20071,N03164,N12063
d20072,N03175,N12063
d20073,N03186,N12064
d20074,N03197,N12064
d20075,N03208,N12349
d20076,N03220,N12065
d20077,N03231,N12065
d20078,N03242,N12066
d21360,N15000,N07615
d21361,N15111,N07615
d21362,N15222,N07626
d21363,N15333,N07626
d21364,N15444,N07637
d21365,N15555,N07637
d21366,N15666,N07648
d21367,N15777,N07648
d21368,N15888,N07660
d21369,N15999,N07660
d21370,N16110,N07671
d21372,N16221,N07682
d21373,N16332,N07682
d21374,N16443,N07693
d21375,N16554,N07693
d21376,N16665,N12280
d21377,N16776,N07704
d21378,N16887,N07704
d21379,N16998,N07715
d22661,N13569,N09946
d22662,N13580,N09946
d22663,N13591,N09957
d22664,N13602,N09957
d22665,N13613,N09968
d22666,N13624,N09968
d22667,N13635,N09979
d22668,N13646,N09979
d22669,N13657,N09991
d22670,N13669,N09991
d22671,N13680,N10002
d22673,N13691,N10013
d22674,N13702,N10013
d22675,N13713,N10024
d22676,N13724,N10024
d22677,N13735,N12303
d22678,N13746,N10035
d22679,N13757,N10035
d22680,N13768,N10046
d23962,N18131,N11834
d23963,N18142,N11834
d23964,N18153,N11835
d23965,N18164,N11835
d23966,N18175,N11836
d23967,N18186,N11836
d23968,N18197,N11837
d23969,N18208,N11837
d23970,N18220,N11839
d23971,N18231,N11839
d23972,N18242,N11840
d23974,N18253,N11841
d23975,N18264,N11841
d23976,N18275,N11842
d23977,N18286,N11842
d23978,N18297,N12327
d23979,N18308,N11843
d23980,N18319,N11843
d23981,N18331,N11844
d25245,N03253,N12067
d25246,N03264,N12067
d25247,N03275,N12068
d25248,N03286,N12068
d25249,N03297,N12069
d25250,N03308,N12069
d25251,N03319,N12070
d25252,N03331,N12070
d25253,N03342,N12072
d25254,N03353,N12072
d25255,N03364,N12073
d25257,N03375,N12074
d25258,N03386,N12074
d25259,N03397,N12075
d25260,N03408,N12075
d25261,N03419,N12350
d25262,N03430,N12076
d25263,N03442,N12076
d25264,N03453,N12077
d26493,N17109,N07726
d26494,N17220,N07737
d26495,N17331,N07737
d26496,N17442,N07748
d26497,N17553,N07748
d26498,N17664,N07759
d26499,N17775,N07759
d26500,N17886,N07771
d26501,N17997,N07771
d26502,N18108,N07782
d26503,N18219,N07782
d26504,N18330,N07793
d26505,N18441,N07793
d26506,N18552,N07804
d26507,N18663,N07804
d26508,N18774,N12281
d26509,N18885,N07815
d26510,N18996,N07815
d26511,N19107,N07826
d27762,N13780,N10057
d27763,N13791,N10068
d27764,N13802,N10068
d27765,N13813,N10079
d27766,N13824,N10079
d27767,N13835,N10090
d27768,N13846,N10090
d27769,N13857,N10102
d27770,N13868,N10102
d27771,N13879,N10113
d27772,N13891,N10113
d27773,N13902,N10124
d27774,N13913,N10124
d27775,N13924,N10135
d27776,N13935,N10135
d27777,N13946,N12305
d27778,N13957,N10146
d27779,N13968,N10146
d27780,N13979,N10157
d29031,N18342,N11845
d29032,N18353,N11846
d29033,N18364,N11846
d29034,N18375,N11847
d29035,N18386,N11847
d29036,N18397,N11848
d29037,N18408,N11848
d29038,N18419,N11850
d29039,N18430,N11850
d29040,N18442,N11851
d29041,N18453,N11851
d29042,N18464,N11852
d29043,N18475,N11852
d29044,N18486,N11853
d29045,N18497,N11853
d29046,N18508,N12328
d29047,N18519,N11854
d29048,N18530,N11854
d29049,N18541,N11855
d30281,N03464,N12078
d30282,N03475,N12079
d30283,N03486,N12079
d30284,N03497,N12080
d30285,N03508,N12080
d30286,N03519,N12081
d30287,N03530,N12081
d30288,N03541,N12083
d30289,N03553,N12083
d30290,N03564,N12084
d30291,N03575,N12084
d30292,N03586,N12085
d30293,N03597,N12085
d30294,N03608,N12086
d30295,N03619,N12086
d30296,N03630,N12351
d30297,N03641,N12087
d30298,N03652,N12087
d30299,N03664,N12088
d31493,N19218,N07837
d31494,N19329,N07848
d31495,N00000,N07848
d31496,N00111,N07859
d31497,N00222,N07859
d31498,N00333,N07870
d31499,N00444,N07870
d31500,N00555,N07882
d31501,N00666,N07882
d31502,N00777,N07893
d31503,N00888,N07893
d31504,N00999,N07904
d31505,N01110,N07904
d31506,N01221,N07915
d31507,N01332,N07915
d31508,N01443,N12283
d31509,N01554,N07926
d31510,N01665,N07926
d31511,N01776,N07937
d32686,N13990,N10168
d32687,N14002,N10179
d32688,N14013,N10179
d32689,N14024,N10190
d32690,N14035,N10190
d32691,N14046,N10201
d32692,N14057,N10201
d32693,N14068,N10213
d32694,N14079,N10213
d32695,N14090,N10224
d32696,N14101,N10224
d32697,N14113,N10235
d32698,N14124,N10235
d32699,N14135,N10246
d32700,N14146,N10246
d32701,N14157,N12306
d32702,N14168,N10257
d32703,N14179,N10257
d32704,N14190,N10268
d33879,N18553,N11856
d33880,N18564,N11857
d33881,N18575,N11857
d33882,N18586,N11858
d33883,N18597,N11858
d33884,N18608,N11859
d33885,N18619,N11859
d33886,N18630,N11861
d33887,N18641,N11861
d33888,N18652,N11862
d33889,N18664,N11862
d33890,N18675,N11863
d33891,N18686,N11863
d33892,N18697,N11864
d33893,N18708,N11864
d33894,N18719,N12329
d33895,N18730,N11865
d33896,N18741,N11865
d33897,N18752,N11866
d35054,N03675,N12089
d35055,N03686,N12090
d35056,N03697,N12090
