window_id,decision_id
W00,d65166
W00,d65187
W00,d65208
W00,d65229
W00,d65250
W00,d65271
W00,d65292
W00,d65313
W00,d65334
W00,d65355
W00,d65376
W00,d65397
W00,d65418
W00,d65439
W00,d65460
W00,d65481
W00,d65502
W00,d65523
W00,d65544
W00,d65565
W00,d65586
W00,d65607
W00,d65628
W00,d65649
W00,d65670
W00,d65691
W00,d65712
W00,d65733
W00,d65754
W00,d65775
W00,d65796
W00,d65817
W00,d65838
W00,d65859
W00,d65880
W00,d65901
W00,d65922
W00,d65943
W00,d65964
W00,d65985
W00,d66006
W00,d66027
W00,d66048
W00,d66069
W00,d66090
W00,d66111
W00,d66132
W00,d66153
W00,d66174
W00,d66195
W00,d66216
W00,d66237
W00,d66258
W00,d66279
W00,d66300
W00,d66321
W00,d66342
W00,d66363
W00,d66384
W00,d66405
W00,d66426
W00,d66447
W00,d66468
W00,d66489
W00,d66510
W00,d66531
W00,d66552
W00,d66573
W00,d66594
W00,d66615
W00,d66636
W00,d66657
W00,d66678
W00,d66699
W00,d66720
W00,d66741
W00,d66762
W00,d66783
W00,d66804
W00,d66825
W00,d66846
W00,d66867
W00,d66888
W00,d66909
W00,d66930
W00,d66951
W00,d66972
W00,d66993
W00,d67014
W00,d67035
W00,d67056
W00,d67077
W00,d67098
W00,d67119
W00,d67140
W00,d67161
W00,d67182
W00,d67203
W00,d67224
W00,d67245
W00,d67266
W00,d67287
W00,d67308
W00,d67329
W00,d67350
W00,d67371
W00,d67392
W00,d67413
W00,d67434
W00,d67455
W00,d67476
W00,d67497
W00,d67518
W00,d67539
W00,d67560
W00,d67581
W00,d67602
W00,d67623
W00,d67644
W00,d67665
W00,d67686
W00,d67707
W00,d67728
W00,d67749
W00,d67770
W00,d67791
W00,d67812
W00,d67833
W00,d67854
W00,d67875
W00,d67896
W00,d67917
W00,d67938
W00,d67959
W00,d67980
W00,d68001
W00,d68022
W00,d68043
W00,d68064
W00,d68085
W00,d68106
W00,d68127
W00,d68148
W00,d68169
W00,d68190
W00,d68211
W00,d68232
W00,d68253
W00,d68274
W00,d68295
W00,d68316
W00,d68337
W00,d68358
W00,d68379
W00,d68400
W00,d68421
W00,d68442
W00,d68463
W00,d68484
W00,d68505
W00,d68526
W00,d68547
W00,d68568
W00,d68589
W00,d68610
W00,d68631
W00,d68652
W00,d68673
W00,d68694
W00,d68715
W00,d68736
W00,d68757
W00,d68778
W00,d68799
W00,d68820
W00,d68841
W00,d68862
W00,d68883
W00,d68904
W00,d68925
W00,d68946
W00,d68967
W00,d68988
W00,d69009
W00,d69030
W00,d69051
W00,d69072
W00,d69093
W00,d69114
W00,d69135
W00,d69156
W00,d69177
W00,d69198
W00,d69219
W00,d69240
W00,d69261
W00,d69282
W00,d69303
W00,d69324
W00,d69345
W00,d69366
W00,d69387
W00,d69408
W00,d69429
W00,d69450
W00,d69471
W00,d69492
W00,d69513
W00,d69534
W00,d69555
W00,d69576
W00,d69597
W00,d69618
W00,d69639
W00,d69660
W00,d69681
W00,d69702
W00,d69723
W00,d69744
W00,d69765
W00,d69786
W00,d69807
W00,d69828
W00,d69849
W00,d69870
W00,d69891
W00,d69912
W00,d69933
W00,d69954
W00,d69975
W00,d69996
W00,d70017
W00,d70038
W00,d70059
W00,d70080
W00,d70101
W00,d70122
W00,d70143
W00,d70164
W00,d70185
W00,d70206
W00,d70227
W00,d70248
W00,d70269
W00,d70290
W00,d70311
W00,d70332
W00,d70353
W00,d70374
W00,d70395
W00,d70416
W00,d70437
W00,d70458
W00,d70479
W00,d70500
W00,d70521
W00,d70542
W00,d70563
W00,d70584
W00,d70605
W00,d70626
W00,d70647
W00,d70668
W00,d70689
W00,d70710
W00,d70731
W00,d70752
W00,d70773
W00,d70794
W00,d70815
W00,d70836
W00,d70857
W00,d70878
W00,d70899
W00,d70920
W00,d70941
W00,d70962
W00,d70983
W00,d71004
W00,d71025
W00,d71046
W00,d71067
W00,d71088
W00,d71109
W00,d71130
W00,d71151
W00,d71172
W00,d71193
W00,d71214
W00,d71235
W00,d71256
W00,d71277
W00,d71298
W00,d71319
W00,d71340
W00,d71361
W00,d71382
W00,d71403
W00,d71424
W00,d71445
W00,d71466
W00,d71487
W00,d71508
W00,d71529
W00,d71550
W00,d71571
