decision_id,node_id,coef
d08736,N07393,2.0
d09717,N03042,-1.0
d09717,N07393,-1.0
d09718,N03053,-1.0
d09718,N07393,-1.0
d09793,N03253,-1.0
d09793,N07393,-1.0
d09794,N03264,-1.0
d09794,N07393,-1.0
d09850,N01199,-1.0
d09850,N07393,-1.0
d09851,N01210,-1.0
d09851,N07393,-1.0
d09869,N05761,-1.0
d09869,N07393,-1.0
d09870,N05773,-1.0
d09870,N07393,-1.0
d09926,N01432,-1.0
d09926,N07393,-1.0
d09927,N01444,-1.0
d09927,N07393,-1.0
d09945,N05995,-1.0
d09945,N07393,-1.0
d09946,N06006,-1.0
d09946,N07393,-1.0
d10002,N01666,-1.0
d10002,N07393,-1.0
d10003,N01677,-1.0
d10003,N07393,-1.0
d10021,N06228,-1.0
d10021,N07393,-1.0
d10022,N06239,-1.0
d10022,N07393,-1.0
d10078,N01899,-1.0
d10078,N07393,-1.0
d10079,N01910,-1.0
d10079,N07393,-1.0
d10097,N06461,-1.0
d10097,N07393,-1.0
d10098,N06472,-1.0
d10098,N07393,-1.0
d10154,N02132,-1.0
d10154,N07393,-1.0
d10155,N02143,-1.0
d10155,N07393,-1.0
d10173,N06694,-1.0
d10173,N07393,-1.0
d10174,N06705,-1.0
d10174,N07393,-1.0
d10230,N02365,-1.0
d10230,N07393,-1.0
d10231,N02376,-1.0
d10231,N07393,-1.0
d10249,N06927,-1.0
d10249,N07393,-1.0
d10250,N06938,-1.0
d10250,N07393,-1.0
d10306,N02598,-1.0
d10306,N07393,-1.0
d10307,N02609,-1.0
d10307,N07393,-1.0
d10325,N07160,-1.0
d10325,N07393,-1.0
d10326,N07171,-1.0
d10326,N07393,-1.0
d10419,N03464,-1.0
d10419,N07393,-1.0
d10491,N03675,-1.0
d10491,N07393,-1.0
d10509,N01887,-1.0
d10509,N07393,-1.0
d10560,N03886,-1.0
d10560,N07393,-1.0
d10577,N03996,-1.0
d10577,N07393,-1.0
d10628,N04096,-1.0
d10628,N07393,-1.0
d10645,N06105,-1.0
d10645,N07393,-1.0
d10693,N04307,-1.0
d10693,N07393,-1.0
d10757,N04507,-1.0
d10757,N07393,-1.0
d10807,N00145,-1.0
d10807,N07393,-1.0
d10824,N04707,-1.0
d10824,N07393,-1.0
d10875,N00356,-1.0
d10875,N07393,-1.0
d10892,N04918,-1.0
d10892,N07393,-1.0
d10943,N00567,-1.0
d10943,N07393,-1.0
d10960,N05129,-1.0
d10960,N07393,-1.0
d11011,N00778,-1.0
d11011,N07393,-1.0
d11028,N05340,-1.0
d11028,N07393,-1.0
d11079,N00988,-1.0
d11079,N07393,-1.0
d11096,N05551,-1.0
d11096,N07393,-1.0
d08737,N07404,2.0
d09719,N03064,-1.0
d09719,N07404,-1.0
d09720,N03075,-1.0
d09720,N07404,-1.0
d09795,N03275,-1.0
d09795,N07404,-1.0
d09796,N03286,-1.0
d09796,N07404,-1.0
d09852,N01222,-1.0
d09852,N07404,-1.0
d09853,N01233,-1.0
d09853,N07404,-1.0
d09871,N05784,-1.0
d09871,N07404,-1.0
d09872,N05795,-1.0
d09872,N07404,-1.0
d09928,N01455,-1.0
d09928,N07404,-1.0
d09929,N01466,-1.0
d09929,N07404,-1.0
d09947,N06017,-1.0
d09947,N07404,-1.0
d09948,N06028,-1.0
d09948,N07404,-1.0
d10004,N01688,-1.0
d10004,N07404,-1.0
d10005,N01699,-1.0
d10005,N07404,-1.0
d10023,N06250,-1.0
d10023,N07404,-1.0
d10024,N06261,-1.0
d10024,N07404,-1.0
d10080,N01921,-1.0
d10080,N07404,-1.0
d10081,N01932,-1.0
