conflict_group_id,decision_id
C000,d08736
C000,d08967
C000,d09198
C000,d09429
C001,d08737
C001,d08968
C001,d09199
C001,d09430
C002,d08738
C002,d08969
C002,d09200
C002,d09431
C003,d08739
C003,d08970
C003,d09201
C003,d09432
C004,d08740
C004,d08971
C004,d09202
C004,d09433
C005,d08741
C005,d08972
C005,d09203
C005,d09434
C006,d08742
C006,d08973
C006,d09204
C006,d09435
C007,d08743
C007,d08974
C007,d09205
C007,d09436
C008,d08744
C008,d08975
C008,d09206
C008,d09437
C009,d08745
C009,d08976
C009,d09207
C009,d09438
C010,d08746
C010,d08977
C010,d09208
C010,d09439
C011,d08747
C011,d08978
C011,d09209
C011,d09440
C012,d08748
C012,d08979
C012,d09210
C012,d09441
C013,d08749
C013,d08980
C013,d09211
C013,d09442
C014,d08750
C014,d08981
C014,d09212
C014,d09443
C015,d08751
C015,d08982
C015,d09213
C015,d09444
C016,d08752
C016,d08983
C016,d09214
C016,d09445
C017,d08753
C017,d08984
C017,d09215
C017,d09446
C018,d08754
C018,d08985
C018,d09216
C018,d09447
C019,d08755
C019,d08986
C019,d09217
C019,d09448
C020,d08756
C020,d08987
C020,d09218
C020,d09449
C021,d08757
C021,d08988
C021,d09219
C021,d09450
C022,d08758
C022,d08989
C022,d09220
C022,d09451
C023,d08759
C023,d08990
C023,d09221
C023,d09452
C024,d08760
C024,d08991
C024,d09222
C024,d09453
C025,d08761
C025,d08992
C025,d09223
C025,d09454
C026,d08762
C026,d08993
C026,d09224
C026,d09455
C027,d08763
C027,d08994
C027,d09225
C027,d09456
C028,d08764
C028,d08995
C028,d09226
C028,d09457
C029,d08765
C029,d08996
C029,d09227
C029,d09458
C030,d08766
C030,d08997
C030,d09228
C030,d09459
C031,d08767
C031,d08998
C031,d09229
C031,d09460
C032,d08768
C032,d08999
C032,d09230
C032,d09461
C033,d08769
C033,d09000
C033,d09231
C033,d09462
C034,d08770
C034,d09001
C034,d09232
C034,d09463
C035,d08771
C035,d09002
C035,d09233
C035,d09464
C036,d08772
C036,d09003
C036,d09234
C036,d09465
C037,d08773
C037,d09004
C037,d09235
C037,d09466
C038,d08774
C038,d09005
C038,d09236
C038,d09467
C039,d08775
C039,d09006
C039,d09237
C039,d09468
C040,d08776
C040,d09007
C040,d09238
C040,d09469
C041,d08777
C041,d09008
C041,d09239
C041,d09470
C042,d08778
C042,d09009
C042,d09240
C042,d09471
C043,d08779
C043,d09010
C043,d09241
C043,d09472
C044,d08780
C044,d09011
C044,d09242
C044,d09473
C045,d08781
