window_id,min_count,max_count,hard_cap
W00,3.93868125,4.81394375,6.0
W01,4.38881625,5.36410875,6.0
W02,4.61388375,5.63919125,6.0
W03,4.38881625,5.36410875,6.0
W04,4.50135,5.50165,6.0
W05,3.3760125,4.1262375,6.0
W06,4.50135,5.50165,6.0
W07,3.93868125,4.81394375,6.0
W08,4.61388375,5.63919125,6.0
W09,3.93868125,4.81394375,6.0
W10,4.38881625,5.36410875,6.0
W11,3.3760125,4.1262375,6.0
W12,4.61388375,5.63919125,6.0
W13,4.2762825,5.2265675,6.0
W14,4.50135,5.50165,6.0
W15,4.61388375,5.63919125,6.0
W16,3.93868125,4.81394375,6.0
W17,4.38881625,5.36410875,6.0
W18,4.50135,5.50165,6.0
W19,4.2762825,5.2265675,6.0
W20,3.93868125,4.81394375,6.0
W21,2.7,3.3,6.0
W22,1.8,2.2,6.0
W23,2.475,3.025,6.0
W24,2.8125,3.4375,6.0
W25,4.6125,5.6375,6.0
W26,4.3875,5.3625,6.0
W27,4.6125,5.6375,6.0
W28,3.375,4.125,6.0
W29,3.9375,4.8125,6.0
W30,3.9375,4.8125,6.0
W31,4.5,5.5,6.0
W32,3.9375,4.8125,6.0
W33,4.3875,5.3625,6.0
W34,4.5,5.5,6.0
W35,4.275,5.225,6.0
W36,4.3875,5.3625,6.0
W37,4.5,5.5,6.0
W38,4.5,5.5,6.0
W39,3.375,4.125,6.0
W40,4.275,5.225,6.0
W41,4.6125,5.6375,6.0
W42,3.9375,4.8125,6.0
W43,4.3875,5.3625,6.0
W44,4.275,5.225,6.0
W45,3.9375,4.8125,6.0
W46,4.3875,5.3625,6.0
W47,3.9375,4.8125,6.0
W48,4.3875,5.3625,6.0
W49,3.375,4.125,6.0
W50,3.375,4.125,6.0
W51,3.9375,4.8125,6.0
W52,4.3875,5.3625,6.0
W53,4.5,5.5,6.0
W54,4.5,5.5,6.0
W55,4.5,5.5,6.0
W56,4.5,5.5,6.0
W57,3.9375,4.8125,6.0
W58,4.6125,5.6375,6.0
W59,4.6125,5.6375,6.0
W60,4.6125,5.6375,6.0
