coverage_group_id,decision_id
G000,d02856
G000,d02857
G000,d02858
G000,d02859
G000,d02860
G000,d02861
G000,d02862
G000,d02863
G000,d02864
G000,d02865
G000,d02866
G000,d02867
G000,d02868
G000,d02869
G000,d02870
G000,d02871
G000,d02872
G000,d02873
G000,d02874
G000,d02875
G000,d02876
G000,d02877
G000,d02878
G000,d02879
G000,d02880
G000,d02881
G000,d02882
G000,d02883
G000,d02884
G000,d02885
G000,d02886
G000,d02887
G000,d02888
G000,d02889
G000,d02890
G000,d02891
G000,d02892
G000,d02893
G000,d02894
G000,d02895
G000,d02896
G000,d02897
G000,d02898
G000,d02899
G000,d02900
G000,d02901
G000,d02902
G000,d02903
G000,d02904
G000,d02905
G000,d02906
G000,d02907
G000,d02908
G000,d02909
G000,d02910
G000,d02911
G000,d02912
G000,d02913
G000,d02914
G000,d02915
G000,d02916
G000,d02917
G000,d02918
G000,d02919
G000,d02920
G000,d02921
G000,d02922
G000,d02923
G000,d02924
G000,d02925
G000,d02926
G000,d02927
G000,d02928
G000,d02929
G000,d02930
G000,d02931
G000,d02932
G000,d02933
G000,d02934
G000,d02935
G000,d02936
G000,d02937
G000,d02938
G000,d02939
G000,d02940
G000,d02941
G000,d02942
G000,d02943
G000,d02944
G000,d02945
G000,d02946
G000,d02947
G000,d02948
G000,d02949
G000,d02950
G000,d02951
G000,d02952
G000,d02953
G000,d02954
G000,d02955
G000,d02956
G000,d02957
G000,d02958
G000,d02959
G000,d02960
G000,d02961
G000,d02962
G000,d02963
G000,d02964
G000,d02965
G000,d02966
G000,d02967
G000,d02968
G000,d02969
G000,d02970
G000,d02971
G000,d02972
G000,d02973
G000,d02974
G000,d02975
G000,d02976
G000,d02977
G000,d02978
G000,d02979
G000,d02980
G000,d02981
G000,d02982
G000,d02983
G000,d02984
G000,d02985
G000,d02986
G000,d02987
G000,d02988
G000,d02989
G000,d02990
G000,d02991
G000,d02992
G000,d02993
G000,d02994
G000,d02995
G000,d02996
G000,d02997
G000,d02998
G000,d02999
G000,d03000
G000,d03001
G000,d03002
G000,d03003
G000,d03004
G000,d03005
G000,d03006
G000,d03007
G000,d03008
G000,d03009
G000,d03010
G000,d03011
G000,d03012
G000,d03013
G000,d03014
G000,d03015
G000,d03016
G000,d03017
G000,d03018
G000,d03019
G000,d03020
G000,d03021
G000,d03022
G000,d03023
G001,d03024
G001,d03025
G001,d03026
G001,d03027
G001,d03028
G001,d03029
G001,d03030
G001,d03031
G001,d03032
G001,d03033
G001,d03034
G001,d03035
G001,d03036
G001,d03037
G001,d03038
G001,d03039
G001,d03040
G001,d03041
G001,d03042
G001,d03043
G001,d03044
G001,d03045
G001,d03046
G001,d03047
G001,d03048
G001,d03049
G001,d03050
G001,d03051
G001,d03052
G001,d03053
G001,d03054
G001,d03055
G001,d03056
G001,d03057
G001,d03058
G001,d03059
G001,d03060
G001,d03061
G001,d03062
G001,d03063
G001,d03064
G001,d03065
G001,d03066
G001,d03067
G001,d03068
G001,d03069
G001,d03070
G001,d03071
G001,d03072
G001,d03073
G001,d03074
G001,d03075
G001,d03076
G001,d03077
G001,d03078
G001,d03079
G001,d03080
G001,d03081
G001,d03082
G001,d03083
G001,d03084
G001,d03085
G001,d03086
G001,d03087
G001,d03088
G001,d03089
G001,d03090
G001,d03091
G001,d03092
G001,d03093
G001,d03094
G001,d03095
G001,d03096
G001,d03097
G001,d03098
G001,d03099
G001,d03100
G001,d03101
G001,d03102
G001,d03103
G001,d03104
G001,d03105
G001,d03106
G001,d03107
G001,d03108
G001,d03109
G001,d03110
G001,d03111
G001,d03112
G001,d03113
G001,d03114
G001,d03115
G001,d03116
G001,d03117
G001,d03118
G001,d03119
G001,d03120
G001,d03121
G001,d03122
G001,d03123
G001,d03124
G001,d03125
G001,d03126
G001,d03127
G001,d03128
G001,d03129
G001,d03130
G001,d03131
G001,d03132
G001,d03133
G001,d03134
G001,d03135
G001,d03136
G001,d03137
G001,d03138
G001,d03139
G001,d03140
G001,d03141
G001,d03142
G001,d03143
G001,d03144
G001,d03145
G001,d03146
G001,d03147
G001,d03148
G001,d03149
G001,d03150
G001,d03151
G001,d03152
G001,d03153
G001,d03154
G001,d03155
G001,d03156
G001,d03157
G001,d03158
G001,d03159
G001,d03160
G001,d03161
G001,d03162
G001,d03163
G001,d03164
G001,d03165
G001,d03166
G001,d03167
G001,d03168
G001,d03169
G001,d03170
G001,d03171
G001,d03172
G001,d03173
G001,d03174
G001,d03175
G001,d03176
G001,d03177
G001,d03178
G001,d03179
G001,d03180
G001,d03181
G001,d03182
G001,d03183
G001,d03184
G001,d03185
G001,d03186
G001,d03187
G001,d03188
G001,d03189
G001,d03190
G001,d03191
G002,d03192
G002,d03193
G002,d03194
G002,d03195
G002,d03196
G002,d03197
G002,d03198
G002,d03199
G002,d03200
G002,d03201
G002,d03202
