start_slot_id,decision_id
S00,d72212
S00,d72231
S00,d72250
S00,d72269
S00,d72288
S00,d72307
S00,d72326
S00,d72345
S00,d72364
S00,d72385
S00,d72406
S00,d72427
S00,d72448
S00,d72469
S00,d72490
S00,d72511
S00,d72532
S00,d72553
S00,d72574
S00,d72595
S00,d72616
S00,d72637
S00,d72658
S00,d72679
S00,d72700
S00,d72721
S00,d72742
S00,d72763
S00,d72784
S00,d72805
S00,d72826
S00,d72847
S00,d72868
S00,d72889
S00,d72910
S00,d72931
S00,d72952
S00,d72971
S00,d72990
S00,d73009
S01,d72221
S01,d72240
S01,d72259
S01,d72278
S01,d72297
S01,d72316
S01,d72335
S01,d72354
S01,d72373
S01,d72394
S01,d72415
S01,d72436
S01,d72457
S01,d72478
S01,d72499
S01,d72520
S01,d72541
S01,d72562
S01,d72583
S01,d72604
S01,d72625
S01,d72646
S01,d72667
S01,d72688
S01,d72709
S01,d72730
S01,d72751
S01,d72772
S01,d72793
S01,d72814
S01,d72835
S01,d72856
S01,d72877
S01,d72898
S01,d72919
S01,d72940
S01,d72961
S01,d72980
S01,d72999
S01,d73018
S01,d73036
S01,d73055
S01,d73074
S01,d73093
S01,d73112
S01,d73131
S01,d73150
S01,d73169
S01,d73188
S01,d73207
S01,d73226
S01,d73245
S01,d73264
S01,d73283
S01,d73302
S01,d73321
S01,d73338
S01,d73356
S01,d73374
S01,d73392
S01,d73410
S01,d73428
S01,d73446
S01,d73464
S01,d73483
S01,d73502
S01,d73521
S01,d73540
S01,d73559
S01,d73578
S01,d73597
S01,d73616
S01,d73635
S01,d73654
S01,d73673
S01,d73692
S01,d73711
S01,d73730
S01,d73749
S01,d73768
S01,d73787
S01,d73806
S01,d73825
S01,d73844
S02,d72222
S02,d72241
S02,d72260
S02,d72279
S02,d72298
S02,d72317
S02,d72336
S02,d72355
S02,d72374
S02,d72395
S02,d72416
S02,d72437
S02,d72458
S02,d72479
S02,d72500
S02,d72521
S02,d72542
S02,d72563
S02,d72584
S02,d72605
S02,d72626
S02,d72647
S02,d72668
S02,d72689
S02,d72710
S02,d72731
S02,d72752
S02,d72773
S02,d72794
S02,d72815
S02,d72836
S02,d72857
S02,d72878
S02,d72899
S02,d72920
S02,d72941
S02,d72962
S02,d72981
S02,d73000
S02,d73019
S02,d73037
S02,d73056
S02,d73075
S02,d73094
S02,d73113
S02,d73132
S02,d73151
S02,d73170
S02,d73189
S02,d73208
S02,d73227
S02,d73246
S02,d73265
S02,d73284
S02,d73303
S02,d73322
S02,d73339
S02,d73357
S02,d73375
S02,d73393
S02,d73411
S02,d73429
S02,d73447
S02,d73465
S02,d73484
S02,d73503
S02,d73522
S02,d73541
S02,d73560
S02,d73579
S02,d73598
S02,d73617
S02,d73636
S02,d73655
S02,d73674
S02,d73693
S02,d73712
S02,d73731
S02,d73750
S02,d73769
S02,d73788
S02,d73807
S02,d73826
S02,d73845
S03,d72375
S03,d72396
S03,d72417
S03,d72438
S03,d72459
S03,d72480
S03,d72501
S03,d72522
S03,d72543
S03,d72564
S03,d72585
S03,d72606
S03,d72627
S03,d72648
S03,d72669
S03,d72690
S03,d72711
S03,d72732
S03,d72753
S03,d72774
S03,d72795
S03,d72816
S03,d72837
S03,d72858
S03,d72879
S03,d72900
S03,d72921
S03,d72942
S03,d73038
S03,d73057
S03,d73076
S03,d73095
S03,d73114
S03,d73133
S03,d73152
S03,d73171
S03,d73190
S03,d73209
S03,d73228
S03,d73247
S03,d73266
S03,d73285
S03,d73304
S03,d73323
S03,d73340
S03,d73358
S03,d73376
S03,d73394
S03,d73412
S03,d73430
S03,d73448
S03,d73466
S03,d73485
S03,d73504
S03,d73523
S03,d73542
S03,d73561
S03,d73580
S03,d73599
S03,d73618
S03,d73637
S03,d73656
S03,d73675
S03,d73694
S03,d73713
S03,d73732
S03,d73751
S03,d73770
S03,d73789
S03,d73808
S03,d73827
S03,d73846
S04,d72223
S04,d72242
S04,d72261
S04,d72280
S04,d72299
S04,d72318
S04,d72337
S04,d72356
S04,d72376
S04,d72397
S04,d72418
S04,d72439
S04,d72460
S04,d72481
S04,d72502
S04,d72523
S04,d72544
S04,d72565
S04,d72586
S04,d72607
S04,d72628
S04,d72649
S04,d72670
S04,d72691
S04,d72712
S04,d72733
S04,d72754
S04,d72775
S04,d72796
S04,d72817
S04,d72838
S04,d72859
S04,d72880
S04,d72901
S04,d72922
S04,d72943
S04,d72963
S04,d72982
S04,d73001
S04,d73020
S04,d73039
S04,d73058
S04,d73077
S04,d73096
S04,d73115
S04,d73134
S04,d73153
S04,d73172
S04,d73191
S04,d73210
S04,d73229
S04,d73248
S04,d73267
S04,d73286
S04,d73305
S04,d73324
S04,d73341
S04,d73359
S04,d73377
S04,d73395
S04,d73413
S04,d73431
S04,d73449
S04,d73467
S04,d73486
S04,d73505
S04,d73524
S04,d73543
S04,d73562
S04,d73581
S04,d73600
S04,d73619
S04,d73638
S04,d73657
S04,d73676
S04,d73695
S04,d73714
S04,d73733
S04,d73752
S04,d73771
S04,d73790
S04,d73809
S04,d73828
S04,d73847
S05,d72224
S05,d72243
S05,d72262
S05,d72281
S05,d72300
S05,d72319
S05,d72338
S05,d72357
S05,d72377
S05,d72398
S05,d72419
S05,d72440
S05,d72461
S05,d72482
S05,d72503
S05,d72524
S05,d72545
S05,d72566
S05,d72587
S05,d72608
S05,d72629
S05,d72650
S05,d72671
S05,d72692
S05,d72713
S05,d72734
S05,d72755
S05,d72776
S05,d72797
S05,d72818
S05,d72839
S05,d72860
S05,d72881
S05,d72902
S05,d72923
S05,d72944
S05,d72964
S05,d72983
S05,d73002
S05,d73021
S05,d73040
S05,d73059
S05,d73078
S05,d73097
S05,d73116
S05,d73135
S05,d73154
S05,d73173
S05,d73192
S05,d73211
S05,d73230
S05,d73249
S05,d73268
S05,d73287
S05,d73306
S05,d73325
S05,d73342
S05,d73360
S05,d73378
S05,d73396
S05,d73414
S05,d73432
S05,d73450
S05,d73468
S05,d73487
S05,d73506
S05,d73525
S05,d73544
S05,d73563
S05,d73582
S05,d73601
S05,d73620
S05,d73639
S05,d73658
S05,d73677
S05,d73696
