task_id,duration,resource_demand,release_time,latest_start,target_start
1,6,5,30,51,30
2,29,1,71,89,71
3,15,2,22,67,22
4,24,1,17,42,17
5,51,4,113,131,113
6,46,5,24,46,24
7,33,4,0,20,0
8,16,5,40,94,40
9,49,3,16,34,16
10,11,4,68,105,68
11,33,3,27,49,27
12,21,5,69,84,69
13,31,3,89,129,89
14,32,2,54,72,54
15,20,2,60,115,60
16,16,3,94,117,94
17,20,5,18,62,18
18,26,3,92,107,92
19,18,1,119,136,119
20,13,3,0,31,0
21,27,2,144,172,144
22,38,1,24,60,24
23,15,2,19,47,19
24,15,1,134,156,134
25,13,4,131,140,131
26,30,4,24,54,24
27,39,1,57,70,57
28,17,5,28,84,28
29,16,2,128,141,128
30,18,5,22,39,22
31,44,4,104,125,104
32,32,2,81,93,81
33,39,5,57,71,57
34,11,4,64,102,64
35,25,4,23,76,23
36,39,1,85,104,85
37,11,1,149,160,149
38,24,1,71,117,71
39,13,2,152,165,152
40,24,4,71,99,71
41,13,3,62,100,62
42,13,4,102,120,102
43,39,5,74,87,74
44,11,2,140,180,140
45,17,3,7,63,7
46,17,1,90,132,90
47,34,5,0,40,0
48,15,5,39,87,39
49,6,3,67,86,67
50,28,2,65,93,65
