unit_id,start_location_id
0,290
1,288
2,292
3,286
4,283
5,282
6,285
7,284
8,287
9,289
10,293
11,279
12,277
13,291
14,281
15,295
16,294
17,276
18,275
19,280
20,278
21,273
22,272
23,274
24,4
25,11
26,33
27,22
28,25
29,27
30,1
31,8
32,23
33,10
34,38
35,18
36,21
37,20
38,36
39,32
40,24
41,13
42,17
43,9
44,15
45,28
46,16
47,30
48,19
49,39
50,2
51,5
52,0
53,35
54,34
55,31
56,12
57,14
58,29
59,37
60,26
61,3
62,6
63,7
64,72
65,41
66,67
67,49
68,47
69,57
70,50
71,74
72,52
73,40
74,75
75,61
76,60
77,59
78,55
79,58
80,48
81,45
82,63
83,76
84,43
85,51
86,66
87,42
88,56
89,69
90,54
91,73
92,71
93,64
94,65
95,77
96,44
97,46
98,79
99,78
100,68
101,62
102,70
103,53
104,91
105,108
106,93
107,109
108,80
109,107
110,90
111,88
112,119
113,118
114,98
115,106
116,89
117,87
118,83
119,110
120,114
121,85
122,84
123,113
124,94
125,100
126,95
127,82
128,115
129,101
130,116
131,96
132,104
133,103
134,111
135,92
136,102
137,86
138,105
139,112
140,117
141,97
142,81
143,99
144,124
145,157
146,134
147,136
148,135
149,129
150,145
151,144
152,148
153,156
154,142
155,132
156,143
157,147
158,159
159,133
160,128
161,158
162,153
163,121
164,137
165,154
166,152
167,140
168,151
169,150
170,130
171,123
172,146
173,127
174,155
175,139
176,125
177,126
178,122
179,149
180,138
181,131
182,141
183,120
184,177
185,166
186,179
187,184
188,192
189,172
190,191
191,187
192,169
193,190
194,183
195,163
196,197
197,173
198,180
199,198
200,165
201,164
202,181
203,161
204,196
205,188
206,160
207,167
208,176
209,189
210,175
211,178
212,162
213,168
214,199
215,182
216,193
217,185
218,186
219,194
220,195
221,171
222,174
223,170
224,214
225,206
226,201
227,208
228,217
229,221
230,220
231,215
232,210
233,211
234,213
235,212
236,209
237,219
238,205
239,216
240,223
241,200
242,207
243,204
244,218
245,203
246,202
247,222
248,224
249,236
250,239
251,225
252,232
253,241
254,246
255,245
256,233
257,230
258,235
259,234
260,240
261,242
262,229
263,244
264,237
265,227
266,247
267,228
268,243
269,238
270,226
271,231
272,260
273,250
274,251
275,259
276,255
277,263
278,268
279,248
280,271
281,257
282,253
283,262
284,265
285,269
286,252
287,258
288,254
289,249
290,264
291,261
292,256
293,266
294,270
295,267
