department_id,supplier_id,metric_1,metric_2,metric_3,metric_4,metric_5
1,1,0.0737380013,0.0764219984,0.0721359998,0.0767019987,0.0913420022
1,2,0.0697119981,0.0666489974,0.0669320002,0.0779839978,0.0958919972
1,3,0.0599460006,0.061356999,0.0658179969,0.0739749968,0.0912259966
1,4,0.1012099981,0.0994379967,0.1399369985,0.1202289984,0.1632529944
1,5,0.0768549964,0.073605001,0.0777660012,0.0918750018,0.1090509966
1,6,0.0633959994,0.0637779981,0.0698169991,0.0852629989,0.0981020033
1,7,0.0623879991,0.0662650019,0.0742639974,0.0832059979,0.0969820023
1,8,0.0582780018,0.0606000014,0.0656260028,0.0796160027,0.0839999989
1,9,0.0590040013,0.063180998,0.0659840032,0.0761739984,0.0929479972
1,10,0.0644500032,0.0685890019,0.0705130026,0.0794709995,0.1007499993
1,11,0.0590410009,0.0632380024,0.0674230009,0.0869650021,0.1006010026
1,12,0.066843003,0.0679010004,0.0695599988,0.0832500011,0.1070519984
1,13,0.0604609996,0.0661000013,0.0687429979,0.0787279978,0.107946001
1,14,0.0628700033,0.0656849965,0.0678509995,0.0801749974,0.1052210033
1,15,0.0701769963,0.0717549995,0.0800269991,0.0883850008,0.1069919989
1,16,0.065628998,0.0703490004,0.0719330013,0.0896790028,0.1024840027
1,17,0.0649539977,0.0695400015,0.0688109994,0.0849250033,0.0980840027
1,18,0.0618700013,0.0650039986,0.0690189973,0.0827149972,0.1080809981
1,19,0.0724230036,0.0708360001,0.0811839998,0.0930650011,0.2163410038
1,20,0.082344003,0.0833830014,0.0976739973,0.1104099974,0.1375660002
1,21,0.0,0.0,0.1251260042,0.1259759963,0.1324940026
1,22,0.0601430014,0.0647419989,0.0709820017,0.087402001,0.1083770022
1,23,0.0631500036,0.0635050014,0.0702079982,0.0822890028,0.1028489992
1,24,0.0627719983,0.076462999,0.0860119984,0.0994030014,0.0876460001
1,25,0.0755850002,0.070220001,0.0766429976,0.0798610002,0.1004870012
1,26,0.064695999,0.0625170022,0.0648299977,0.0748969987,0.0937570035
1,27,0.0692410022,0.0721969977,0.0767780021,0.0934349969,0.1357489973
1,28,0.0754949972,0.0724930018,0.076210998,0.0882819965,0.1160119995
1,29,0.0692410022,0.0691609979,0.0735239983,0.0852369964,0.1079149991
1,30,0.0823770016,0.0749270022,0.0816750005,0.0928950012,0.1052350029
1,31,0.0651020035,0.069585003,0.0678389966,0.0867429972,0.1010849997
1,32,0.0646089986,0.0672039986,0.0731739998,0.0848189965,0.0913110003
1,33,0.1096509993,0.1055950001,0.0955130011,0.1026600003,0.1198320016
1,34,0.0,0.0,0.1086120009,0.0971930027,0.1004730016
1,35,0.0702909976,0.0724480003,0.0750769973,0.0823410004,0.1106410027
1,36,0.0681810006,0.0662899986,0.0720430017,0.0766749978,0.098631002
1,37,0.0623640008,0.064914003,0.0694580004,0.0806189999,0.0994990021
1,38,0.0689579993,0.0707710013,0.0725829974,0.0883629993,0.1075069979
1,39,0.0768370032,0.0734250024,0.0740780011,0.0843570009,0.096597001
1,40,0.0730729997,0.0684420019,0.0702549964,0.0841360018,0.1023660004
1,41,0.0773930028,0.089364998,0.0822969973,0.0833740011,0.1048299968
1,42,0.0603629984,0.0616800003,0.0649389997,0.0735339969,0.0941819996
1,43,0.0552910008,0.0559430011,0.0602080002,0.0671159998,0.092588
1,44,0.0664490014,0.0727280006,0.0776700005,0.0811280012,0.1143570021
1,45,0.0788230002,0.0778980032,0.0815450028,0.0863109976,0.1131549999
1,46,0.0750230029,0.0666270033,0.072300002,0.0817250013,0.0939889997
1,47,0.0743950009,0.0721250027,0.0737690032,0.0845640004,0.1029530019
1,48,0.0951910019,0.0799869969,0.0767650008,0.0919779986,0.1140599996
1,49,0.0677940026,0.0680219978,0.0757739991,0.0946689993,0.1074049994
2,1,0.0785679966,0.0840599984,0.0830219984,0.0885699987,0.0919699967
2,2,0.0785169974,0.0807640031,0.0857409984,0.0983129963,0.1017400026
2,3,0.0629179999,0.0680169985,0.0754159987,0.0923620015,0.1043810025
2,4,0.1011430025,0.1019989997,0.1408820003,0.1266700029,0.151455
2,5,0.0866110027,0.0902220011,0.0972239971,0.1172059998,0.1217719987
2,6,0.0735339969,0.0783599988,0.0870980024,0.1001119986,0.0992569998
2,7,0.0704480037,0.0773029998,0.0855659992,0.0921389982,0.0964170024
2,8,0.0653939992,0.0714489967,0.078253001,0.0843510032,0.0918850005
2,9,0.0632719994,0.0686039999,0.0749339983,0.0885500014,0.0945760012
2,10,0.0736759976,0.0833349973,0.0869029984,0.099036999,0.1136109978
2,11,0.0636399984,0.0689079985,0.076981999,0.0932219997,0.0974240005
2,12,0.0770569965,0.0831850022,0.0889040008,0.1012080014,0.1092519984
2,13,0.0681829974,0.0761979967,0.0791079998,0.0858500004,0.1053929999
2,14,0.0680669993,0.0724100024,0.0786949992,0.0934600011,0.1033969969
2,15,0.0743250027,0.0833809972,0.0971729979,0.102812998,0.1131369993
2,16,0.0701320022,0.0805900022,0.0859469995,0.1039519981,0.1077909991
2,17,0.0713189989,0.0782879964,0.0794539973,0.0938659981,0.1033790037
2,18,0.0639360026,0.0692119971,0.0769859999,0.0910359994,0.102264002
2,19,0.0840850025,0.0893800035,0.1051599979,0.1102090031,0.2392749935
2,20,0.0901720002,0.0959710032,0.1141339988,0.1179089993,0.1317179948
2,21,0.0,0.0,0.1524450034,0.1549620032,0.1332219988
2,22,0.0707489997,0.080110997,0.0894839987,0.1108170003,0.1186159998
2,23,0.0712530017,0.0765649974,0.0832419991,0.0967440009,0.1077309996
2,24,0.0694409981,0.0836189985,0.0934349969,0.1105960011,0.101921998
2,25,0.0847890005,0.0829799995,0.0932699963,0.0965149999,0.1058190018
2,26,0.0733039975,0.0762170032,0.0836710036,0.0979069993,0.1106669977
2,27,0.0787919983,0.0852740034,0.091798,0.1120880023,0.1376339942
2,28,0.0766929984,0.0782430023,0.0842489973,0.0975399986,0.1218049973
2,29,0.0726599991,0.0758489966,0.0825999975,0.0948539972,0.1163420007
2,30,0.0934740007,0.089887999,0.1037840024,0.1144350022,0.1205049977
2,31,0.0682070032,0.0717710033,0.0740619972,0.0930979997,0.1106199995
2,32,0.0638479963,0.0677540004,0.0728610009,0.0817969963,0.0865160003
2,33,0.1237189993,0.1261889935,0.1191409975,0.1265999973,0.1484010071
2,34,0.0,0.0,0.1157910004,0.1026879996,0.0974240005
2,35,0.08292,0.0898889974,0.0934960023,0.1025329977,0.1330559999
2,36,0.0700379983,0.0709460005,0.0786380023,0.0828529969,0.0881709978
2,37,0.0705709979,0.0774239972,0.0859199986,0.0946400017,0.1053029969
