project_id,required_project_id
9900,10800
9900,10799
9900,10771
9900,10770
9900,9930
9899,10799
9899,10798
9899,10800
9899,10769
9899,9929
9898,10798
9898,10797
9898,10799
9898,10768
9898,9928
9897,10797
9897,10796
9897,10798
9897,10767
9897,9927
9896,10796
9896,10795
9896,10797
9896,10766
9896,9926
9895,10795
9895,10794
9895,10796
9895,10765
9895,9925
9894,10794
9894,10793
9894,10795
9894,10764
9894,9924
9893,10793
9893,10792
9893,10794
9893,10763
9893,9923
9892,10792
9892,10791
9892,10793
9892,10762
9892,9922
9891,10791
9891,10790
9891,10792
9891,10761
9891,9921
9890,10790
9890,10789
9890,10791
9890,10760
9890,9920
9889,10789
9889,10788
9889,10790
9889,10759
9889,9919
9888,10788
9888,10787
9888,10789
9888,10758
9888,9918
9887,10787
9887,10786
9887,10788
9887,10757
9887,9917
9886,10786
9886,10785
9886,10787
9886,10756
9886,9916
9885,10785
9885,10784
9885,10786
9885,10755
9885,9915
9884,10784
9884,10783
9884,10785
9884,10754
9884,9914
9883,10783
9883,10782
9883,10784
9883,10753
9883,9913
9882,10782
9882,10781
9882,10783
9882,10752
9882,9912
9881,10781
9881,10780
9881,10782
9881,10751
9881,9911
9880,10780
9880,10779
9880,10781
9880,10750
9880,9910
9879,10779
9879,10778
9879,10780
9879,10749
9879,9909
9878,10778
9878,10777
9878,10779
9878,10748
9878,9908
9877,10777
9877,10776
9877,10778
9877,10747
9877,9907
9876,10776
9876,10775
9876,10777
9876,10746
9876,9906
9875,10775
9875,10774
9875,10776
9875,10745
9875,9905
9874,10774
9874,10773
9874,10775
9874,10744
9874,9904
9873,10773
9873,10772
9873,10774
9873,10743
9873,9903
9872,10772
9872,10771
9872,10773
9872,10742
9872,9902
9871,10771
9871,10800
9871,10772
9871,10741
9871,9901
9870,10770
9870,10769
9870,10741
9870,10740
9870,10800
9869,10769
9869,10768
9869,10770
9869,10739
9869,10799
9868,10768
9868,10767
9868,10769
9868,10738
9868,10798
9867,10767
9867,10766
9867,10768
9867,10737
9867,10797
9866,10766
9866,10765
9866,10767
9866,10736
9866,10796
9865,10765
9865,10764
9865,10766
9865,10735
9865,10795
9864,10764
9864,10763
9864,10765
9864,10734
9864,10794
9863,10763
9863,10762
9863,10764
9863,10733
9863,10793
9862,10762
9862,10761
9862,10763
9862,10732
9862,10792
9861,10761
9861,10760
9861,10762
9861,10731
9861,10791
9860,10760
9860,10759
9860,10761
9860,10730
9860,10790
9859,10759
9859,10758
9859,10760
9859,10729
9859,10789
9858,10758
9858,10757
9858,10759
9858,10728
9858,10788
9857,10757
9857,10756
9857,10758
9857,10727
9857,10787
9856,10756
9856,10755
9856,10757
9856,10726
9856,10786
