cap_group_id,max_selected
K0000,0.0
K0001,0.0
K0002,0.0
K0003,0.0
K0004,0.0
K0005,0.0
K0006,0.0
K0007,0.0
K0008,0.0
K0009,0.0
K0010,0.0
K0011,0.0
K0012,0.0
K0013,0.0
K0014,0.0
K0015,0.0
K0016,0.0
K0017,0.0
K0018,0.0
K0019,0.0
K0020,0.0
K0021,0.0
K0022,0.0
K0023,0.0
K0024,0.0
K0025,0.0
K0026,0.0
K0027,0.0
K0028,0.0
K0029,0.0
K0030,0.0
K0031,0.0
K0032,0.0
K0033,0.0
K0034,0.0
K0035,0.0
K0036,0.0
K0037,0.0
K0038,0.0
K0039,0.0
K0040,0.0
K0041,0.0
K0042,0.0
K0043,0.0
K0044,0.0
K0045,0.0
K0046,0.0
K0047,0.0
K0048,0.0
K0049,0.0
K0050,0.0
K0051,0.0
K0052,0.0
K0053,0.0
K0054,0.0
K0055,0.0
K0056,0.0
K0057,0.0
K0058,0.0
K0059,0.0
K0060,0.0
K0061,0.0
K0062,0.0
K0063,0.0
K0064,0.0
K0065,0.0
K0066,0.0
K0067,0.0
K0068,0.0
K0069,0.0
K0070,0.0
K0071,0.0
K0072,0.0
K0073,0.0
K0074,0.0
K0075,0.0
K0076,0.0
K0077,0.0
K0078,0.0
K0079,0.0
K0080,0.0
K0081,0.0
K0082,0.0
K0083,0.0
K0084,0.0
K0085,0.0
K0086,0.0
K0087,0.0
K0088,0.0
K0089,0.0
K0090,0.0
K0091,0.0
K0092,0.0
K0093,0.0
K0094,0.0
K0095,0.0
K0096,0.0
K0097,0.0
K0098,0.0
K0099,0.0
K0100,0.0
K0101,0.0
K0102,0.0
K0103,0.0
K0104,0.0
K0105,0.0
K0106,0.0
K0107,0.0
K0108,0.0
K0109,0.0
K0110,0.0
K0111,0.0
K0112,0.0
K0113,0.0
K0114,0.0
K0115,0.0
K0116,0.0
K0117,0.0
K0118,0.0
K0119,0.0
K0120,0.0
K0121,0.0
K0122,0.0
K0123,0.0
K0124,0.0
K0125,0.0
K0126,0.0
K0127,0.0
K0128,0.0
K0129,0.0
K0130,0.0
K0131,0.0
K0132,0.0
K0133,0.0
K0134,0.0
K0135,0.0
K0136,0.0
K0137,0.0
K0138,0.0
K0139,0.0
K0140,0.0
K0141,0.0
K0142,0.0
K0143,0.0
K0144,0.0
K0145,0.0
K0146,0.0
K0147,0.0
K0148,0.0
K0149,0.0
K0150,0.0
K0151,0.0
K0152,0.0
K0153,0.0
K0154,0.0
K0155,0.0
K0156,0.0
K0157,0.0
K0158,0.0
