conflict_group_id,decision_id
C0000,d00224
C0000,d00617
C0000,d00952
C0000,d01345
C0000,d01680
C0000,d02073
C0000,d02408
C0000,d02801
C0001,d00224
C0001,d00631
C0001,d00952
C0001,d01359
C0001,d01680
C0001,d02087
C0001,d02408
C0001,d02815
C0002,d00224
C0002,d00659
C0002,d00952
C0002,d01387
C0002,d01680
C0002,d02115
C0002,d02408
C0002,d02843
C0003,d00224
C0003,d00673
C0003,d00952
C0003,d01401
C0003,d01680
C0003,d02129
C0003,d02408
C0003,d02857
C0004,d00225
C0004,d00616
C0004,d00953
C0004,d01344
C0004,d01681
C0004,d02072
C0004,d02409
C0004,d02800
C0005,d00225
C0005,d00630
C0005,d00953
C0005,d01358
C0005,d01681
C0005,d02086
C0005,d02409
C0005,d02814
C0006,d00225
C0006,d00658
C0006,d00953
C0006,d01386
C0006,d01681
C0006,d02114
C0006,d02409
C0006,d02842
C0007,d00225
C0007,d00672
C0007,d00953
C0007,d01400
C0007,d01681
C0007,d02128
C0007,d02409
C0007,d02856
C0008,d00226
C0008,d00619
C0008,d00954
C0008,d01347
C0008,d01682
C0008,d02075
C0008,d02410
C0008,d02803
C0009,d00226
C0009,d00633
C0009,d00954
C0009,d01361
C0009,d01682
C0009,d02089
C0009,d02410
C0009,d02817
C0010,d00226
C0010,d00661
C0010,d00954
C0010,d01389
C0010,d01682
C0010,d02117
C0010,d02410
C0010,d02845
C0011,d00226
C0011,d00675
C0011,d00954
C0011,d01403
C0011,d01682
C0011,d02131
C0011,d02410
C0011,d02859
C0012,d00227
C0012,d00618
C0012,d00955
C0012,d01346
C0012,d01683
C0012,d02074
C0012,d02411
C0012,d02802
C0013,d00227
C0013,d00632
C0013,d00955
C0013,d01360
C0013,d01683
C0013,d02088
C0013,d02411
C0013,d02816
C0014,d00227
C0014,d00660
C0014,d00955
C0014,d01388
C0014,d01683
C0014,d02116
C0014,d02411
C0014,d02844
C0015,d00227
C0015,d00674
C0015,d00955
C0015,d01402
C0015,d01683
C0015,d02130
C0015,d02411
C0015,d02858
C0016,d00228
C0016,d00621
C0016,d00956
C0016,d01349
C0016,d01684
C0016,d02077
C0016,d02412
C0016,d02805
C0017,d00228
C0017,d00635
C0017,d00956
C0017,d01363
C0017,d01684
C0017,d02091
C0017,d02412
C0017,d02819
C0018,d00228
C0018,d00663
C0018,d00956
C0018,d01391
C0018,d01684
C0018,d02119
C0018,d02412
C0018,d02847
C0019,d00228
C0019,d00677
C0019,d00956
C0019,d01405
C0019,d01684
C0019,d02133
C0019,d02412
C0019,d02861
C0020,d00229
C0020,d00620
C0020,d00957
C0020,d01348
C0020,d01685
C0020,d02076
C0020,d02413
C0020,d02804
C0021,d00229
C0021,d00634
C0021,d00957
C0021,d01362
C0021,d01685
C0021,d02090
C0021,d02413
C0021,d02818
C0022,d00229
C0022,d00662
C0022,d00957
C0022,d01390
C0022,d01685
C0022,d02118
C0022,d02413
C0022,d02846
C0023,d00229
C0023,d00676
C0023,d00957
C0023,d01404
C0023,d01685
C0023,d02132
C0023,d02413
C0023,d02860
C0024,d00230
C0024,d00623
C0024,d00958
C0024,d01351
C0024,d01686
C0024,d02079
C0024,d02414
C0024,d02807
C0025,d00230
C0025,d00637
C0025,d00958
C0025,d01365
C0025,d01686
C0025,d02093
C0025,d02414
C0025,d02821
C0026,d00230
C0026,d00665
C0026,d00958
C0026,d01393
C0026,d01686
C0026,d02121
C0026,d02414
C0026,d02849
C0027,d00230
C0027,d00679
C0027,d00958
C0027,d01407
C0027,d01686
C0027,d02135
C0027,d02414
C0027,d02863
C0028,d00231
C0028,d00622
C0028,d00959
C0028,d01350
C0028,d01687
C0028,d02078
C0028,d02415
C0028,d02806
C0029,d00231
C0029,d00636
C0029,d00959
C0029,d01364
C0029,d01687
C0029,d02092
C0029,d02415
C0029,d02820
C0030,d00231
C0030,d00664
C0030,d00959
C0030,d01392
C0030,d01687
C0030,d02120
C0030,d02415
C0030,d02848
C0031,d00231
C0031,d00678
C0031,d00959
C0031,d01406
C0031,d01687
C0031,d02134
C0031,d02415
C0031,d02862
C0032,d00232
C0032,d00625
C0032,d00960
C0032,d01353
C0032,d01688
C0032,d02081
C0032,d02416
C0032,d02809
C0033,d00232
C0033,d00639
C0033,d00960
C0033,d01367
C0033,d01688
C0033,d02095
C0033,d02416
C0033,d02823
C0034,d00232
C0034,d00667
C0034,d00960
C0034,d01395
C0034,d01688
C0034,d02123
C0034,d02416
C0034,d02851
C0035,d00232
C0035,d00681
C0035,d00960
C0035,d01409
C0035,d01688
C0035,d02137
C0035,d02416
C0035,d02865
C0036,d00233
C0036,d00624
C0036,d00961
C0036,d01352
C0036,d01689
C0036,d02080
C0036,d02417
C0036,d02808
C0037,d00233
C0037,d00638
C0037,d00961
C0037,d01366
C0037,d01689
C0037,d02094
C0037,d02417
C0037,d02822
C0038,d00233
C0038,d00666
C0038,d00961
C0038,d01394
C0038,d01689
C0038,d02122
C0038,d02417
C0038,d02850
C0039,d00233
C0039,d00680
C0039,d00961
C0039,d01408
C0039,d01689
C0039,d02136
C0039,d02417
C0039,d02864
C0040,d00234
C0040,d00627
C0040,d00962
C0040,d01355
C0040,d01690
C0040,d02083
C0040,d02418
C0040,d02811
C0041,d00234
C0041,d00641
C0041,d00962
C0041,d01369
C0041,d01690
C0041,d02097
C0041,d02418
C0041,d02825
C0042,d00234
C0042,d00669
C0042,d00962
C0042,d01397
C0042,d01690
C0042,d02125
C0042,d02418
C0042,d02853
C0043,d00234
C0043,d00683
C0043,d00962
C0043,d01411
C0043,d01690
C0043,d02139
C0043,d02418
C0043,d02867
C0044,d00235
C0044,d00626
C0044,d00963
C0044,d01354
C0044,d01691
C0044,d02082
C0044,d02419
C0044,d02810
C0045,d00235
C0045,d00640
C0045,d00963
C0045,d01368
C0045,d01691
C0045,d02096
C0045,d02419
C0045,d02824
C0046,d00235
C0046,d00668
C0046,d00963
C0046,d01396
C0046,d01691
C0046,d02124
C0046,d02419
C0046,d02852
C0047,d00235
C0047,d00682
C0047,d00963
C0047,d01410
C0047,d01691
C0047,d02138
C0047,d02419
C0047,d02866
C0048,d00236
C0048,d00629
C0048,d00964
C0048,d01357
C0048,d01692
C0048,d02085
C0048,d02420
C0048,d02813
C0049,d00236
C0049,d00643
C0049,d00964
C0049,d01371
C0049,d01692
C0049,d02099
C0049,d02420
C0049,d02827
C0050,d00236
C0050,d00671
C0050,d00964
C0050,d01399
C0050,d01692
C0050,d02127
C0050,d02420
C0050,d02855
C0051,d00236
C0051,d00685
C0051,d00964
C0051,d01413
C0051,d01692
C0051,d02141
C0051,d02420
C0051,d02869
C0052,d00237
C0052,d00628
C0052,d00965
C0052,d01356
C0052,d01693
C0052,d02084
C0052,d02421
C0052,d02812
C0053,d00237
C0053,d00642
C0053,d00965
C0053,d01370
C0053,d01693
C0053,d02098
C0053,d02421
C0053,d02826
C0054,d00237
C0054,d00670
C0054,d00965
C0054,d01398
C0054,d01693
C0054,d02126
C0054,d02421
C0054,d02854
C0055,d00237
C0055,d00684
C0055,d00965
C0055,d01412
C0055,d01693
C0055,d02140
C0055,d02421
C0055,d02868
C0056,d00616
C0056,d00631
C0056,d01344
C0056,d01359
C0056,d02072
C0056,d02087
C0056,d02800
C0056,d02815
C0057,d00616
C0057,d00659
C0057,d01344
C0057,d01387
C0057,d02072
C0057,d02115
C0057,d02800
C0057,d02843
C0058,d00616
C0058,d00673
C0058,d01344
C0058,d01401
C0058,d02072
C0058,d02129
C0058,d02800
C0058,d02857
C0059,d00617
C0059,d00630
C0059,d01345
C0059,d01358
C0059,d02073
C0059,d02086
C0059,d02801
C0059,d02814
C0060,d00617
C0060,d00658
C0060,d01345
C0060,d01386
C0060,d02073
C0060,d02114
C0060,d02801
C0060,d02842
C0061,d00617
C0061,d00672
C0061,d01345
C0061,d01400
C0061,d02073
C0061,d02128
C0061,d02801
C0061,d02856
C0062,d00618
C0062,d00633
C0062,d01346
C0062,d01361
C0062,d02074
C0062,d02089
C0062,d02802
C0062,d02817
C0063,d00618
C0063,d00661
C0063,d01346
C0063,d01389
C0063,d02074
C0063,d02117
C0063,d02802
C0063,d02845
C0064,d00618
C0064,d00675
C0064,d01346
C0064,d01403
C0064,d02074
C0064,d02131
C0064,d02802
C0064,d02859
C0065,d00619
C0065,d00632
C0065,d01347
C0065,d01360
C0065,d02075
C0065,d02088
C0065,d02803
C0065,d02816
C0066,d00619
C0066,d00660
C0066,d01347
C0066,d01388
C0066,d02075
C0066,d02116
C0066,d02803
C0066,d02844
C0067,d00619
C0067,d00674
C0067,d01347
C0067,d01402
C0067,d02075
C0067,d02130
C0067,d02803
C0067,d02858
C0068,d00620
C0068,d00635
C0068,d01348
C0068,d01363
C0068,d02076
C0068,d02091
C0068,d02804
C0068,d02819
C0069,d00620
C0069,d00663
C0069,d01348
C0069,d01391
C0069,d02076
C0069,d02119
C0069,d02804
C0069,d02847
C0070,d00620
C0070,d00677
C0070,d01348
C0070,d01405
C0070,d02076
C0070,d02133
C0070,d02804
C0070,d02861
C0071,d00621
C0071,d00634
C0071,d01349
C0071,d01362
C0071,d02077
C0071,d02090
C0071,d02805
C0071,d02818
C0072,d00621
C0072,d00662
C0072,d01349
C0072,d01390
C0072,d02077
C0072,d02118
C0072,d02805
C0072,d02846
C0073,d00621
C0073,d00676
C0073,d01349
C0073,d01404
C0073,d02077
C0073,d02132
C0073,d02805
C0073,d02860
C0074,d00622
C0074,d00637
C0074,d01350
C0074,d01365
C0074,d02078
C0074,d02093
C0074,d02806
C0074,d02821
C0075,d00622
C0075,d00665
C0075,d01350
C0075,d01393
C0075,d02078
C0075,d02121
C0075,d02806
C0075,d02849
C0076,d00622
C0076,d00679
C0076,d01350
C0076,d01407
C0076,d02078
C0076,d02135
C0076,d02806
C0076,d02863
C0077,d00623
C0077,d00636
C0077,d01351
C0077,d01364
C0077,d02079
C0077,d02092
C0077,d02807
C0077,d02820
C0078,d00623
C0078,d00664
C0078,d01351
C0078,d01392
C0078,d02079
C0078,d02120
C0078,d02807
C0078,d02848
C0079,d00623
C0079,d00678
C0079,d01351
C0079,d01406
C0079,d02079
C0079,d02134
C0079,d02807
C0079,d02862
C0080,d00624
C0080,d00639
C0080,d01352
C0080,d01367
C0080,d02080
C0080,d02095
C0080,d02808
C0080,d02823
C0081,d00624
C0081,d00667
C0081,d01352
C0081,d01395
C0081,d02080
C0081,d02123
C0081,d02808
C0081,d02851
C0082,d00624
C0082,d00681
C0082,d01352
C0082,d01409
C0082,d02080
C0082,d02137
C0082,d02808
C0082,d02865
C0083,d00625
C0083,d00638
C0083,d01353
C0083,d01366
C0083,d02081
C0083,d02094
C0083,d02809
C0083,d02822
C0084,d00625
C0084,d00666
C0084,d01353
C0084,d01394
C0084,d02081
C0084,d02122
C0084,d02809
C0084,d02850
C0085,d00625
C0085,d00680
C0085,d01353
C0085,d01408
C0085,d02081
C0085,d02136
C0085,d02809
C0085,d02864
C0086,d00626
C0086,d00641
C0086,d01354
C0086,d01369
C0086,d02082
C0086,d02097
C0086,d02810
C0086,d02825
C0087,d00626
C0087,d00669
C0087,d01354
C0087,d01397
C0087,d02082
C0087,d02125
C0087,d02810
C0087,d02853
C0088,d00626
C0088,d00683
C0088,d01354
C0088,d01411
C0088,d02082
C0088,d02139
C0088,d02810
C0088,d02867
C0089,d00627
C0089,d00640
C0089,d01355
C0089,d01368
C0089,d02083
C0089,d02096
