decision_id,role,cost
d00000,choice,-1142.5375
d00001,choice,-1142.5375
d00002,choice,-1142.5375
d00003,choice,-1142.5375
d00004,choice,-1142.5375
d00005,choice,-1142.5375
d00006,choice,-1142.5375
d00007,choice,-1142.5375
d00008,choice,-1022.28375
d00009,choice,-1022.28375
d00010,choice,-230.634375
d00011,choice,-230.634375
d00012,choice,-6.203
d00013,choice,-6.203
d00014,choice,-2177.625
d00015,choice,-2177.625
d00016,choice,-2177.625
d00017,choice,-2177.625
d00018,choice,-2177.625
d00019,choice,-2177.625
d00020,choice,-2177.625
d00021,choice,-2177.625
d00022,choice,-1953.8625
d00023,choice,-1953.8625
d00024,choice,-489.40625
d00025,choice,-489.40625
d00026,choice,-89.01
d00027,choice,-89.01
d00028,choice,-2373.125
d00029,choice,-2373.125
d00030,choice,-2373.125
d00031,choice,-2373.125
d00032,choice,-2373.125
d00033,choice,-2373.125
d00034,choice,-2373.125
d00035,choice,-2373.125
d00036,choice,-2129.8125
d00037,choice,-2129.8125
d00038,choice,-538.28125
d00039,choice,-538.28125
d00040,choice,-104.65
d00041,choice,-104.65
d00042,choice,-1517.8125
d00043,choice,-1517.8125
d00044,choice,-1517.8125
d00045,choice,-1517.8125
d00046,choice,-1517.8125
d00047,choice,-1517.8125
d00048,choice,-1517.8125
d00049,choice,-1517.8125
d00050,choice,-1360.03125
d00051,choice,-1360.03125
d00052,choice,-324.453125
d00053,choice,-324.453125
d00054,choice,-36.225
d00055,choice,-36.225
d00056,choice,-1431.75
d00057,choice,-1431.75
d00058,choice,-1431.75
d00059,choice,-1431.75
d00060,choice,-1431.75
d00061,choice,-1431.75
d00062,choice,-1431.75
d00063,choice,-1431.75
d00064,choice,-1282.575
d00065,choice,-1282.575
d00066,choice,-302.9375
d00067,choice,-302.9375
d00068,choice,-29.34
d00069,choice,-29.34
d00070,choice,-1402.2125
d00071,choice,-1402.2125
d00072,choice,-1402.2125
d00073,choice,-1402.2125
d00074,choice,-1402.2125
d00075,choice,-1402.2125
d00076,choice,-1402.2125
d00077,choice,-1402.2125
d00078,choice,-1255.99125
d00079,choice,-1255.99125
d00080,choice,-295.553125
d00081,choice,-295.553125
d00082,choice,-26.977
d00083,choice,-26.977
d00084,choice,-1229.6625
d00085,choice,-1229.6625
d00086,choice,-1229.6625
d00087,choice,-1229.6625
d00088,choice,-1229.6625
d00089,choice,-1229.6625
d00090,choice,-1229.6625
d00091,choice,-1229.6625
d00092,choice,-1100.69625
d00093,choice,-1100.69625
d00094,choice,-252.415625
d00095,choice,-252.415625
d00096,choice,-13.173
d00097,choice,-13.173
d00098,choice,-1205.0125
d00099,choice,-1205.0125
d00100,choice,-1205.0125
d00101,choice,-1205.0125
d00102,choice,-1205.0125
d00103,choice,-1205.0125
d00104,choice,-1205.0125
d00105,choice,-1205.0125
d00106,choice,-1078.51125
d00107,choice,-1078.51125
d00108,choice,-246.253125
d00109,choice,-246.253125
d00110,choice,-11.201
d00111,choice,-11.201
d00112,choice,-1629.5875
d00113,choice,-1629.5875
d00114,choice,-1629.5875
d00115,choice,-1629.5875
d00116,choice,-1629.5875
d00117,choice,-1629.5875
d00118,choice,-1629.5875
d00119,choice,-1629.5875
d00120,choice,-1460.62875
d00121,choice,-1460.62875
d00122,choice,-352.396875
d00123,choice,-352.396875
d00124,choice,-45.167
d00125,choice,-45.167
d00126,choice,-2187.6125
d00127,choice,-2187.6125
d00128,choice,-2187.6125
d00129,choice,-2187.6125
d00130,choice,-2187.6125
d00131,choice,-2187.6125
d00132,choice,-2187.6125
d00133,choice,-2187.6125
d00134,choice,-1962.85125
d00135,choice,-1962.85125
d00136,choice,-491.903125
d00137,choice,-491.903125
d00138,choice,-89.809
d00139,choice,-89.809
d00140,choice,-2348.05
d00141,choice,-2348.05
d00142,choice,-2348.05
d00143,choice,-2348.05
d00144,choice,-2348.05
d00145,choice,-2348.05
d00146,choice,-2348.05
d00147,choice,-2348.05
d00148,choice,-2107.245
d00149,choice,-2107.245
d00150,choice,-532.0125
d00151,choice,-532.0125
d00152,choice,-102.644
d00153,choice,-102.644
d00154,choice,-3108.5875
d00155,choice,-3108.5875
d00156,choice,-3108.5875
d00157,choice,-3108.5875
d00158,choice,-3108.5875
d00159,choice,-3108.5875
d00160,choice,-3108.5875
d00161,choice,-3108.5875
d00162,choice,-2791.72875
d00163,choice,-2791.72875
d00164,choice,-722.146875
d00165,choice,-722.146875
d00166,choice,-163.487
d00167,choice,-163.487
d00168,choice,-1130.85
d00169,choice,-1130.85
d00170,choice,-1130.85
d00171,choice,-1130.85
d00172,choice,-1130.85
d00173,choice,-1130.85
d00174,choice,-1130.85
d00175,choice,-1130.85
d00176,choice,-1011.765
d00177,choice,-1011.765
d00178,choice,-227.7125
d00179,choice,-227.7125
d00180,choice,-5.268
d00181,choice,-5.268
d00182,choice,-1070.5
d00183,choice,-1070.5
d00184,choice,-1070.5
d00185,choice,-1070.5
d00186,choice,-1070.5
d00187,choice,-1070.5
d00188,choice,-1070.5
d00189,choice,-1070.5
d00190,choice,-957.45
d00191,choice,-957.45
d00192,choice,-212.625
d00193,choice,-212.625
d00194,choice,-0.44
d00195,choice,-0.44
d00196,choice,-982.525
d00197,choice,-982.525
d00198,choice,-982.525
d00199,choice,-982.525
d00200,choice,-982.525
d00201,choice,-982.525
d00202,choice,-982.525
d00203,choice,-982.525
d00204,choice,-878.2725
d00205,choice,-878.2725
d00206,choice,-190.63125
d00207,choice,-190.63125
d00208,choice,6.598
d00209,choice,6.598
d00210,choice,-1174.2
d00211,choice,-1174.2
d00212,choice,-1174.2
d00213,choice,-1174.2
d00214,choice,-1174.2
d00215,choice,-1174.2
d00216,choice,-1174.2
d00217,choice,-1174.2
d00218,choice,-1050.78
d00219,choice,-1050.78
d00220,choice,-238.55
d00221,choice,-238.55
d00222,choice,-8.736
d00223,choice,-8.736
d00224,choice,-1211.6
d00225,choice,-1211.6
d00226,choice,-1211.6
d00227,choice,-1211.6
d00228,choice,-1211.6
d00229,choice,-1211.6
d00230,choice,-1211.6
d00231,choice,-1211.6
d00232,choice,-1084.44
d00233,choice,-1084.44
d00234,choice,-247.9
d00235,choice,-247.9
d00236,choice,-11.728
d00237,choice,-11.728
d00238,choice,-217.95
d00239,choice,-217.95
d00240,choice,-217.95
d00241,choice,-217.95
d00242,choice,-217.95
d00243,choice,-217.95
d00244,choice,-217.95
d00245,choice,-217.95
d00246,choice,-190.155
d00247,choice,-190.155
d00248,choice,0.5125
d00249,choice,0.5125
d00250,choice,67.764
d00251,choice,67.764
d00252,choice,-260.6625
d00253,choice,-260.6625
d00254,choice,-260.6625
d00255,choice,-260.6625
d00256,choice,-260.6625
d00257,choice,-260.6625
d00258,choice,-260.6625
d00259,choice,-260.6625
d00260,choice,-228.59625
d00261,choice,-228.59625
d00262,choice,-10.165625
d00263,choice,-10.165625
d00264,choice,64.347
d00265,choice,64.347
d00266,choice,-326.325
d00267,choice,-326.325
d00268,choice,-326.325
d00269,choice,-326.325
d00270,choice,-326.325
d00271,choice,-326.325
d00272,choice,-326.325
d00273,choice,-326.325
d00274,choice,-287.6925
d00275,choice,-287.6925
d00276,choice,-26.58125
d00277,choice,-26.58125
d00278,choice,59.094
d00279,choice,59.094
d00280,choice,-358.8375
d00281,choice,-358.8375
d00282,choice,-358.8375
d00283,choice,-358.8375
d00284,choice,-358.8375
d00285,choice,-358.8375
d00286,choice,-358.8375
d00287,choice,-358.8375
d00288,choice,-316.95375
d00289,choice,-316.95375
d00290,choice,-34.709375
d00291,choice,-34.709375
d00292,choice,56.493
d00293,choice,56.493
d00294,choice,-671.0
d00295,choice,-671.0
d00296,choice,-671.0
d00297,choice,-671.0
d00298,choice,-671.0
d00299,choice,-671.0
d00300,choice,-671.0
d00301,choice,-671.0
d00302,choice,-597.9
d00303,choice,-597.9
d00304,choice,-112.75
d00305,choice,-112.75
d00306,choice,31.52
d00307,choice,31.52
d00308,choice,-720.5125
d00309,choice,-720.5125
d00310,choice,-720.5125
d00311,choice,-720.5125
d00312,choice,-720.5125
d00313,choice,-720.5125
d00314,choice,-720.5125
d00315,choice,-720.5125
d00316,choice,-642.46125
d00317,choice,-642.46125
d00318,choice,-125.128125
d00319,choice,-125.128125
d00320,choice,27.559
d00321,choice,27.559
d00322,choice,-1765.1625
d00323,choice,-1765.1625
d00324,choice,-1765.1625
d00325,choice,-1765.1625
d00326,choice,-1765.1625
d00327,choice,-1765.1625
d00328,choice,-1765.1625
d00329,choice,-1765.1625
d00330,choice,-1582.64625
d00331,choice,-1582.64625
d00332,choice,-386.290625
d00333,choice,-386.290625
d00334,choice,-56.013
d00335,choice,-56.013
d00336,choice,-1732.65
d00337,choice,-1732.65
d00338,choice,-1732.65
d00339,choice,-1732.65
d00340,choice,-1732.65
d00341,choice,-1732.65
d00342,choice,-1732.65
d00343,choice,-1732.65
d00344,choice,-1553.385
d00345,choice,-1553.385
d00346,choice,-378.1625
d00347,choice,-378.1625
d00348,choice,-53.412
d00349,choice,-53.412
d00350,choice,-1373.95
