cap_group_id,decision_id
K0000,d00000
K0000,d00001
K0000,d00002
K0000,d00003
K0000,d00004
K0000,d00005
K0000,d00006
K0000,d00007
K0000,d00008
K0000,d00009
K0000,d00010
K0000,d00011
K0000,d00012
K0000,d00013
K0000,d00728
K0000,d00729
K0000,d00730
K0000,d00731
K0000,d00732
K0000,d00733
K0000,d00734
K0000,d00735
K0000,d00736
K0000,d00737
K0000,d00738
K0000,d00739
K0000,d00740
K0000,d00741
K0000,d01456
K0000,d01457
K0000,d01458
K0000,d01459
K0000,d01460
K0000,d01461
K0000,d01462
K0000,d01463
K0000,d01464
K0000,d01465
K0000,d01466
K0000,d01467
K0000,d01468
K0000,d01469
K0000,d02184
K0000,d02185
K0000,d02186
K0000,d02187
K0000,d02188
K0000,d02189
K0000,d02190
K0000,d02191
K0000,d02192
K0000,d02193
K0000,d02194
K0000,d02195
K0000,d02196
K0000,d02197
K0001,d00014
K0001,d00015
K0001,d00016
K0001,d00017
K0001,d00018
K0001,d00019
K0001,d00020
K0001,d00021
K0001,d00022
K0001,d00023
K0001,d00024
K0001,d00025
K0001,d00026
K0001,d00027
K0001,d00742
K0001,d00743
K0001,d00744
K0001,d00745
K0001,d00746
K0001,d00747
K0001,d00748
K0001,d00749
K0001,d00750
K0001,d00751
K0001,d00752
K0001,d00753
K0001,d00754
K0001,d00755
K0001,d01470
K0001,d01471
K0001,d01472
K0001,d01473
K0001,d01474
K0001,d01475
K0001,d01476
K0001,d01477
K0001,d01478
K0001,d01479
K0001,d01480
K0001,d01481
K0001,d01482
K0001,d01483
K0001,d02198
K0001,d02199
K0001,d02200
K0001,d02201
K0001,d02202
K0001,d02203
K0001,d02204
K0001,d02205
K0001,d02206
K0001,d02207
K0001,d02208
K0001,d02209
K0001,d02210
K0001,d02211
K0002,d00028
K0002,d00029
K0002,d00030
K0002,d00031
K0002,d00032
K0002,d00033
K0002,d00034
K0002,d00035
K0002,d00036
K0002,d00037
K0002,d00038
K0002,d00039
K0002,d00040
K0002,d00041
K0002,d00756
K0002,d00757
K0002,d00758
K0002,d00759
K0002,d00760
K0002,d00761
K0002,d00762
K0002,d00763
K0002,d00764
K0002,d00765
K0002,d00766
K0002,d00767
K0002,d00768
K0002,d00769
K0002,d01484
K0002,d01485
K0002,d01486
K0002,d01487
K0002,d01488
K0002,d01489
K0002,d01490
K0002,d01491
K0002,d01492
K0002,d01493
K0002,d01494
K0002,d01495
K0002,d01496
K0002,d01497
K0002,d02212
K0002,d02213
K0002,d02214
K0002,d02215
K0002,d02216
K0002,d02217
K0002,d02218
K0002,d02219
K0002,d02220
K0002,d02221
K0002,d02222
K0002,d02223
K0002,d02224
K0002,d02225
K0003,d00042
K0003,d00043
K0003,d00044
K0003,d00045
K0003,d00046
K0003,d00047
K0003,d00048
K0003,d00049
K0003,d00050
K0003,d00051
K0003,d00052
K0003,d00053
K0003,d00054
K0003,d00055
K0003,d00770
K0003,d00771
K0003,d00772
K0003,d00773
K0003,d00774
K0003,d00775
K0003,d00776
K0003,d00777
K0003,d00778
K0003,d00779
K0003,d00780
K0003,d00781
K0003,d00782
K0003,d00783
K0003,d01498
K0003,d01499
K0003,d01500
K0003,d01501
K0003,d01502
K0003,d01503
K0003,d01504
K0003,d01505
K0003,d01506
K0003,d01507
K0003,d01508
K0003,d01509
K0003,d01510
K0003,d01511
K0003,d02226
K0003,d02227
K0003,d02228
K0003,d02229
K0003,d02230
K0003,d02231
K0003,d02232
K0003,d02233
K0003,d02234
K0003,d02235
K0003,d02236
K0003,d02237
K0003,d02238
K0003,d02239
K0004,d00056
K0004,d00057
K0004,d00058
K0004,d00059
K0004,d00060
K0004,d00061
K0004,d00062
K0004,d00063
K0004,d00064
K0004,d00065
K0004,d00066
K0004,d00067
K0004,d00068
K0004,d00069
K0004,d00784
K0004,d00785
K0004,d00786
K0004,d00787
K0004,d00788
K0004,d00789
K0004,d00790
K0004,d00791
K0004,d00792
K0004,d00793
K0004,d00794
K0004,d00795
K0004,d00796
K0004,d00797
K0004,d01512
K0004,d01513
K0004,d01514
K0004,d01515
K0004,d01516
K0004,d01517
K0004,d01518
K0004,d01519
K0004,d01520
K0004,d01521
K0004,d01522
K0004,d01523
K0004,d01524
K0004,d01525
K0004,d02240
K0004,d02241
K0004,d02242
K0004,d02243
K0004,d02244
K0004,d02245
K0004,d02246
K0004,d02247
K0004,d02248
K0004,d02249
K0004,d02250
K0004,d02251
K0004,d02252
K0004,d02253
K0005,d00070
K0005,d00071
K0005,d00072
K0005,d00073
K0005,d00074
K0005,d00075
K0005,d00076
K0005,d00077
K0005,d00078
K0005,d00079
K0005,d00080
K0005,d00081
K0005,d00082
K0005,d00083
K0005,d00798
K0005,d00799
K0005,d00800
K0005,d00801
K0005,d00802
K0005,d00803
K0005,d00804
K0005,d00805
K0005,d00806
K0005,d00807
K0005,d00808
K0005,d00809
K0005,d00810
K0005,d00811
K0005,d01526
K0005,d01527
K0005,d01528
K0005,d01529
K0005,d01530
K0005,d01531
K0005,d01532
K0005,d01533
K0005,d01534
K0005,d01535
K0005,d01536
K0005,d01537
K0005,d01538
K0005,d01539
K0005,d02254
K0005,d02255
K0005,d02256
K0005,d02257
K0005,d02258
K0005,d02259
K0005,d02260
K0005,d02261
K0005,d02262
K0005,d02263
K0005,d02264
K0005,d02265
K0005,d02266
K0005,d02267
K0006,d00084
K0006,d00085
K0006,d00086
K0006,d00087
K0006,d00088
K0006,d00089
K0006,d00090
K0006,d00091
K0006,d00092
K0006,d00093
K0006,d00094
K0006,d00095
K0006,d00096
K0006,d00097
K0006,d00812
K0006,d00813
K0006,d00814
K0006,d00815
K0006,d00816
K0006,d00817
K0006,d00818
K0006,d00819
K0006,d00820
K0006,d00821
K0006,d00822
K0006,d00823
K0006,d00824
K0006,d00825
K0006,d01540
K0006,d01541
K0006,d01542
K0006,d01543
K0006,d01544
K0006,d01545
K0006,d01546
K0006,d01547
K0006,d01548
K0006,d01549
K0006,d01550
K0006,d01551
K0006,d01552
K0006,d01553
K0006,d02268
K0006,d02269
K0006,d02270
K0006,d02271
K0006,d02272
K0006,d02273
K0006,d02274
K0006,d02275
K0006,d02276
K0006,d02277
K0006,d02278
K0006,d02279
K0006,d02280
K0006,d02281
K0007,d00098
K0007,d00099
K0007,d00100
K0007,d00101
K0007,d00102
K0007,d00103
K0007,d00104
K0007,d00105
K0007,d00106
K0007,d00107
K0007,d00108
K0007,d00109
K0007,d00110
K0007,d00111
K0007,d00826
K0007,d00827
K0007,d00828
K0007,d00829
K0007,d00830
K0007,d00831
K0007,d00832
K0007,d00833
K0007,d00834
K0007,d00835
K0007,d00836
K0007,d00837
K0007,d00838
K0007,d00839
K0007,d01554
K0007,d01555
K0007,d01556
K0007,d01557
K0007,d01558
K0007,d01559
K0007,d01560
K0007,d01561
K0007,d01562
K0007,d01563
K0007,d01564
