group_id,option_id
1,10
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,30
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,40
5,41
5,42
5,43
5,44
5,45
5,46
5,47
5,48
5,49
5,50
6,51
6,52
6,53
6,54
6,55
6,56
6,57
6,58
7,59
7,60
7,61
7,62
7,63
7,64
7,65
7,66
8,67
8,68
8,69
8,70
8,71
8,72
8,73
8,74
8,75
8,76
9,77
9,78
9,79
9,80
9,81
9,82
9,83
9,84
9,85
9,86
10,87
10,88
10,89
10,90
10,91
10,92
10,93
11,94
11,95
11,96
11,97
11,98
11,99
11,100
11,101
11,102
11,103
12,104
12,105
12,106
12,107
12,108
12,109
12,110
12,111
12,112
12,113
13,114
13,115
13,116
13,117
13,118
13,119
13,120
13,121
13,122
13,123
14,124
14,125
14,126
14,127
14,128
14,129
14,130
14,131
14,132
14,133
15,134
15,135
15,136
15,137
15,138
15,139
15,140
15,141
16,142
16,143
16,144
16,145
16,146
16,147
16,148
16,149
16,150
17,151
17,152
17,153
17,154
17,155
17,156
17,157
17,158
18,159
18,160
18,161
18,162
18,163
18,164
18,165
19,166
19,167
19,168
19,169
19,170
19,171
19,172
19,173
20,174
20,175
20,176
20,177
20,178
20,179
20,180
20,181
21,182
21,183
21,184
21,185
21,186
21,187
21,188
21,189
22,190
22,191
22,192
22,193
22,194
22,195
22,196
22,197
23,198
23,199
23,200
23,201
23,202
23,203
23,204
23,205
24,206
24,207
24,208
24,209
24,210
24,211
24,212
25,213
25,214
25,215
25,216
25,217
25,218
25,219
25,220
25,221
26,222
26,223
26,224
26,225
26,226
26,227
26,228
26,229
27,230
27,231
27,232
27,233
27,234
27,235
27,236
27,237
28,238
28,239
28,240
28,241
28,242
28,243
28,244
28,245
28,246
29,247
29,248
29,249
29,250
29,251
29,252
29,253
29,254
30,255
30,256
30,257
30,258
30,259
30,260
30,261
30,262
30,263
31,264
31,265
31,266
31,267
31,268
31,269
31,270
31,271
32,272
32,273
32,274
32,275
32,276
32,277
32,278
32,279
32,280
32,281
33,282
33,283
33,284
33,285
33,286
33,287
33,288
33,289
33,290
33,291
34,292
