id,unit_value,max_batches
1,526.0,2
2,797.0,2
3,25.0,4
4,333.0,2
5,413.0,1
6,223.0,4
7,416.0,3
8,662.0,1
9,188.0,2
10,41.0,3
11,949.0,4
12,622.0,1
13,864.0,4
14,908.0,4
15,676.0,3
16,124.0,1
17,365.0,3
18,1233.0,1
19,861.0,2
20,175.0,1
21,97.0,3
22,485.0,1
23,325.0,1
24,752.0,3
25,155.0,4
26,481.0,1
27,241.0,3
28,333.0,4
29,222.0,4
30,51.0,4
31,901.0,2
32,187.0,3
33,265.0,3
34,24.0,1
35,228.0,2
36,5.0,2
37,359.0,3
38,214.0,4
39,298.0,2
40,76.0,1
41,778.0,4
42,97.0,3
43,45.0,2
44,370.0,1
45,949.0,4
46,606.0,3
47,49.0,1
48,1086.0,4
49,1703.0,2
50,41.0,2
51,152.0,3
52,721.0,2
53,119.0,2
54,19.0,3
55,86.0,3
56,44.0,2
57,667.0,3
58,407.0,2
59,559.0,2
60,274.0,1
61,201.0,1
62,297.0,4
63,1238.0,3
64,964.0,2
65,797.0,3
66,31.0,2
67,1160.0,1
68,742.0,2
69,843.0,2
70,1098.0,4
71,543.0,3
72,629.0,2
73,561.0,4
74,323.0,2
75,167.0,2
76,257.0,4
77,615.0,4
78,745.0,1
79,531.0,3
80,296.0,2
81,16.0,2
82,566.0,3
83,453.0,4
84,138.0,2
85,196.0,2
86,960.0,1
87,566.0,3
88,115.0,3
89,669.0,1
90,603.0,2
91,313.0,3
92,244.0,4
93,1018.0,3
94,1171.0,3
95,218.0,2
96,561.0,2
97,1065.0,3
98,898.0,2
99,370.0,1
100,311.0,2
