id,lab_value,lab_load,base_capacity
1,1111.0,1300.0,979.0
2,1071.0,1100.0,997.0
3,1520.0,1700.0,967.0
4,946.0,1400.0,989.0
5,1154.0,1200.0,957.0
6,1391.0,1700.0,977.0
7,1583.0,1800.0,997.0
8,922.0,1100.0,993.0
9,1410.0,1700.0,969.0
10,1305.0,1400.0,955.0
11,1560.0,1700.0,977.0
12,1289.0,1400.0,977.0
13,832.0,1300.0,957.0
14,989.0,1200.0,961.0
15,1227.0,1700.0,991.0
16,1527.0,1700.0,999.0
17,1047.0,1200.0,987.0
18,1548.0,1700.0,965.0
19,1288.0,1400.0,981.0
20,1580.0,1700.0,985.0
21,1097.0,1400.0,961.0
22,1468.0,1600.0,955.0
23,1160.0,1400.0,975.0
24,1256.0,1300.0,975.0
25,807.0,1100.0,967.0
26,748.0,1100.0,951.0
27,1227.0,1400.0,961.0
28,1462.0,1500.0,969.0
29,1352.0,1400.0,951.0
30,1223.0,1700.0,957.0
31,1161.0,1600.0,997.0
32,1243.0,1600.0,987.0
33,1323.0,1600.0,989.0
34,1369.0,1500.0,973.0
35,886.0,1100.0,975.0
36,1360.0,1600.0,989.0
37,1270.0,1500.0,987.0
38,1412.0,1800.0,971.0
39,1015.0,1500.0,979.0
40,1528.0,1700.0,955.0
41,712.0,1100.0,955.0
42,704.0,1100.0,987.0
43,1698.0,1700.0,955.0
44,746.0,1200.0,953.0
45,1158.0,1200.0,981.0
46,994.0,1400.0,951.0
47,1143.0,1200.0,955.0
48,1431.0,1700.0,999.0
49,1154.0,1600.0,967.0
50,789.0,1100.0,973.0
51,1239.0,1300.0,973.0
52,1054.0,1300.0,991.0
53,1749.0,1800.0,977.0
54,728.0,1200.0,957.0
55,1129.0,1200.0,961.0
56,872.0,1300.0,975.0
57,1064.0,1100.0,955.0
58,982.0,1000.0,997.0
59,1041.0,1500.0,971.0
60,1708.0,1800.0,955.0
61,895.0,1300.0,971.0
62,1230.0,1500.0,969.0
63,806.0,1000.0,959.0
64,780.0,1200.0,979.0
65,808.0,1100.0,973.0
66,1414.0,1700.0,953.0
67,1175.0,1500.0,987.0
68,841.0,1100.0,957.0
69,1353.0,1500.0,955.0
70,1225.0,1500.0,955.0
71,1357.0,1800.0,995.0
72,755.0,1000.0,953.0
73,820.0,1300.0,969.0
74,1213.0,1700.0,975.0
75,1723.0,1800.0,957.0
