id,unit_value,max_batches
1,1644.0,4
2,135.0,2
3,196.0,3
4,320.0,1
5,482.0,1
6,228.0,1
7,1509.0,3
8,157.0,2
9,342.0,4
10,212.0,3
11,361.0,1
12,415.0,4
13,53.0,3
14,1339.0,2
15,989.0,2
16,192.0,1
17,21.0,4
18,110.0,3
19,797.0,2
20,116.0,1
21,373.0,2
22,988.0,1
23,255.0,4
24,498.0,1
25,664.0,3
26,1381.0,3
27,158.0,4
28,320.0,3
29,306.0,3
30,629.0,2
31,128.0,2
32,700.0,3
33,569.0,4
34,179.0,1
35,969.0,4
36,86.0,2
37,151.0,4
38,510.0,4
39,700.0,3
40,85.0,3
41,845.0,2
42,1368.0,1
43,47.0,1
44,1401.0,2
45,671.0,1
46,86.0,4
47,580.0,1
48,95.0,3
49,250.0,3
50,60.0,1
51,235.0,3
52,849.0,3
53,505.0,3
54,385.0,3
55,583.0,2
56,241.0,3
57,1132.0,3
58,430.0,4
59,1268.0,1
60,1168.0,4
61,434.0,3
62,208.0,1
63,1347.0,2
64,859.0,4
65,678.0,2
66,480.0,4
67,91.0,2
68,139.0,2
69,1329.0,4
70,1234.0,2
71,209.0,3
72,12.0,2
73,1374.0,2
74,60.0,3
75,436.0,3
76,59.0,4
77,416.0,3
78,174.0,1
79,297.0,4
80,1074.0,4
81,762.0,4
82,262.0,1
83,89.0,1
84,492.0,1
85,99.0,4
86,430.0,2
87,619.0,4
88,188.0,4
89,642.0,4
90,888.0,4
91,170.0,1
92,20.0,1
93,266.0,1
94,240.0,2
95,958.0,4
96,557.0,3
97,514.0,2
98,414.0,4
99,789.0,4
100,976.0,2
