employee_id,time_id,activity_code,cost
0,32,a4,4.732571
0,33,a4,4.732571
0,34,a4,4.732571
0,35,a4,4.732571
0,36,a3,1.841983
0,36,a4,1.638599
0,37,a3,1.841983
0,37,a4,1.638599
0,38,a3,1.841983
0,38,a4,1.638599
0,39,a3,1.841983
0,39,a4,1.638599
0,40,a3,1.469251
0,40,a4,1.05388
0,41,a3,1.469251
0,41,a4,1.05388
0,42,a3,1.469251
0,42,a4,1.05388
0,43,a3,1.469251
0,43,a4,1.05388
0,44,a1,0.926099
0,44,a3,0.985197
0,44,a4,0.968653
0,44,a5,1.556288
0,45,a1,0.926099
0,45,a3,0.985197
0,45,a4,0.968653
0,45,a5,1.556288
0,46,a1,0.926099
0,46,a3,0.985197
0,46,a4,0.968653
0,46,a5,1.556288
0,47,a1,0.926099
0,47,a3,0.985197
0,47,a4,0.968653
0,47,a5,1.556288
0,48,a1,1.072768
0,48,a2,1.719532
0,48,a3,1.239808
0,48,a4,0.555231
0,48,a5,1.348526
0,49,a1,1.072768
0,49,a2,1.719532
0,49,a3,1.239808
0,49,a4,0.555231
0,49,a5,1.348526
0,50,a1,1.072768
0,50,a2,1.719532
0,50,a3,1.239808
0,50,a4,0.555231
0,50,a5,1.348526
0,51,a1,1.072768
0,51,a2,1.719532
0,51,a3,1.239808
0,51,a4,0.555231
0,51,a5,1.348526
0,52,a1,0.788423
0,52,a2,1.435501
0,52,a3,1.001224
0,52,a4,0.81742
0,52,a5,1.001737
0,53,a1,0.788423
0,53,a2,1.435501
0,53,a3,1.001224
0,53,a4,0.81742
0,53,a5,1.001737
0,54,a1,0.788423
0,54,a2,1.435501
0,54,a3,1.001224
0,54,a4,0.81742
0,54,a5,1.001737
0,55,a1,0.788423
0,55,a2,1.435501
0,55,a3,1.001224
0,55,a4,0.81742
0,55,a5,1.001737
0,56,a1,1.064333
0,56,a2,1.341606
0,56,a3,0.86635
0,56,a4,0.701761
0,56,a5,1.392648
0,57,a1,1.064333
0,57,a2,1.341606
0,57,a3,0.86635
0,57,a4,0.701761
0,57,a5,1.392648
