action_id,score_weight
81,1116.5678
82,27.560015
83,29.126821
84,28.152559
85,26.472764
86,27.377639
87,27.433681
88,28.189829
89,28.136587
90,29.297526
91,26.608719
92,26.328282
93,29.064154
94,29.410925
95,28.343958
96,26.235216
97,27.458644
98,34.933495
99,33.724853
100,32.21597
101,33.513706
102,33.064949
103,34.811543
104,34.101642
105,32.290816
106,33.229099
107,33.289739
108,33.834424
109,33.775374
110,35.129276
111,32.167221
112,31.969223
113,34.958026
114,86.450488
115,117.9305
116,111.6025
117,77.085884
118,82.411509
119,101.78563
120,114.23874
121,97.760547
122,110.99133
123,76.527591
124,85.963815
125,117.35634
126,113.88163
127,97.606757
128,82.223626
129,101.37822
130,109.23221
131,100.12364
132,85.348176
133,96.09253
134,92.353844
135,109.50755
136,102.64454
137,83.848134
138,85.56054
139,96.051316
140,109.30468
141,100.41912
142,103.70014
143,84.928086
144,93.448826
145,110.59543
146,78.158864
147,62.233417
148,52.299694
149,71.019233
150,69.433014
151,78.676453
152,66.384708
153,54.487534
154,52.900189
155,71.912051
156,78.639124
157,62.29408
158,64.506102
159,52.747285
160,67.787915
161,76.833748
162,1116.5678
163,1116.5678
164,1116.5678
165,1116.5678
166,1116.5678
167,1116.5678
168,22.304752
169,30.025312
170,39.052563
171,34.804892
172,38.848635
173,17.254842
174,24.870944
175,41.120482
176,40.380668
177,35.674909
178,22.349346
179,30.971085
180,44.844459
181,38.605175
182,28.128909
183,37.234863
184,27.561936
185,46.935225
186,44.480178
187,20.159665
188,28.377563
189,36.362631
190,43.572655
191,38.006884
192,45.259563
193,20.195707
194,26.211061
195,47.106783
196,75.308274
197,105.9087
198,99.452328
199,65.194609
200,70.265008
201,90.700236
202,102.65069
203,85.658108
204,98.840958
205,64.651233
206,74.853735
207,105.34004
208,102.27498
209,85.512815
210,70.080547
211,90.266439
212,97.408265
213,87.974931
214,73.261465
215,84.65863
216,80.87364
217,97.578597
218,90.497792
219,71.814858
220,73.454723
221,84.558841
222,97.446806
223,88.268645
224,91.55451
225,72.899177
226,81.966256
227,98.669318
228,71.562691
229,58.583148
230,45.686501
231,62.195472
232,60.345538
233,72.471905
234,62.395473
235,46.832013
236,45.767236
237,62.822883
238,71.737827
239,58.183249
240,60.556547
241,44.968705
242,58.578419
243,70.593569
244,12.150575
245,1116.5678
246,1116.5678
247,1116.5678
248,1116.5678
249,1116.5678
250,35.298741
251,39.467274
252,30.163184
253,22.554687
254,17.254861
255,37.566759
256,39.946974
257,24.870951
258,30.514488
259,21.438462
260,33.959083
261,38.977541
262,36.898242
263,27.583596
264,37.098893
265,43.64639
266,46.935225
267,27.561936
268,20.159665
269,44.480178
270,38.438647
271,43.926813
272,36.463294
273,28.53007
274,21.286524
275,43.971064
276,45.890771
277,26.834826
278,94.741543
279,128.36463
280,123.23151
281,87.32128
282,94.261472
283,109.7547
284,123.25518
285,109.9441
286,122.60617
287,86.723036
288,94.197933
289,127.76722
290,122.9499
291,109.83526
292,94.131588
293,109.40668
294,118.9622
295,111.61274
296,96.305831
297,104.88785
298,101.30051
299,119.5972
300,114.07098
301,94.543548
302,96.638981
303,104.98572
304,119.14511
305,111.99945
306,115.0982
307,95.594614
308,102.38842
309,120.66825
310,91.69257
311,74.817997
312,66.028993
313,84.994047
314,83.419278
315,92.083387
316,79.048252
317,68.381081
318,66.723044
319,85.897688
320,92.258247
321,75.080388
322,77.183364
323,66.664489
324,81.77563
325,90.263925
326,13.987716
327,1116.5678
328,1116.5678
329,1116.5678
330,1116.5678
331,1116.5678
332,40.649219
333,34.680446
334,21.00624
335,31.93509
336,27.238859
337,41.06986
338,37.275281
339,14.946722
340,20.954011
341,31.03988
342,39.334628
343,33.76877
344,27.06397
345,37.42848
346,44.061647
347,36.788036
348,44.480178
349,20.159665
350,27.561936
351,46.935225
352,45.314238
353,37.416248
354,26.791715
355,38.263974
356,28.912789
357,46.816754
358,43.74041
359,20.37606
360,100.56391
361,132.56064
362,126.20798
363,91.668426
364,97.001329
365,115.81862
366,128.61315
367,112.25198
368,125.59917
369,91.103492
370,100.05665
371,131.98429
372,128.26902
373,112.08398
374,96.802758
375,115.43152
376,123.76162
377,114.75196
378,99.999136
379,110.38339
380,106.68152
381,124.09548
382,117.27798
383,98.486309
384,100.21294
385,110.38147
386,123.85378
387,115.0368
388,118.33571
389,99.564688
390,107.77633
391,125.1816
392,87.166086
393,68.942329
394,62.404935
395,82.368022
396,81.061254
397,87.273009
398,73.205227
399,65.350011
400,63.408063
401,83.490324
402,87.939914
403,69.463152
404,71.386548
405,63.798833
406,79.56374
407,85.520334
408,14.652399
409,1116.5678
410,1116.5678
411,1116.5678
412,1116.5678
413,1116.5678
414,31.81021
415,20.706246
416,34.172179
417,40.2525
418,42.198243
419,27.238854
420,14.946682
421,38.571784
422,35.499115
423,40.719685
424,31.483503
425,21.914535
426,38.312823
427,45.24429
428,37.757892
429,27.628666
430,20.159665
431,44.480178
432,46.935225
433,27.561936
434,38.170513
435,26.619757
436,36.966072
437,44.97545
438,48.000592
439,28.373674
440,19.124686
441,45.038192
442,82.771692
443,111.07028
444,103.21679
445,71.218177
446,74.090731
447,98.132379
448,109.16362
449,88.709953
450,102.63111
451,70.73153
452,82.366064
453,110.53171
454,108.74962
455,88.489576
456,73.817402
457,97.664451
458,103.35985
459,92.058387
460,78.271989
461,91.581849
462,87.740136
463,103.18197
464,94.636191
465,77.169735
466,78.309963
467,91.37375
468,103.29419
469,92.221125
470,95.718723
471,78.264806
472,88.819636
473,104.27704
474,65.32271
475,50.22751
476,39.403873
477,58.265507
478,56.761393
479,65.907516
480,54.257853
481,41.601828
482,39.990441
483,59.229052
484,65.765927
485,50.0894
486,52.384131
487,39.882003
488,55.166768
489,64.053931
490,12.910193
491,1116.5678
492,40.402937
493,35.706967
494,22.370492
495,30.979768
496,1116.5678
497,1116.5678
498,1116.5678
499,1116.5678
500,22.327075
501,30.03341
502,39.07273
503,34.835252
