configuration_package_id,action_id
1,82
1,83
1,84
1,85
1,492
1,493
1,494
1,495
1,574
1,575
1,576
1,577
1,656
1,657
1,658
1,659
1,738
1,739
1,740
1,741
1,820
1,821
1,822
1,823
1,902
1,903
1,904
1,905
1,984
1,985
1,986
1,987
1,1066
1,1067
1,1068
1,1069
1,1148
1,1149
1,1150
1,1151
1,1230
1,1231
1,1232
1,1233
1,1312
1,1313
1,1314
1,1315
1,1394
1,1395
1,1396
1,1397
1,1476
1,1477
1,1478
1,1479
1,1558
1,1559
1,1560
1,1561
1,1640
1,1641
1,1642
1,1643
1,1722
1,1723
1,1724
1,1725
1,1804
1,1805
1,1806
1,1807
1,1886
1,1887
1,1888
1,1889
1,1968
1,1969
1,1970
1,1971
1,2050
1,2051
1,2052
1,2053
1,2132
1,2133
1,2134
1,2135
1,2214
1,2215
1,2216
1,2217
1,2296
1,2297
1,2298
1,2299
1,2378
1,2379
1,2380
1,2381
1,2460
1,2461
1,2462
1,2463
1,2542
1,2543
1,2544
1,2545
1,2624
1,2625
1,2626
1,2627
1,2706
1,2707
1,2708
1,2709
1,2788
1,2789
1,2790
1,2791
1,2870
1,2871
1,2872
1,2873
1,2952
1,2953
1,2954
1,2955
1,3034
1,3035
1,3036
1,3037
1,3116
1,3117
1,3118
1,3119
1,3198
1,3199
1,3200
1,3201
1,3280
1,3281
1,3282
1,3283
1,3362
1,3363
1,3364
1,3365
1,3444
1,3445
1,3446
1,3447
1,3526
1,3527
1,3528
1,3529
1,3608
1,3609
1,3610
1,3611
1,3690
1,3691
1,3692
1,3693
1,3772
1,3773
1,3774
1,3775
1,3854
1,3855
1,3856
1,3857
1,3936
1,3937
1,3938
1,3939
1,4018
1,4019
1,4020
1,4021
1,4100
1,4101
1,4102
1,4103
1,4182
1,4183
1,4184
1,4185
1,4264
1,4265
1,4266
1,4267
1,4346
1,4347
1,4348
1,4349
1,4428
1,4429
1,4430
1,4431
1,4510
1,4511
1,4512
1,4513
1,4592
1,4593
1,4594
1,4595
1,4674
1,4675
1,4676
1,4677
1,4756
1,4757
1,4758
1,4759
1,4838
1,4839
1,4840
1,4841
1,4920
1,4921
1,4922
1,4923
1,5002
1,5003
1,5004
1,5005
1,5084
1,5085
1,5086
1,5087
1,5166
1,5167
1,5168
1,5169
1,5248
1,5249
1,5250
1,5251
1,5330
1,5331
1,5332
1,5333
1,5412
1,5413
1,5414
1,5415
1,5494
1,5495
1,5496
1,5497
1,5576
1,5577
1,5578
1,5579
1,5658
1,5659
1,5660
1,5661
1,5740
1,5741
1,5742
1,5743
1,5822
1,5823
1,5824
1,5825
1,5904
1,5905
1,5906
1,5907
1,5986
1,5987
1,5988
1,5989
1,6068
1,6069
1,6070
1,6071
1,6150
1,6151
1,6152
1,6153
1,6232
1,6233
1,6234
1,6235
1,6314
1,6315
1,6316
1,6317
1,6396
1,6397
1,6398
1,6399
1,6478
1,6479
1,6480
1,6481
1,6560
1,6561
1,6562
1,6563
1,6642
1,6643
1,6644
1,6645
2,86
2,87
2,88
2,89
2,168
2,169
2,170
2,171
2,250
2,251
2,252
2,253
2,332
2,333
2,334
2,335
2,414
2,415
2,416
2,417
2,824
2,825
2,826
2,827
2,906
2,907
2,908
2,909
2,988
2,989
2,990
2,991
2,1070
2,1071
2,1072
2,1073
2,1152
2,1153
2,1154
2,1155
2,1234
2,1235
2,1236
2,1237
2,1316
2,1317
2,1318
2,1319
2,1398
2,1399
2,1400
2,1401
2,1480
2,1481
2,1482
2,1483
2,1562
2,1563
2,1564
2,1565
2,1644
2,1645
2,1646
2,1647
2,1726
2,1727
2,1728
2,1729
2,1808
2,1809
2,1810
2,1811
2,1890
2,1891
2,1892
2,1893
2,1972
2,1973
2,1974
2,1975
2,2054
2,2055
2,2056
2,2057
2,2136
2,2137
2,2138
2,2139
2,2218
2,2219
2,2220
2,2221
2,2300
2,2301
2,2302
2,2303
2,2382
2,2383
2,2384
2,2385
2,2464
2,2465
2,2466
2,2467
2,2546
2,2547
2,2548
2,2549
2,2628
2,2629
2,2630
2,2631
2,2710
2,2711
2,2712
2,2713
2,2792
2,2793
2,2794
2,2795
2,2874
2,2875
2,2876
2,2877
2,2956
2,2957
2,2958
2,2959
2,3038
2,3039
2,3040
2,3041
2,3120
2,3121
2,3122
2,3123
2,3202
2,3203
2,3204
2,3205
2,3284
2,3285
2,3286
2,3287
2,3366
2,3367
2,3368
2,3369
2,3448
2,3449
2,3450
2,3451
2,3530
2,3531
2,3532
2,3533
2,3612
2,3613
2,3614
2,3615
2,3694
2,3695
2,3696
2,3697
2,3776
2,3777
2,3778
2,3779
2,3858
2,3859
2,3860
2,3861
2,3940
2,3941
2,3942
2,3943
2,4022
2,4023
2,4024
2,4025
2,4104
2,4105
2,4106
2,4107
2,4186
2,4187
2,4188
2,4189
2,4268
2,4269
2,4270
2,4271
2,4350
2,4351
2,4352
2,4353
2,4432
2,4433
2,4434
2,4435
2,4514
2,4515
2,4516
2,4517
2,4596
2,4597
2,4598
2,4599
2,4678
2,4679
2,4680
2,4681
2,4760
2,4761
2,4762
2,4763
2,4842
2,4843
2,4844
2,4845
2,4924
2,4925
2,4926
2,4927
2,5006
2,5007
2,5008
2,5009
2,5088
2,5089
2,5090
2,5091
2,5170
2,5171
2,5172
2,5173
2,5252
2,5253
2,5254
2,5255
2,5334
2,5335
2,5336
2,5337
2,5416
2,5417
2,5418
2,5419
2,5498
2,5499
2,5500
2,5501
2,5580
2,5581
2,5582
2,5583
2,5662
2,5663
2,5664
2,5665
2,5744
2,5745
2,5746
2,5747
2,5826
2,5827
2,5828
2,5829
2,5908
2,5909
2,5910
2,5911
2,5990
2,5991
2,5992
2,5993
2,6072
2,6073
2,6074
2,6075
2,6154
2,6155
2,6156
2,6157
2,6236
2,6237
2,6238
2,6239
2,6318
2,6319
2,6320
2,6321
2,6400
2,6401
2,6402
2,6403
2,6482
2,6483
2,6484
2,6485
2,6564
2,6565
2,6566
2,6567
2,6646
2,6647
2,6648
2,6649
3,90
3,91
3,92
3,93
3,172
3,173
3,174
3,175
3,254
3,255
3,256
3,257
3,336
3,337
3,338
3,339
3,418
3,419
3,420
3,421
3,500
3,501
3,502
3,503
3,582
3,583
3,584
3,585
3,664
3,665
3,666
3,667
3,746
3,747
3,748
3,749
3,1156
3,1157
3,1158
3,1159
3,1238
3,1239
3,1240
3,1241
3,1320
3,1321
3,1322
3,1323
3,1402
3,1403
3,1404
3,1405
3,1484
3,1485
3,1486
3,1487
3,1566
3,1567
3,1568
3,1569
3,1648
3,1649
3,1650
3,1651
3,1730
3,1731
3,1732
3,1733
3,1812
3,1813
3,1814
3,1815
3,1894
3,1895
3,1896
3,1897
3,1976
3,1977
3,1978
3,1979
3,2058
3,2059
3,2060
3,2061
3,2140
3,2141
3,2142
3,2143
3,2222
3,2223
3,2224
3,2225
3,2304
3,2305
3,2306
3,2307
3,2386
3,2387
3,2388
3,2389
3,2468
3,2469
3,2470
3,2471
3,2550
3,2551
3,2552
3,2553
3,2632
3,2633
3,2634
