id1,id2
0,1
0,2
0,3
0,5
0,6
0,14
0,16
0,17
0,18
0,26
0,30
0,32
0,33
0,36
0,39
1,15
1,16
1,17
1,20
1,21
1,23
1,25
1,26
1,27
1,29
1,31
1,34
1,36
2,3
2,6
2,10
2,15
2,20
2,21
2,23
2,24
2,25
2,31
2,33
2,34
3,8
3,10
3,12
3,15
3,16
3,17
3,26
3,29
3,34
3,36
3,37
4,10
4,16
4,19
4,20
4,22
4,23
4,24
4,25
4,28
4,36
5,8
5,10
5,20
5,22
5,24
5,25
5,28
5,29
5,31
5,34
5,35
5,38
5,39
6,8
6,9
6,13
6,17
6,19
6,23
6,27
6,28
6,29
6,32
6,34
7,11
7,18
7,19
7,20
7,22
7,27
7,29
7,30
7,31
7,33
7,39
8,11
8,13
8,14
8,15
8,17
8,20
8,23
8,26
8,28
8,30
8,39
9,10
9,11
9,16
9,19
9,25
9,27
9,29
9,30
9,33
9,35
9,39
10,11
10,15
10,23
10,24
10,25
10,29
10,30
10,31
10,33
11,12
11,15
11,16
11,21
11,27
11,30
11,32
11,33
11,36
12,14
12,15
12,16
12,17
12,18
12,23
12,25
12,26
12,27
12,28
12,33
12,35
12,37
12,38
13,15
13,16
13,19
13,21
13,24
13,26
13,31
13,33
14,17
14,21
14,23
14,25
14,27
14,28
14,29
14,32
14,36
15,18
15,19
15,20
15,29
15,31
15,34
15,39
16,17
16,18
16,19
16,20
16,25
16,29
16,30
16,33
16,34
17,20
17,23
17,31
17,33
17,38
17,39
18,20
18,23
18,24
18,28
18,31
18,32
18,34
18,35
18,36
18,37
18,39
19,21
19,22
19,23
19,25
19,26
19,27
19,30
19,32
19,35
19,36
20,22
20,26
20,29
20,34
21,23
21,24
21,25
21,31
21,32
21,33
21,35
21,37
22,25
22,32
22,33
23,29
23,34
23,37
23,39
24,33
24,35
24,36
25,26
25,29
25,31
25,32
25,36
25,38
25,39
26,27
26,32
26,39
27,28
27,35
27,37
27,38
28,30
28,36
29,31
29,32
29,34
29,36
29,37
29,38
29,39
30,31
30,34
30,35
30,37
30,39
31,34
31,35
32,33
32,35
32,36
32,37
32,38
32,39
33,35
34,38
35,36
35,39
36,37
37,39
38,39
