segment_id,slot_id,threshold_low,threshold_high,unit_price
SEGd2c7f1d924,TSa2bddef18e,18.6,26.0,102.885
SEG3d5c01f416,TS874720f008,27.5,32.4,226.026
SEG20bba361eb,TS666767b301,115.0,117.0,20.2143
SEG164897679a,TS0e0b71e89c,110.1,123.71,190.201
SEGce5c61b1c8,TS24132c2e53,344.1,386.5,206.618
SEG888509a699,TS98b842dd92,144.8,165.4,28.3364
SEG9b7ddea88a,TS09c93edef7,386.6,434.8,201.092
SEG1fed88c2ed,TS8895174cf3,117.1,147.0,19.3657
SEG0bddf0f971,TSaf4f280f49,88.8,113.9,57.7753
SEG85f5e81475,TS8a4ad29ceb,0.36,0.9,171.336
SEG5de583e445,TS030306ac46,15.0,18.5,108.435
SEGf7e1b6a6b6,TS8ea511c0a1,6.2,6.3,109.264
SEG7ef0fa0753,TS97e6bd8f9b,79.5,105.8,52.9179
SEGe08aeb6b73,TSd29e70c128,32.9,37.5,135.447
SEG437235d7e5,TSd18d3cfa89,8.0,10.3,371.745
SEGedd87a82ab,TS8895174cf3,220.1,250.0,20.3456
SEGc1f70fec2b,TSf6619c37bf,310.0,328.0,106.131
SEG092dac7eef,TSc11915e3ee,79.5,105.8,52.4445
SEG098eeecdc6,TS249557872b,10.0,12.4,250.651
SEG44255bfdd7,TSd08b69a66f,386.6,434.8,201.092
SEGccc428faf7,TSeb9415d128,144.8,165.4,28.3364
SEGd6ee87eaf3,TS7cf3133006,0.653,1.959,195.46
SEG2b580183e1,TS40e6d8607e,65.0,79.4,54.9888
SEGb1ee096f3b,TS7143fb07ff,165.8,191.7,100.23
SEG1ee3d02db8,TS5be34975d7,152.5,165.9,108.71
SEG9e4d72ebbc,TS25116cbe77,100.0,112.6,77.294
SEG13b31aea56,TS666767b301,105.9,141.04,50.8469
SEG7160810375,TSf98c56f109,17.1,20.0,215.816
SEGe78aa23fe2,TS3f4a752d20,33.7,37.5,93.9432
SEG5b13776bd1,TS50f763e077,165.5,208.0,26.5685
SEG63c5183196,TS278d9f1fcc,147.1,167.0,18.1333
SEG5933946825,TS025d083f40,2.1,8.4,149.385
SEG01bc520b9e,TS543272cc34,114.0,136.4,56.9391
SEGc0f1deb71e,TSfa31d84579,26.1,33.6,96.7136
SEG75f9389a03,TS42d0b628c0,255.0,258.0,221.953
SEG3843520af7,TSd08b69a66f,79.5,105.8,52.4445
SEG56fa2f2947,TS6ef1672b5d,110.0,134.9,106.056
SEG4577f5fc89,TS443ac81312,90.0,96.9,56.6363
SEG714235f3c3,TSe8cf6380ac,124.1,144.7,30.0234
SEG639b39c3c9,TS3856554761,10.0,14.0,215.54
SEG11cd9a21cb,TS8c634a4f2c,115.0,117.0,20.2143
SEGb92eff2d16,TS5f1586151b,105.9,141.04,50.8469
SEGf562584e71,TSf0553561e8,165.8,191.7,100.23
SEGe91875f62d,TS5ea5d90b6c,50.0,70.0,61.4538
SEGdf7ccdb946,TS8c634a4f2c,18.6,26.0,102.885
SEGcc611c8e89,TSe5a8bddd9e,88.8,113.9,57.7753
SEGce45019f0b,TSf450088623,88.8,113.9,57.7753
SEG34e98daab8,TS40e6d8607e,32.9,37.5,135.447
SEGf0694dea49,TSe8cf6380ac,129.1,150.4,0.393982
SEGf593a7829b,TS4aff6b5863,70.1,75.0,61.8359
SEG5f9f46dd57,TS26b55ccfc1,328.1,400.0,100.467
SEGec7fe77a59,TS874720f008,10.4,13.3,305.559
SEG77997b4dde,TS7742df5bec,193.1,226.8,0.57582
SEG0b26ba6e47,TSd08b69a66f,105.9,136.3,51.34
SEG578d816092,TS25a9345498,152.5,165.9,55.738
SEG87a933c624,TSd0fc980b3a,215.0,250.75,122.276
SEGf9232cb2ac,TS242b6d35a5,147.1,167.0,18.1333
SEGaa935583cf,TSe9513bdbd6,193.1,226.8,0.57582
SEG7a5774ca09,TSa18c1ed2d2,65.0,79.4,54.9888
SEGc6ea5ae9b9,TSe0b6ccf3df,115.0,124.0,34.0239
SEGf7e2732dfe,TS97e6bd8f9b,1.03,5.16,168.131
SEGc6d10f4a09,TS030306ac46,185.0,220.0,21.3154
SEG162e8b2b83,TS37ff698958,150.5,172.0,0.444492
SEG1668aea967,TS8bd964e3f8,90.0,96.9,56.6363
SEG419a9d315a,TS7b7bafb0fa,26.1,33.6,96.7136
SEG1b7886083f,TS3856554761,75.0,88.7,58.2271
SEG1eb6cbefe6,TSf3c4cf7d55,18.6,26.0,102.885
SEGc81009bbc2,TS31df6c22e6,0.999,2.997,152.613
SEG75caa46a4b,TS21c7a3001a,328.1,399.7,100.467
SEG73d6261f07,TS2caf91eb09,280.1,321.4,17.9312
SEG1d44e4a75f,TS6ff2389c54,115.0,117.0,20.2143
SEGeff1c7640f,TS478fa29d45,32.9,37.5,135.447
SEG258f094e36,TS6f1fc6830c,10.4,13.3,305.559
SEGbeec1a6de0,TSf0f0a49e31,152.5,165.9,55.738
SEG8619e27355,TSf98c56f109,255.0,258.0,221.953
SEG20c9459336,TS7376d266d9,152.5,165.9,108.71
SEG2e37d2de7d,TS9dba1a3b01,280.1,321.4,17.9312
SEGf7b837ed74,TS8bd964e3f8,18.6,26.0,102.885
SEGd47ec9cc6b,TS5624c05049,20.1,23.75,195.628
SEG8201d4d0e9,TSa18c1ed2d2,258.1,300.9,218.044
