slot_id,requirement
TS0ae713d1a5,1682.5
TS2b7842f554,1697.0
TSf0e592f52c,1740.0
TS6b2a8043e4,1694.75
TS5c28dfa9ca,1706.0
TS8a4ad29ceb,1704.0
TS8c634a4f2c,1718.75
TS0e2a47f426,1702.0
TS7742df5bec,1684.5
TS5624c05049,1769.0
TS2caf91eb09,1378.0
TSe6714cbfdd,1634.0
TS6f1fc6830c,1679.0
TSf25add6f3a,1716.0
TSc9b8f16ba0,1721.0
TS632a2e8ee3,1682.0
TS50f763e077,1702.0
TSe4260e2609,1644.0
TSa2bddef18e,1685.75
TS25116cbe77,1732.0
TS26b55ccfc1,1692.0
TS3856554761,1735.0
TS8b14b0e305,1683.0
TS0c0829db4c,1734.5
TS55c54cd19d,1688.5
TS443ac81312,1769.25
TS4bbcbe666d,1713.5
TS0064756dcb,1308.75
TSf0553561e8,1680.25
TS78f161f2ff,1369.5
TSf0f0a49e31,1728.0
TS7c3e8eda03,1730.0
TS478fa29d45,1683.0
TS242b6d35a5,1672.0
TS6e1a677fa1,1694.0
TS25e8984bfe,1687.0
TSa55de547fe,1692.5
TSf2f132c858,1287.5
TS666767b301,1739.0
TS36061ce77d,1701.25
TS7143fb07ff,1747.25
TS1f1def30c4,1734.5
TSc11915e3ee,1329.0
TS2661a11a3f,1689.0
TS5368b7fc42,1361.0
TS70c9f1cdf8,1674.25
TSe9505e645a,1756.0
TSaf4f280f49,1293.25
TScb0b285159,1395.0
TSd18d3cfa89,1317.25
TS3f4a752d20,1711.0
TS68bd1ddae5,1727.75
TSc84e67f3cf,1712.5
TSff6b080e7d,1690.5
TSe0b6ccf3df,1344.0
TS6ef1672b5d,1759.0
TSf426558a2a,1673.75
TSf8f59db910,1715.0
TSd5ab48622e,1687.25
TSee8f79fd45,1304.5
TS6ff2389c54,1762.5
TSc7c50e9162,1767.75
TS04c42a0beb,1332.25
TSe8cf6380ac,1698.0
TSe5a8bddd9e,1677.25
TSf98c56f109,1689.0
TS4c537bf323,1680.5
TSbe35f40078,1299.5
TS2130a64621,1704.5
TS4f3da44342,1757.5
TScbb1097136,1669.25
TS872840c56f,1685.0
TS7376d266d9,1682.25
TSbc57395db7,1707.25
TSf988146cfc,1716.5
TSf7c05ecaf1,1680.0
TS030306ac46,1693.0
TSfeb615966d,1741.0
TS249557872b,1692.0
TS9dba1a3b01,1681.5
TS87c63a4e02,1687.5
TS432824cef5,1687.5
TS5be34975d7,1678.0
TS31165b053e,1687.25
TSf450088623,1715.5
TSf3c4cf7d55,1711.0
TS0e0b71e89c,1689.0
TSa114592a6e,1352.5
TSeb58535d43,1675.75
TSe9513bdbd6,1325.75
TSd08b69a66f,1715.5
TS24132c2e53,1698.25
TS8a860b9b72,1686.0
TS4aff6b5863,1693.0
TS09c93edef7,1673.0
TS8895174cf3,1684.75
TS31df6c22e6,1700.0
TSfa31d84579,1708.75
TS73837dcaff,1717.75
TS07d3a63e2b,1745.0
TS4447a8fd1d,1786.0
TS3f6b29d3d4,1686.25
TS87d83de23a,1295.5
TSea8ddd055f,1683.5
TS3d7ccb0210,1681.75
TS469a3b02e2,1723.75
TSf6619c37bf,1707.0
TS4d5a110698,1686.25
TSda410e142f,1714.25
TS874720f008,1694.75
TS7cb9d4122f,1694.5
TS025d083f40,1741.25
TS7cf3133006,1737.0
TS49044e168e,1678.5
TS2e3a4076ec,1724.0
TS5b76c70c04,1307.5
TSb0a72470c9,1673.5
TS98b842dd92,1762.5
TS97e6bd8f9b,1702.0
TS9215f23210,1654.0
TS68cccee489,1696.0
TSeb9415d128,1767.0
TS7b7bafb0fa,1701.0
TS42d0b628c0,1766.0
TSb32f93b444,1705.0
TS77f91674dc,1690.0
TS055580bf5d,1696.5
TSc43ca385e8,1386.5
TSba51d6f88e,1302.75
TS0c139ee02f,1652.5
TS443166fe6c,1714.0
TS543272cc34,1619.0
TSd29e70c128,1701.75
TSa442a672e5,1672.75
TS278d9f1fcc,1698.75
TS8ea511c0a1,1706.0
TSe9c90cedfa,1756.0
TS37ff698958,1776.0
TSf5bb5644d6,1702.0
TS21c7a3001a,1322.5
TS7bda0322ac,1712.0
TS04fcc74874,1749.0
TS0e5dfbabce,1775.5
TS0afeb9f6ae,1755.75
TScfb121d745,1709.5
TSfa3e5079a3,1691.0
TS5ea5d90b6c,1724.5
TS76d4197a5d,1316.5
TS5f1586151b,1747.5
TS84b8520c28,1743.5
TSde0255c439,1313.0
TSec107a29d2,1703.25
TS40e6d8607e,1335.5
TS30f6b06801,1664.0
TSa790cd60e5,1298.0
TS2f96a4be85,1681.25
TS25a9345498,1751.0
TSc99f6324df,1682.75
TS8d4c8ca0ac,1635.75
TSa18c1ed2d2,1703.5
TS32530bb46a,1734.5
TSa5f1ec3f85,1725.0
TSda9affbe11,1693.0
TSd0fc980b3a,1699.0
TSa0373678c6,1775.0
TS741a1f1b80,1692.25
TS8bd964e3f8,1291.5
TS05928b46fe,1720.0
