action_id,fixed_price
ACT7c2d3b01db,813.2625
ACT6aabd3eeff,9388.945
ACT0a661197e5,111.23627
ACT70a85320b6,76.2301935
ACT112eb70cc2,28299.0075
ACT44a50b4692,18284.745
ACTd6bfe915f4,8935.68
ACTccb71fa730,30089.962388
ACT28d0674a8e,4657.0368628
ACTe43bf71985,1971.6745
ACT6662f1acf8,8617.225
ACTc5c5b84649,17937.15
ACT715d063de6,18284.745
ACTfa28256719,16460.9181
ACTff65cfbc05,338.7184
ACT1ed63a7265,7645.9005
ACT62c9ff045a,1486.98
ACT98024880ac,1486.98
ACTa2a41d0723,813.2625
ACT74eecfce8e,813.2625
ACT64332f26df,30089.962388
ACTcb51c71cdf,16450.305
ACT143e7f8366,813.2625
ACTbda65f49ce,9020.61875
ACT340a90db6c,16450.305
ACT17fb366a4b,33.68547
ACT71463148c9,7877.7975
ACTdb4fdd4da2,4657.0368628
ACTeabe53e49d,6550.54875
ACT4539f709cc,16450.305
ACT5dfe9917bd,9388.945
ACT7c71c30693,6550.54875
ACTd8d308df11,27895.744714
ACTe48b9d3b73,1971.6745
ACTc5cf409aa8,377.680968
ACTb9dfa138f4,1956.37425
ACT50f501d907,86.587465
ACT922772f6a6,8935.68
ACT622c3aa074,86.587465
ACTcaa341b172,17937.15
ACTc1256372d4,111.23627
ACTbb66b18a32,4657.0368628
ACT98ded552c9,18284.745
ACT5f5db30d05,9388.945
ACTac264a7822,8617.225
ACT6a951cd7b6,4657.0368628
ACT6061450ab2,8617.225
ACT3dce59b6d6,156.85425
ACT6aa020a076,18284.745
ACT1014f7f77f,1486.98
ACT792007808a,18284.745
ACT396763db2e,27895.744714
ACT2cbd528e05,9388.945
ACT4fba52a1b5,86.587465
ACTfe2ab43ac8,156.85425
ACTacdf2e28b5,156.85425
ACT02e842f119,1253.255
ACT455c9012ef,33.68547
ACTb7b6bdadaa,1956.37425
ACT40b49c3799,4871.2669485
ACT7cf4f6f768,6550.54875
ACT4ed2280cfc,156.85425
ACT182fcb6440,1956.37425
ACT172062fdd0,9020.61875
ACTcbe10dda27,813.2625
ACTaa6e78c0cd,3864.7
ACTc065520ec9,1956.37425
ACTb367380288,1971.6745
ACTdacd9b78f4,8935.68
ACT6bc4752ebc,1971.6745
ACT6d3aad6720,16460.9181
ACTdaa82820ae,1486.98
ACTc80b4c23b5,27895.744714
ACTdf8ae7b9f3,338.7184
ACT3c5905d36f,6550.54875
ACTa6b0500019,338.7184
ACT31ea1a9e1e,111.23627
ACT913b860c48,6711.66
ACT26e46df087,156.85425
ACTe38fb6f633,76.2301935
ACT1588560019,1077.7
ACT1f6e4e8ba6,1971.6745
ACTad42a611a3,33.68547
ACT84ca64eeca,27895.744714
ACT536771a8c3,16450.305
ACTc7a4d34464,813.2625
ACT45a8986a11,21496.8925
ACTd3ce192189,338.7184
ACTca339cdcdb,8935.68
ACT58259d7c27,30089.962388
ACT884f3de7fd,18284.745
ACT5153fe6fcd,18284.745
ACT374a4d9ed1,16450.305
ACTc1df46a5c6,1971.6745
ACT74e75b9cae,6711.66
ACT3d406a1048,6550.54875
ACTb0cae81189,28299.0075
ACT5248f08ce1,3864.7
ACT806d64d297,4871.2669485
ACTd6e8dbc8dd,21496.8925
ACTdd12a004d0,30089.962388
ACT8eace4526f,76.2301935
ACT7c46cb11d2,76.2301935
ACT8f2014abf7,4657.0368628
ACTd5cdbbbc7e,86.587465
ACTc7a1b3be19,27895.744714
ACT3360a24e4f,4657.0368628
ACTb14efb853f,8935.68
ACTd2a35958e2,6711.66
ACTf785e2b703,3864.7
ACT22ae01ede8,1486.98
ACTc74adb1ddb,16450.305
ACT97b7d23f77,1253.255
ACTd351e8f7b6,28299.0075
ACTa1c20fa847,4871.2669485
ACTba165fbde2,1253.255
ACTca7ac2313d,1971.6745
ACTb7d2b68d3e,1253.255
ACT88916bebf1,1077.7
ACTd02713aec3,9388.945
ACTbf6f7708dd,1077.7
ACT59bca3d85d,30089.962388
ACTdf6dacb3c2,9388.945
ACT015c9e920b,28299.0075
ACT4f742c2445,16460.9181
ACT740fe0bca3,1253.255
ACT24e2618dda,377.680968
ACT7fff4d1773,27895.744714
ACTfa5cf91f47,1971.6745
ACTeef17ab122,111.23627
ACT751c6d3f7c,1253.255
ACTb43254746c,7877.7975
ACTabf8041029,16450.305
ACT7ccc841ded,4871.2669485
ACT6f8741dcc5,338.7184
ACTc97e18611b,338.7184
ACTa7dc805420,1486.98
ACTe932e8d25a,8617.225
ACT066dba38ab,21496.8925
ACT8e3e2215bf,4657.0368628
ACTe505584fa9,813.2625
ACT4dc8dbb21d,377.680968
ACT9d91ef615c,9020.61875
ACTadc2841963,156.85425
ACT8242f2ea54,8935.68
ACT800612ef83,6550.54875
ACTd6eab58bb7,17937.15
ACT51bb074f2b,27895.744714
ACT981ce94df1,4871.2669485
ACTa9f8451aa5,33.68547
ACT59192dea75,16460.9181
ACT46c35d44f2,7645.9005
ACT53ab6f06a6,18284.745
ACTd4eca3b197,7645.9005
ACT7023f63f5b,30089.962388
ACTb7ae64f606,7877.7975
ACT966fd4f3b1,813.2625
ACT46763fa9be,4871.2669485
ACT9da329bdb6,4871.2669485
ACTd5c7b075e6,6711.66
ACT1dcc2c3500,377.680968
ACT6799b8715f,1486.98
ACTb3cfe79cd1,16460.9181
ACTe146d4c3c1,3864.7
ACT1d78079510,33.68547
ACTc0407f20b0,8935.68
ACT5b8413f149,6711.66
ACT751f8ad0c3,16450.305
ACT9f3d819477,8935.68
ACTee9b8dfa34,6550.54875
ACT4262f3c93f,3864.7
ACTbaa21541de,156.85425
ACT6908fec8b4,21496.8925
ACTea31b51bfc,156.85425
ACTa09316fe6d,377.680968
ACTf9c4a1cc3d,338.7184
ACTf0f32c20f1,28299.0075
ACTde1649859e,18284.745
ACT01f04bf497,18284.745
ACT6979f19855,18284.745
ACT0cddce153b,28299.0075
ACTaf6ea2fcfe,813.2625
ACTa13f44a5f1,16460.9181
ACT74722bc677,8617.225
ACT524da6e0aa,1253.255
ACT100689e56d,1971.6745
ACT49b0cabd92,1077.7
ACT6680d40360,111.23627
ACT10b3c40841,33.68547
ACTa08c6f0a9c,813.2625
ACTbc30e1c11e,9388.945
ACT737fbd853d,18284.745
ACTcc08ca0bc0,6550.54875
ACTe6f4123ba3,17937.15
ACTad6b38cd99,16460.9181
ACT032f18bb4f,1253.255
ACTc1692e7081,21496.8925
ACTdcb87b6141,7645.9005
ACT1610f6dddf,1486.98
ACTf472e004e6,16460.9181
ACT5900efff5a,111.23627
ACT3efe90a6c3,813.2625
ACT46db14889b,813.2625
ACTf26941d8d2,33.68547
ACT5e9eff65d9,377.680968
ACT3ee14b5b68,377.680968
ACTa4bd6f9b54,1956.37425
ACT0f798eeea9,27895.744714
ACT41a6fcab1e,76.2301935
ACTc18acd0938,338.7184
ACT524bdd6ff1,33.68547
ACTdb72ec9bd6,813.2625
ACT5b93b54138,76.2301935
ACT5eb1b54f78,8935.68
ACTbb83a9cd1a,4871.2669485
ACT8ce5fe3e58,30089.962388
ACT1acdd738f4,18284.745
ACT30b8ed3d26,377.680968
ACTf2decdd563,377.680968
ACTe7cfe478c0,86.587465
