fallback_id,slot_id,unit_price
FB67b9206bba,TSde0255c439,2000.0
FB2ff0b9b830,TS37ff698958,2000.0
FB626c6ab16c,TS24132c2e53,2000.0
FBe10c727fad,TS68cccee489,2000.0
FBd61c129d4f,TSde0255c439,149.385
FBc80a0cb6f2,TSbe35f40078,149.385
FB152d8ad2a8,TSe9c90cedfa,2000.0
FB7848b32f12,TS8895174cf3,2000.0
FB1542b5033a,TSa114592a6e,2000.0
FB7db1783dc8,TS87c63a4e02,2000.0
FB2e9b31b5c5,TSa5f1ec3f85,2000.0
FBd5d0aa59ba,TS4447a8fd1d,2000.0
FBbeb541ec57,TSc7c50e9162,2000.0
FB50861d7d03,TS77f91674dc,2000.0
FB6b6e333e14,TSec107a29d2,2000.0
FB4b007db6a9,TS2caf91eb09,2000.0
FBc3a41cfe23,TS278d9f1fcc,2000.0
FB27f9d04e3a,TS0064756dcb,2000.0
FB9aeb007c51,TS469a3b02e2,2000.0
FBd51e90d448,TS6b2a8043e4,2000.0
FBef9a197418,TSe8cf6380ac,2000.0
FBd62ac11c6d,TSe9505e645a,2000.0
FBf97371e978,TSe0b6ccf3df,149.385
FB8eb3ac665f,TS21c7a3001a,149.385
FB0addd5a4dc,TS5368b7fc42,149.385
FB6be5afe125,TSc99f6324df,2000.0
FB89c1312b55,TS42d0b628c0,2000.0
FB93afa3debe,TSf2f132c858,149.385
FB1219b8419e,TSee8f79fd45,149.385
FBd045c3bebd,TS5b76c70c04,127.251
FBe84c637567,TS7cf3133006,2000.0
FBc36f52b4c6,TS0c139ee02f,2000.0
FBe809b884a7,TS6f1fc6830c,2000.0
FBd398ca602d,TS4bbcbe666d,2000.0
FBffdee0f76b,TS2661a11a3f,2000.0
FB022ab543cb,TSf6619c37bf,2000.0
FBbe52c028a0,TS2f96a4be85,2000.0
FBf48a0c9f81,TS07d3a63e2b,2000.0
FB4c45d6500f,TSe9513bdbd6,149.385
FB194950b9fc,TSda410e142f,2000.0
FB08e91e3476,TS3d7ccb0210,2000.0
FBeafc635c9b,TS7b7bafb0fa,2000.0
FB1b5f63ac9f,TS5f1586151b,2000.0
FBba89d18ada,TS9dba1a3b01,2000.0
FB66248a9350,TSfa3e5079a3,2000.0
FB9ac63b0f9e,TS7742df5bec,2000.0
FBe0cfd222ee,TS3f4a752d20,2000.0
FBd02e5cc4ce,TS04c42a0beb,149.385
FB6b07a0b11d,TS5368b7fc42,2000.0
FB812f7189f2,TS87d83de23a,149.385
FBfac1db24bc,TS26b55ccfc1,2000.0
FB5936d41bea,TSd08b69a66f,2000.0
FBf1d4742d90,TScfb121d745,2000.0
FB1f3029ffdb,TS5b76c70c04,149.385
FB896e341c3c,TS242b6d35a5,2000.0
FBd03e606f78,TS5ea5d90b6c,2000.0
FB8943251476,TS443ac81312,2000.0
FBa8ab2978e5,TSb32f93b444,2000.0
FBb098683005,TS0afeb9f6ae,2000.0
FBddaf7ffa15,TS025d083f40,2000.0
FBb7358fcea7,TS31165b053e,2000.0
FB43ee88a8ee,TS0e2a47f426,2000.0
FB212ca7ff0b,TS6ff2389c54,2000.0
FBfb7aa65259,TSa442a672e5,2000.0
FB97afa05df8,TS31df6c22e6,2000.0
FBe85f7650a9,TS05928b46fe,2000.0
FBddb0b7779e,TSb0a72470c9,2000.0
FBb031392605,TS25a9345498,2000.0
FBdcbdbc2395,TS78f161f2ff,2000.0
FBe6210cf065,TS030306ac46,2000.0
FBe76fd2b4dd,TS0e5dfbabce,2000.0
FBe97f941799,TS4aff6b5863,2000.0
FBda3272921e,TSba51d6f88e,149.385
FBaebc6992e0,TS97e6bd8f9b,2000.0
FB46dd673efd,TSe6714cbfdd,2000.0
FB9a1f4e96cc,TSda9affbe11,2000.0
FB372797bee2,TS76d4197a5d,2000.0
FBeab589032e,TS8a860b9b72,2000.0
FBb016d6b12f,TS443166fe6c,2000.0
FBc7d144b411,TS36061ce77d,2000.0
FB5cbaaaaf2d,TS8b14b0e305,2000.0
FB185b168b74,TSc9b8f16ba0,2000.0
FB395694a2ce,TSf0e592f52c,2000.0
FB9215bf59f8,TSf7c05ecaf1,2000.0
FBe271774ce7,TSf0f0a49e31,2000.0
FB7ca76ccfcf,TS478fa29d45,2000.0
FB026d23841d,TSf3c4cf7d55,2000.0
FBe5a551b6c9,TS3856554761,2000.0
FB5c4d9eb361,TS0064756dcb,149.385
FBb778fd28b2,TS7376d266d9,2000.0
FBe14069e28f,TS2b7842f554,2000.0
FBb342dcc614,TS632a2e8ee3,2000.0
FBa1cfc4f8dc,TS25116cbe77,2000.0
FBa129b33707,TSa2bddef18e,2000.0
FBa2fc0a4fba,TS8c634a4f2c,2000.0
FB962b96e104,TSc43ca385e8,2000.0
FB6954dfccdd,TS0c0829db4c,2000.0
FB7a99d82f4a,TS4c537bf323,2000.0
FBfe6f7fd5b8,TS9215f23210,2000.0
FB0d22b19beb,TSd29e70c128,2000.0
FB974d90eed6,TSc11915e3ee,2000.0
FB0d2c0010cd,TS50f763e077,2000.0
FB3654602e56,TS5624c05049,2000.0
FB420452f17a,TS741a1f1b80,2000.0
FBe85d980e47,TS7bda0322ac,2000.0
FB8d9f36883c,TSa114592a6e,149.385
FBf72797289a,TS543272cc34,2000.0
FB3d4165b6da,TS4d5a110698,2000.0
FBeb24cf8d8b,TS0ae713d1a5,2000.0
FB81b8c3d6e0,TS3f6b29d3d4,2000.0
FB277fc12134,TS6ef1672b5d,2000.0
FB88e3c4e328,TS09c93edef7,2000.0
FB1de7b8fcf9,TSd5ab48622e,2000.0
FB47d6dc775f,TSf2f132c858,2000.0
FB33bca653cd,TSa18c1ed2d2,2000.0
FBac236aa7df,TS5b76c70c04,2000.0
FBa43721164c,TS84b8520c28,2000.0
FBf8d9c72958,TSd18d3cfa89,2000.0
FB8aca442dde,TSa790cd60e5,2000.0
FBd57c4f0c1d,TS55c54cd19d,2000.0
FB1225d53fc8,TS49044e168e,2000.0
FBe95fc026c5,TSe4260e2609,2000.0
FB9d791ab7dd,TS1f1def30c4,2000.0
FB0536903f58,TS0e0b71e89c,2000.0
FBdd147bb6d5,TS055580bf5d,2000.0
FB4656e8f494,TSaf4f280f49,149.385
FB555e6f38c5,TS40e6d8607e,149.385
FB42bbaa0fb5,TS8a4ad29ceb,2000.0
FBca9acdd238,TS87d83de23a,2000.0
FB3e9bc01f3e,TSbc57395db7,2000.0
FBe06cf7f307,TS32530bb46a,2000.0
FB5e72d2998a,TS7143fb07ff,2000.0
FB8150cb0fe2,TS21c7a3001a,2000.0
FB7463ec51b3,TSd18d3cfa89,149.385
FBb44e3e2d01,TS874720f008,2000.0
FBb3799904c5,TS7cb9d4122f,2000.0
FB9435f0afa3,TSeb9415d128,2000.0
FB31050a81d7,TSc11915e3ee,149.385
FBcf517bfa9d,TS2e3a4076ec,2000.0
FB48e7859d50,TSee8f79fd45,2000.0
FB56c7ddaaef,TS68bd1ddae5,2000.0
FBe3275b6103,TSe9513bdbd6,2000.0
FBb6d0f805d6,TSf0553561e8,2000.0
FB30887ca2aa,TSe0b6ccf3df,2000.0
FB2e5f542e63,TS8ea511c0a1,2000.0
FB5502c56a70,TS70c9f1cdf8,2000.0
FBe0d882013e,TSeb58535d43,2000.0
FBa6dfab082c,TS40e6d8607e,2000.0
FB7bd15c9bd5,TS249557872b,2000.0
FB40787ab6be,TS5be34975d7,2000.0
FB31cdaffac3,TSfeb615966d,2000.0
FB3285ebe533,TS2130a64621,2000.0
FBcff1a1499f,TSc84e67f3cf,2000.0
FB6b46533732,TS872840c56f,2000.0
FBbfc2143cc4,TSf450088623,2000.0
FBb3e2dda9ca,TSf8f59db910,2000.0
FBb71ac1b62c,TS432824cef5,2000.0
FB0d67708c15,TSf5bb5644d6,2000.0
FB0bc4d20a46,TSd0fc980b3a,2000.0
FB5eacd73b0d,TS666767b301,2000.0
FBfdb739c1b7,TScbb1097136,2000.0
FB98c8ef8ad5,TSba51d6f88e,2000.0
FB9257e9921a,TSe5a8bddd9e,2000.0
FBa88805fe3b,TS25e8984bfe,2000.0
FB23483962ee,TS4f3da44342,2000.0
FB8323ac1684,TSa790cd60e5,149.385
FBf4ce25f54b,TSf98c56f109,2000.0
FB843b5d349c,TS6e1a677fa1,2000.0
FB0bd87dbcbc,TSea8ddd055f,2000.0
FB1a03dcd6ec,TS73837dcaff,2000.0
FB220ce78fce,TSbe35f40078,2000.0
FB14d0d85758,TSa0373678c6,2000.0
FBb47fd33ebc,TSff6b080e7d,2000.0
FBe000380a81,TS8bd964e3f8,2000.0
FBcf6b89676f,TSf988146cfc,2000.0
FBd1391cf504,TS04fcc74874,2000.0
FBd662add411,TS5c28dfa9ca,2000.0
FBd0fc91b680,TSf25add6f3a,2000.0
FB3a2a0f4452,TS98b842dd92,2000.0
FBedd8349692,TS7c3e8eda03,2000.0
FB93aaca4198,TSfa31d84579,2000.0
FBf5cf2958e3,TScb0b285159,2000.0
FBc2c32cce6e,TS30f6b06801,2000.0
FBcc3e7cf986,TS04c42a0beb,2000.0
FB177ce6261e,TSaf4f280f49,2000.0
FB85c5c1343a,TSf426558a2a,2000.0
FBdf3b9e5157,TS8d4c8ca0ac,2000.0
FB66b7254bcc,TS8bd964e3f8,149.385
FB5ffde876d7,TSa55de547fe,2000.0
