i,j,k,l,b0,b1,b2,b3,b4,b5,b6,b7
1,130,251,329,0,0,0,0,0,0,1,1
2,217,279,319,1,0,0,1,0,1,1,0
3,315,324,405,1,0,1,0,1,1,1,0
4,150,225,226,1,1,0,0,0,0,0,1
5,90,150,299,1,0,0,1,1,1,0,1
6,292,310,429,0,1,1,0,0,1,1,0
7,16,151,289,0,1,1,1,1,0,0,0
8,46,129,297,1,1,1,0,0,0,0,0
9,7,179,246,0,1,0,1,0,0,0,0
10,304,327,428,1,1,0,0,0,0,0,0
11,103,207,481,1,1,0,1,0,0,1,0
12,49,268,358,0,1,0,0,0,0,0,0
13,23,83,223,1,0,1,1,1,0,1,0
14,35,142,443,1,0,0,1,1,1,0,1
15,20,175,240,1,1,1,0,1,0,1,1
16,62,135,374,0,1,1,0,0,0,0,1
17,225,237,437,0,1,1,0,0,0,0,1
18,290,302,454,0,0,0,1,1,0,1,1
19,25,260,333,1,1,1,1,0,1,0,1
20,44,233,291,1,1,0,1,0,1,0,1
21,88,138,359,1,1,0,0,0,1,1,1
22,84,407,468,0,1,1,0,0,0,1,1
23,66,360,394,0,0,1,1,1,0,0,0
24,313,319,334,0,1,0,1,0,0,0,0
25,127,166,217,0,0,0,1,1,1,1,0
26,46,383,405,1,1,0,0,0,1,0,0
27,302,360,480,1,1,1,0,1,0,0,0
28,29,128,369,0,1,0,0,0,0,1,0
29,249,289,338,1,0,1,1,1,0,1,0
30,15,22,45,1,0,0,1,1,1,0,0
31,329,386,490,0,0,1,0,1,1,0,0
32,35,79,310,1,1,1,0,1,0,1,1
33,85,142,361,1,1,1,1,0,0,0,1
34,81,113,288,0,1,0,1,0,1,1,1
35,81,123,266,0,1,1,1,0,1,0,1
36,68,70,118,0,1,1,1,1,0,0,1
37,17,157,300,1,0,1,0,1,0,1,1
38,343,368,375,1,1,1,0,1,0,0,0
39,172,195,296,1,1,1,0,1,0,1,0
40,3,180,396,1,1,0,0,0,0,1,0
41,245,286,289,0,1,1,0,1,1,0,0
42,88,354,477,0,0,0,0,1,1,0,0
43,57,74,404,1,0,1,1,0,1,0,1
44,92,360,410,0,0,0,0,0,1,1,1
45,41,184,497,1,0,1,0,0,0,1,1
46,266,384,441,0,0,1,1,1,0,1,0
47,270,316,472,1,0,1,0,0,1,0,1
48,99,106,492,0,1,0,1,0,1,1,0
49,11,97,386,1,0,1,0,1,0,0,0
50,40,46,483,1,0,0,0,0,1,0,0
51,99,408,429,0,1,1,0,0,1,0,1
