decision_id,from_node,to_node
d03680,c22,c41
d03699,c22,c192
d03718,c22,c343
d03737,c22,c494
d03756,c22,c60
d03775,c22,c211
d03794,c22,c362
d03813,c22,c513
d03681,c23,c42
d03700,c23,c193
d03719,c23,c344
d03738,c23,c495
d03757,c23,c61
d03776,c23,c212
d03795,c23,c363
d03814,c23,c514
d03853,c23,c79
d03871,c23,c230
d03889,c23,c381
d03907,c23,c532
d03925,c23,c98
d03943,c23,c249
d03961,c23,c400
d03979,c23,c551
d03997,c23,c117
d04014,c23,c268
d04031,c23,c419
d04048,c23,c570
d04065,c23,c136
d04082,c23,c287
d04099,c23,c438
d04116,c23,c589
d04133,c23,c155
d04149,c23,c306
d04165,c23,c457
d04181,c23,c608
d03682,c24,c43
d03701,c24,c194
d03720,c24,c345
d03739,c24,c496
d03758,c24,c62
d03777,c24,c213
d03796,c24,c364
d03815,c24,c515
d03854,c24,c80
d03872,c24,c231
d03890,c24,c382
d03908,c24,c533
d03926,c24,c99
d03944,c24,c250
d03962,c24,c401
d03980,c24,c552
d03998,c24,c118
d04015,c24,c269
d04032,c24,c420
d04049,c24,c571
d04066,c24,c137
d04083,c24,c288
d04100,c24,c439
d04117,c24,c590
d04134,c24,c156
d04150,c24,c307
d04166,c24,c458
d04182,c24,c609
d03683,c25,c44
d03702,c25,c195
d03721,c25,c346
d03740,c25,c497
d03759,c25,c63
d03778,c25,c214
d03797,c25,c365
d03816,c25,c516
d03855,c25,c81
d03873,c25,c232
d03891,c25,c383
d03909,c25,c534
d03927,c25,c100
d03945,c25,c251
d03963,c25,c402
d03981,c25,c553
d03999,c25,c119
d04016,c25,c270
d04033,c25,c421
d04050,c25,c572
d04067,c25,c138
d04084,c25,c289
d04101,c25,c440
d04118,c25,c591
d03684,c26,c45
d03703,c26,c196
d03722,c26,c347
d03741,c26,c498
d03760,c26,c64
d03779,c26,c215
d03798,c26,c366
d03817,c26,c517
d03856,c26,c82
d03874,c26,c233
d03892,c26,c384
d03910,c26,c535
d03928,c26,c101
d03946,c26,c252
d03964,c26,c403
d03982,c26,c554
d04000,c26,c120
d04017,c26,c271
d04034,c26,c422
d04051,c26,c573
d04068,c26,c139
d04085,c26,c290
d04102,c26,c441
d04119,c26,c592
d03685,c27,c46
d03704,c27,c197
d03723,c27,c348
d03742,c27,c499
d03761,c27,c65
d03780,c27,c216
d03799,c27,c367
d03818,c27,c518
d03857,c27,c83
d03875,c27,c234
d03893,c27,c385
d03911,c27,c536
d03929,c27,c102
d03947,c27,c253
d03965,c27,c404
d03983,c27,c555
d04001,c27,c121
d04018,c27,c272
d04035,c27,c423
d04052,c27,c574
d04069,c27,c140
d04086,c27,c291
d04103,c27,c442
d04120,c27,c593
d04135,c27,c157
d04151,c27,c308
d04167,c27,c459
d04183,c27,c610
d03686,c28,c47
d03705,c28,c198
d03724,c28,c349
d03743,c28,c500
d03762,c28,c66
d03781,c28,c217
d03800,c28,c368
d03819,c28,c519
d03858,c28,c84
d03876,c28,c235
d03894,c28,c386
d03912,c28,c537
d03930,c28,c103
d03948,c28,c254
d03966,c28,c405
d03984,c28,c556
d04002,c28,c122
d04019,c28,c273
d04036,c28,c424
d04053,c28,c575
d04070,c28,c141
d04087,c28,c292
d04104,c28,c443
d04121,c28,c594
d04136,c28,c158
d04152,c28,c309
d04168,c28,c460
d04184,c28,c611
d03687,c29,c48
d03706,c29,c199
d03725,c29,c350
d03744,c29,c501
d03763,c29,c67
d03782,c29,c218
d03801,c29,c369
d03820,c29,c520
d03859,c29,c85
d03877,c29,c236
d03895,c29,c387
d03913,c29,c538
d03931,c29,c104
d03949,c29,c255
d03967,c29,c406
d03985,c29,c557
d04003,c29,c123
d04020,c29,c274
d04037,c29,c425
d04054,c29,c576
d04071,c29,c142
d04088,c29,c293
d04105,c29,c444
d04122,c29,c595
d04137,c29,c159
d04153,c29,c310
d04169,c29,c461
d04185,c29,c612
d03688,c30,c49
d03707,c30,c200
d03726,c30,c351
d03745,c30,c502
d03764,c30,c68
d03783,c30,c219
d03802,c30,c370
d03821,c30,c521
d03860,c30,c86
d03878,c30,c237
d03896,c30,c388
d03914,c30,c539
d03932,c30,c105
d03950,c30,c256
d03968,c30,c407
d03986,c30,c558
d04004,c30,c124
d04021,c30,c275
d04038,c30,c426
d04055,c30,c577
d04072,c30,c143
d04089,c30,c294
d04106,c30,c445
d04123,c30,c596
d04138,c30,c160
d04154,c30,c311
d04170,c30,c462
d04186,c30,c613
d03689,c31,c50
d03708,c31,c201
d03727,c31,c352
d03746,c31,c503
d03765,c31,c69
d03784,c31,c220
d03803,c31,c371
d03822,c31,c522
d03861,c31,c87
d03879,c31,c238
d03897,c31,c389
d03915,c31,c540
d03933,c31,c106
d03951,c31,c257
d03969,c31,c408
d03987,c31,c559
d04005,c31,c125
d04022,c31,c276
d04039,c31,c427
d04056,c31,c578
d04073,c31,c144
d04090,c31,c295
d04107,c31,c446
d04124,c31,c597
d04139,c31,c161
d04155,c31,c312
d04171,c31,c463
d04187,c31,c614
d03690,c32,c51
d03709,c32,c202
d03728,c32,c353
d03747,c32,c504
d03766,c32,c70
d03785,c32,c221
d03804,c32,c372
d03823,c32,c523
d03862,c32,c88
d03880,c32,c239
d03898,c32,c390
d03916,c32,c541
d03934,c32,c107
d03952,c32,c258
d03970,c32,c409
d03988,c32,c560
d04006,c32,c126
d04023,c32,c277
d04040,c32,c428
d04057,c32,c579
d04074,c32,c145
d04091,c32,c296
d04108,c32,c447
d04125,c32,c598
d04140,c32,c162
d04156,c32,c313
d04172,c32,c464
d04188,c32,c615
d03691,c33,c52
d03710,c33,c203
d03729,c33,c354
d03748,c33,c505
d03767,c33,c71
d03786,c33,c222
d03805,c33,c373
d03824,c33,c524
d03863,c33,c90
d03881,c33,c241
d03899,c33,c392
d03917,c33,c543
d03935,c33,c109
d03953,c33,c260
d03971,c33,c411
d03989,c33,c562
d04007,c33,c128
d04024,c33,c279
d04041,c33,c430
d04058,c33,c581
d04075,c33,c147
d04092,c33,c298
d04109,c33,c449
d04126,c33,c600
d04141,c33,c164
d04157,c33,c315
d04173,c33,c466
d04189,c33,c617
d03692,c34,c53
d03711,c34,c204
d03730,c34,c355
d03749,c34,c506
d03768,c34,c72
d03787,c34,c223
d03806,c34,c374
d03825,c34,c525
d03864,c34,c91
d03882,c34,c242
d03900,c34,c393
d03918,c34,c544
d03936,c34,c110
d03954,c34,c261
d03972,c34,c412
d03990,c34,c563
d04008,c34,c129
d04025,c34,c280
d04042,c34,c431
d04059,c34,c582
d04076,c34,c148
d04093,c34,c299
d04110,c34,c450
d04127,c34,c601
d04142,c34,c165
d04158,c34,c316
d04174,c34,c467
d04190,c34,c618
d03693,c35,c54
d03712,c35,c205
d03731,c35,c356
d03750,c35,c507
d03769,c35,c73
d03788,c35,c224
d03807,c35,c375
d03826,c35,c526
d03865,c35,c92
d03883,c35,c243
d03901,c35,c394
d03919,c35,c545
d03937,c35,c111
d03955,c35,c262
d03973,c35,c413
d03991,c35,c564
d04009,c35,c130
d04026,c35,c281
d04043,c35,c432
d04060,c35,c583
d04077,c35,c149
d04094,c35,c300
d04111,c35,c451
d04128,c35,c602
d04143,c35,c166
d04159,c35,c317
d04175,c35,c468
d04191,c35,c619
d03694,c36,c55
d03713,c36,c206
d03732,c36,c357
d03751,c36,c508
d03770,c36,c74
d03789,c36,c225
d03808,c36,c376
d03827,c36,c527
d03866,c36,c93
d03884,c36,c244
