time_id,lower_bound,upper_bound
0,29516.0,34080.0
1,22225.0,29425.0
2,19105.0,25564.0
3,17089.0,24289.0
4,29290.0,36490.0
5,18485.0,25685.0
6,21011.0,27073.0
7,11093.0,16129.0
8,24893.0,32093.0
9,25934.0,32393.0
10,26895.0,33098.0
11,8416.0,15616.0
12,19937.0,25840.0
13,30362.0,37562.0
14,21903.0,28362.0
15,26793.0,33993.0
16,12947.0,18632.0
17,8285.0,15485.0
18,11568.0,18768.0
19,18263.0,24722.0
20,17823.0,25023.0
21,25389.0,31848.0
22,18023.0,25223.0
23,4783.0,11983.0
24,29607.0,36807.0
25,18390.0,24849.0
26,26341.0,32544.0
27,17196.0,23655.0
28,27026.0,33229.0
29,20128.0,26587.0
30,12635.0,19835.0
31,8966.0,16166.0
32,31521.0,38721.0
33,20996.0,27199.0
34,15351.0,22551.0
35,24049.0,31249.0
36,18471.0,25671.0
37,12793.0,19993.0
38,17655.0,24855.0
39,20882.0,28082.0
40,22029.0,29229.0
41,14583.0,21783.0
42,12987.0,19446.0
43,16735.0,23194.0
44,32417.0,39617.0
45,9857.0,17057.0
46,23100.0,30300.0
47,25116.0,32316.0
48,23499.0,29958.0
49,16033.0,22503.0
50,17336.0,23795.0
51,11034.0,18234.0
52,33381.0,40581.0
53,16964.0,23423.0
54,9865.0,12129.0
55,16509.0,22460.0
56,23046.0,30246.0
57,8747.0,15947.0
58,9366.0,16566.0
59,12725.0,19652.0
60,22615.0,29815.0
61,28740.0,35940.0
62,8060.0,14519.0
63,6746.0,13529.0
64,22300.0,29500.0
