course_id,capacity,penalty_weight
1,40,2
1,42,6
1,48,2
1,50,10
1,60,30
1,90,20
1,110,26
7,40,2
7,42,6
7,48,2
7,50,10
7,60,30
7,90,20
7,110,45
8,40,2
8,42,6
8,48,2
8,50,10
8,60,30
8,90,20
8,110,30
9,40,2
9,42,6
9,48,2
9,50,10
9,60,26
10,40,2
10,42,6
10,48,2
10,50,10
10,60,30
10,90,20
10,110,30
11,40,2
11,42,6
11,48,2
11,50,10
11,60,30
11,90,20
11,110,30
12,40,2
12,42,6
12,48,2
12,50,10
12,60,26
13,40,2
13,42,6
13,48,2
13,50,10
13,60,30
13,90,3
14,40,2
14,42,6
14,48,2
14,50,10
14,60,30
14,90,6
15,40,2
15,42,6
15,48,2
15,50,4
17,40,2
17,42,6
17,48,2
17,50,10
17,60,30
17,90,10
18,40,2
18,42,6
18,48,2
18,50,10
18,60,25
19,40,2
19,42,6
19,48,2
19,50,10
19,60,30
19,90,11
20,40,2
20,42,6
20,48,2
20,50,10
20,60,30
20,90,20
20,110,55
21,40,2
21,42,6
21,48,2
21,50,10
21,60,30
21,90,20
21,110,91
22,40,2
22,42,6
22,48,2
22,50,10
22,60,25
23,40,2
23,42,6
23,48,2
23,50,10
23,60,30
23,90,20
23,110,21
24,40,2
24,42,6
24,48,2
24,50,10
24,60,30
24,90,20
24,110,21
25,40,2
25,42,6
25,48,2
25,50,10
25,60,30
25,90,20
25,110,25
26,40,2
26,42,6
26,48,2
26,50,10
26,60,30
26,90,20
26,110,23
27,40,2
27,42,6
27,48,2
27,50,10
27,60,30
27,90,20
27,110,55
28,40,2
28,42,6
28,48,2
28,50,10
28,60,30
28,90,20
28,110,29
29,40,2
29,42,6
29,48,2
29,50,10
29,60,30
29,90,20
29,110,106
29,216,38
30,40,2
30,42,6
30,48,2
30,50,10
30,60,20
31,40,2
31,42,6
31,48,2
31,50,10
31,60,20
32,40,2
32,42,6
32,48,2
32,50,10
32,60,26
33,40,2
33,42,6
33,48,2
33,50,10
33,60,30
33,90,20
33,110,10
34,40,2
34,42,6
34,48,2
34,50,10
34,60,30
34,90,20
34,110,26
35,40,2
35,42,6
35,48,2
35,50,10
35,60,30
35,90,20
35,110,26
36,40,2
36,42,6
36,48,2
36,50,10
36,60,30
36,90,11
37,40,2
37,42,6
37,48,2
37,50,10
37,60,30
37,90,10
38,40,2
38,42,6
38,48,2
38,50,9
39,40,2
39,42,6
39,48,2
39,50,10
39,60,5
40,40,2
40,42,6
40,48,2
40,50,10
40,60,30
40,90,20
40,110,17
41,40,2
41,42,6
41,48,2
41,50,10
41,60,30
41,90,20
41,110,106
41,216,25
43,40,2
43,42,1
45,40,2
45,42,6
45,48,2
45,50,10
45,60,12
46,40,2
46,42,6
46,48,2
46,50,10
46,60,27
48,40,2
48,42,6
48,48,2
48,50,10
48,60,11
50,40,2
50,42,6
50,48,2
50,50,10
50,60,30
50,90,20
50,110,93
53,40,2
53,42,6
53,48,2
53,50,10
53,60,8
60,40,2
60,42,6
60,48,2
60,50,10
60,60,26
64,40,2
64,42,6
64,48,2
64,50,2
65,40,2
65,42,6
65,48,2
65,50,10
65,60,30
65,90,3
70,40,2
70,42,6
70,48,2
70,50,10
70,60,11
71,40,2
71,42,6
71,48,2
71,50,10
71,60,11
72,40,2
72,42,6
72,48,2
72,50,10
72,60,25
80,40,2
81,40,1
83,40,2
83,42,6
83,48,2
83,50,10
83,60,30
83,90,20
83,110,13
84,40,2
84,42,6
84,48,2
84,50,10
84,60,30
84,90,20
84,110,25
85,40,2
85,42,6
85,48,2
85,50,10
85,60,30
85,90,10
86,40,2
86,42,6
86,48,2
86,50,10
86,60,26
87,40,2
87,42,6
87,48,2
87,50,10
87,60,5
89,40,2
89,42,6
89,48,2
90,40,2
90,42,6
90,48,2
90,50,10
90,60,10
92,40,2
92,42,3
93,40,2
93,42,6
93,48,2
93,50,10
93,60,25
94,40,2
94,42,6
94,48,2
94,50,10
94,60,20
