curriculum_id,course_ids
0,26
1,"1,34,35"
2,"1,15,34,35"
3,"2,3,4,5,6"
4,"16,36,38,49"
5,"4,5,6,73,74,82"
6,"49,73,77,78,79,82"
7,"49,73,79,82"
8,"66,75,76"
9,"80,81"
10,"25,84,90"
11,"25,84,91"
12,"25,84,89"
13,"23,24,83,87"
14,"23,24,83,88"
15,"23,24,83,92"
16,"23,24"
17,33
18,"1,34,35,37"
19,"15,36,38,72"
20,"36,39,40,72"
21,"47,48,52"
22,"39,47,52"
23,"38,48,51"
24,"48,51,52"
25,"48,51,53"
26,"48,51,54"
27,"48,51"
28,"40,43,49,50,78"
29,"15,43,49,50,55,69,78"
30,7
31,"8,10,11,13"
32,"9,12,70,86"
33,"9,12,14,86"
34,"9,12,41,86"
35,"14,41,42,60,70"
36,"41,42,60,63,70"
37,"14,42,60,70"
38,"61,62"
39,"61,68"
40,61
42,"20,27,30,31,94"
43,"21,28,29,32"
44,"3,21,28,29"
45,"21,28,29,50"
47,"8,10,11"
48,"28,29,32,41"
49,"28,29,41,60"
50,"28,29,41,42"
51,"13,32,56,60,68"
52,"13,32,42,56,60,68"
53,"32,41,50,56,57"
54,"3,32,41,56,57"
55,"14,58,59,63"
56,"58,59,60,62"
57,"19,58,59"
58,"3,4,58,59,75"
59,17
60,"18,20,22,27,93"
61,"19,21,85"
62,"64,71"
63,"50,64"
64,65
65,"65,66"
66,"65,67"
67,"40,50,53"
68,"43,44,80,81"
69,"44,50,81"
70,"40,43,48,80"
71,"14,45"
72,"14,41,45,60"
73,"41,45,60,63"
74,"29,41"
75,"29,41,50"
77,"14,29,41"
78,"46,65"
79,"46,65,71"
80,"46,50,65"
