course_id,slot_label
1,D4P0
1,D4P1
1,D4P2
1,D4P3
1,D4P4
2,D1P0
2,D1P1
2,D1P2
2,D1P3
2,D1P4
2,D4P3
2,D4P4
3,D0P0
3,D0P1
3,D0P2
3,D0P3
3,D0P4
3,D4P2
3,D4P3
3,D4P4
4,D0P2
4,D1P2
4,D2P2
4,D3P2
4,D4P2
5,D0P0
5,D0P1
5,D3P0
5,D3P1
5,D3P2
5,D3P3
5,D3P4
5,D4P0
5,D4P1
5,D4P2
5,D4P3
5,D4P4
6,D0P0
6,D0P1
6,D0P2
6,D0P3
6,D0P4
6,D4P2
6,D4P3
6,D4P4
9,D0P0
9,D0P1
9,D0P2
9,D0P3
9,D0P4
9,D4P2
9,D4P3
9,D4P4
10,D2P2
10,D2P3
10,D2P4
10,D3P2
10,D3P3
10,D3P4
10,D4P3
10,D4P4
11,D2P2
11,D2P3
11,D2P4
11,D4P0
11,D4P1
11,D4P2
11,D4P3
11,D4P4
12,D4P0
12,D4P1
12,D4P2
12,D4P3
12,D4P4
13,D0P2
13,D0P3
13,D0P4
13,D2P2
13,D2P3
13,D2P4
14,D0P0
14,D0P1
14,D0P2
14,D0P3
14,D0P4
14,D4P0
14,D4P1
14,D4P2
14,D4P3
14,D4P4
15,D0P0
15,D0P1
15,D4P0
15,D4P1
15,D4P2
15,D4P3
15,D4P4
18,D0P0
18,D0P1
18,D0P2
18,D0P3
18,D0P4
18,D1P0
18,D1P1
18,D4P0
18,D4P1
18,D4P2
18,D4P3
18,D4P4
19,D2P2
19,D2P3
19,D2P4
19,D3P2
19,D3P3
19,D3P4
19,D4P3
19,D4P4
20,D3P0
20,D3P1
20,D3P2
20,D3P3
20,D3P4
20,D4P0
20,D4P1
20,D4P2
20,D4P3
20,D4P4
21,D2P2
21,D2P3
21,D2P4
21,D3P0
21,D3P1
21,D3P2
21,D3P3
21,D3P4
21,D4P0
21,D4P1
21,D4P2
21,D4P3
21,D4P4
23,D0P2
23,D1P2
23,D1P4
23,D2P2
