course1,course2
1,15
1,27
1,34
1,35
1,37
2,3
2,4
2,5
2,6
3,4
3,5
3,6
3,21
3,28
3,29
3,32
3,41
3,56
3,57
3,58
3,59
3,75
4,5
4,6
4,58
4,59
4,73
4,74
4,75
4,82
5,6
5,73
5,74
5,82
6,73
6,74
6,82
8,10
8,11
8,13
9,12
9,14
9,41
9,61
9,70
9,86
10,11
10,13
11,13
12,14
12,41
12,70
12,86
13,32
13,42
13,56
13,60
13,68
14,29
14,41
14,42
14,45
14,58
14,59
14,60
14,63
14,70
14,86
15,34
15,35
15,36
15,38
15,43
15,49
15,50
15,55
15,69
15,72
15,78
16,36
16,38
16,49
16,79
18,20
18,22
18,27
18,93
19,21
19,58
19,59
19,85
20,22
20,27
20,30
20,31
20,93
20,94
21,28
21,29
21,32
21,50
21,85
22,27
22,93
23,24
23,83
23,87
23,88
23,92
24,83
24,87
24,88
24,92
25,84
25,89
25,90
25,91
27,30
27,31
27,93
27,94
28,29
28,32
28,41
28,42
28,50
28,56
28,60
29,32
29,41
29,42
29,50
29,60
30,31
30,94
31,94
32,41
32,42
32,50
32,56
32,57
32,60
32,68
34,35
34,37
35,37
35,39
36,38
36,39
36,40
36,43
36,49
36,72
38,48
38,49
38,51
38,72
39,40
39,47
39,52
39,72
40,43
40,48
40,49
40,50
40,53
40,72
40,78
40,80
41,42
41,45
41,50
41,56
41,57
41,60
41,63
41,68
41,70
41,86
42,56
42,60
42,63
42,68
42,70
43,44
43,48
43,49
43,50
43,55
43,69
43,78
43,80
43,81
44,50
44,80
44,81
45,52
45,55
45,58
45,59
45,60
45,62
45,63
45,74
45,75
46,50
46,65
46,71
47,48
47,52
48,51
48,52
48,53
48,54
48,80
49,50
49,55
49,69
49,73
49,77
49,78
49,79
49,82
50,53
50,55
50,56
50,57
50,64
50,65
50,69
50,78
50,81
51,52
51,53
51,54
51,72
52,55
52,58
52,59
52,62
52,74
52,75
55,58
55,59
55,62
55,69
55,74
55,75
55,78
56,57
56,60
56,68
58,59
58,60
58,62
58,63
58,74
58,75
59,60
59,62
59,63
59,74
59,75
60,62
60,63
60,68
60,70
61,62
61,68
62,74
62,75
63,70
64,71
65,66
65,67
65,71
66,75
66,76
69,78
70,86
73,74
73,77
73,78
73,79
73,82
74,75
74,82
75,76
77,78
77,79
77,82
78,79
78,82
79,82
80,81
83,87
83,88
83,92
84,89
84,90
84,91
93,94
