course_id,course_name,lectures,min_days
1,C1,3,3
2,C2,3,3
3,C3,3,3
4,C4,3,3
5,C5,3,3
6,C6,3,3
7,C7,5,4
8,C8,3,3
9,C9,3,3
10,C10,3,3
11,C11,3,3
12,C12,3,3
13,C13,3,3
14,C14,3,3
15,C15,3,3
16,C16,3,3
17,C17,5,4
18,C18,3,3
19,C19,3,3
20,C20,2,2
21,C21,3,3
22,C22,3,3
23,C23,3,3
24,C24,3,2
25,C25,3,3
26,C26,5,4
27,C27,3,3
28,C28,3,2
29,C29,3,3
30,C30,3,3
31,C31,3,3
32,C32,3,3
33,C33,5,4
34,C34,3,3
35,C35,3,3
36,C36,3,3
37,C37,3,3
38,C38,3,3
39,C39,3,3
40,C40,3,3
41,C41,3,2
42,C42,3,3
43,C43,3,2
44,C44,5,4
45,C45,3,3
46,C46,5,4
47,C47,3,3
48,C48,3,3
49,C49,3,3
50,C50,3,3
51,C51,3,3
52,C52,3,3
53,C53,3,3
54,C54,3,3
55,C55,3,2
56,C56,3,3
57,C57,3,3
58,C58,3,2
59,C59,3,2
60,C60,3,3
61,C61,3,2
62,C62,3,2
63,C63,3,3
64,C64,5,4
65,C65,5,5
66,C66,3,2
67,C67,3,2
68,C68,3,3
69,C69,3,2
70,C70,3,3
71,C71,5,4
72,C72,3,3
73,C73,3,3
74,C74,3,3
75,C75,3,2
76,C76,3,2
77,C77,5,4
78,C78,3,3
79,C79,3,3
80,C80,5,4
81,C81,5,4
82,C82,3,3
83,C83,3,3
84,C84,3,3
85,C85,5,5
86,C86,3,3
87,C87,7,0
88,C88,7,0
89,C89,7,0
90,C90,7,0
91,C91,7,0
92,C92,7,0
93,C93,1,0
94,C94,1,0
