arc_id,start_node,end_node
a0001,n471,n340
a0002,n340,n471
a0003,n344,n471
a0004,n471,n344
a0005,n427,n340
a0006,n340,n427
a0007,n483,n344
a0008,n344,n483
a0009,n398,n471
a0010,n471,n398
a0011,n104,n483
a0012,n483,n104
a0013,n344,n013
a0014,n013,n344
a0015,n398,n137
a0016,n137,n398
a0017,n013,n144
a0018,n144,n013
a0019,n483,n277
a0020,n277,n483
a0021,n203,n483
a0022,n483,n203
a0023,n444,n471
a0024,n471,n444
a0025,n015,n104
a0026,n104,n015
a0027,n084,n277
a0028,n277,n084
a0029,n068,n344
a0030,n344,n068
a0031,n203,n269
a0032,n269,n203
a0033,n146,n471
a0034,n471,n146
a0035,n146,n325
a0036,n325,n146
a0037,n199,n483
a0038,n483,n199
a0039,n340,n440
a0040,n440,n340
a0041,n325,n335
a0042,n335,n325
a0043,n259,n340
a0044,n340,n259
a0045,n335,n246
a0046,n246,n335
a0047,n186,n013
a0048,n013,n186
a0049,n326,n203
a0050,n203,n326
a0051,n025,n471
a0052,n471,n025
a0053,n471,n402
a0054,n402,n471
a0055,n180,n277
a0056,n277,n180
a0057,n484,n015
a0058,n015,n484
a0059,n186,n206
a0060,n206,n186
a0061,n176,n440
a0062,n440,n176
a0063,n203,n474
a0064,n474,n203
a0065,n068,n016
a0066,n016,n068
a0067,n324,n144
a0068,n144,n324
a0069,n016,n255
a0070,n255,n016
a0071,n285,n068
a0072,n068,n285
a0073,n475,n068
a0074,n068,n475
a0075,n483,n302
a0076,n302,n483
a0077,n104,n439
a0078,n439,n104
a0079,n004,n483
a0080,n483,n004
a0081,n033,n186
a0082,n186,n033
a0083,n463,n004
a0084,n004,n463
a0085,n208,n255
a0086,n255,n208
a0087,n105,n180
a0088,n180,n105
a0089,n063,n246
a0090,n246,n063
a0091,n324,n038
a0092,n038,n324
a0093,n013,n464
a0094,n464,n013
a0095,n259,n059
a0096,n059,n259
a0097,n290,n402
a0098,n402,n290
a0099,n325,n225
a0100,n225,n325
a0101,n196,n104
a0102,n104,n196
a0103,n208,n438
a0104,n438,n208
a0105,n344,n210
a0106,n210,n344
a0107,n326,n318
a0108,n318,n326
a0109,n158,n285
a0110,n285,n158
a0111,n104,n190
a0112,n190,n104
a0113,n215,n471
a0114,n471,n215
a0115,n028,n427
a0116,n427,n028
a0117,n221,n158
a0118,n158,n221
a0119,n444,n187
a0120,n187,n444
a0121,n035,n196
a0122,n196,n035
a0123,n024,n084
a0124,n084,n024
a0125,n248,n215
a0126,n215,n248
a0127,n091,n158
a0128,n158,n091
a0129,n344,n431
a0130,n431,n344
a0131,n116,n016
a0132,n016,n116
a0133,n463,n132
a0134,n132,n463
a0135,n438,n226
a0136,n226,n438
a0137,n137,n009
a0138,n009,n137
a0139,n248,n256
a0140,n256,n248
a0141,n382,n484
a0142,n484,n382
a0143,n387,n196
a0144,n196,n387
a0145,n434,n187
a0146,n187,n434
a0147,n347,n186
a0148,n186,n347
a0149,n314,n326
a0150,n326,n314
a0151,n077,n314
a0152,n314,n077
a0153,n379,n104
a0154,n104,n379
a0155,n034,n325
a0156,n325,n034
a0157,n471,n247
a0158,n247,n471
a0159,n304,n226
a0160,n226,n304
a0161,n135,n158
a0162,n158,n135
a0163,n190,n238
a0164,n238,n190
a0165,n480,n304
a0166,n304,n480
a0167,n035,n010
a0168,n010,n035
a0169,n144,n429
a0170,n429,n144
a0171,n269,n228
a0172,n228,n269
a0173,n340,n348
a0174,n348,n340
a0175,n214,n475
a0176,n475,n214
a0177,n347,n131
a0178,n131,n347
a0179,n038,n453
a0180,n453,n038
a0181,n215,n426
a0182,n426,n215
a0183,n213,n484
a0184,n484,n213
a0185,n201,n146
a0186,n146,n201
a0187,n498,n035
a0188,n035,n498
a0189,n250,n429
a0190,n429,n250
a0191,n071,n256
a0192,n256,n071
a0193,n267,n071
a0194,n071,n267
a0195,n164,n146
a0196,n146,n164
a0197,n074,n484
a0198,n484,n074
a0199,n322,n290
a0200,n290,n322
a0201,n253,n135
a0202,n135,n253
a0203,n325,n075
a0204,n075,n325
a0205,n453,n081
a0206,n081,n453
a0207,n471,n121
a0208,n121,n471
a0209,n060,n325
a0210,n325,n060
a0211,n080,n426
a0212,n426,n080
a0213,n471,n047
a0214,n047,n471
a0215,n318,n183
a0216,n183,n318
a0217,n158,n204
a0218,n204,n158
a0219,n281,n225
a0220,n225,n281
a0221,n164,n319
a0222,n319,n164
a0223,n159,n210
a0224,n210,n159
a0225,n130,n214
a0226,n214,n130
a0227,n437,n427
a0228,n427,n437
a0229,n105,n303
a0230,n303,n105
a0231,n442,n091
a0232,n091,n442
a0233,n107,n084
a0234,n084,n107
a0235,n429,n359
a0236,n359,n429
a0237,n285,n168
a0238,n168,n285
a0239,n056,n104
a0240,n104,n056
a0241,n429,n249
a0242,n249,n429
a0243,n458,n314
a0244,n314,n458
a0245,n396,n196
a0246,n196,n396
a0247,n164,n065
a0248,n065,n164
a0249,n400,n402
a0250,n402,n400
a0251,n098,n475
a0252,n475,n098
a0253,n235,n431
a0254,n431,n235
a0255,n267,n167
a0256,n167,n267
a0257,n104,n310
a0258,n310,n104
a0259,n244,n438
a0260,n438,n244
a0261,n045,n453
a0262,n453,n045
a0263,n482,n246
a0264,n246,n482
a0265,n020,n159
a0266,n159,n020
a0267,n199,n119
a0268,n119,n199
a0269,n476,n047
a0270,n047,n476
a0271,n304,n234
a0272,n234,n304
a0273,n379,n374
a0274,n374,n379
a0275,n482,n088
a0276,n088,n482
a0277,n371,n024
a0278,n024,n371
a0279,n372,n290
a0280,n290,n372
a0281,n146,n346
a0282,n346,n146
a0283,n318,n160
a0284,n160,n318
a0285,n168,n274
