option_id,resource_id
348,0
384,0
390,0
395,0
405,0
407,0
418,0
439,0
440,0
444,0
455,0
491,0
497,0
502,0
512,0
514,0
525,0
546,0
547,0
551,0
562,0
599,0
619,0
624,0
626,0
639,0
646,0
658,0
660,0
661,0
665,0
673,0
710,0
730,0
735,0
737,0
750,0
757,0
769,0
771,0
772,0
776,0
784,0
818,0
820,0
885,0
919,0
921,0
986,0
1023,0
1026,0
1041,0
1048,0
1050,0
1054,0
1063,0
1065,0
1067,0
1076,0
1077,0
1080,0
1085,0
1097,0
1134,0
1155,0
1158,0
1160,0
1168,0
1186,0
1191,0
1193,0
1194,0
1198,0
1204,0
1208,0
1246,0
1255,0
1261,0
1278,0
1289,0
1301,0
1304,0
1322,0
1361,0
1376,0
1383,0
1387,0
1402,0
1412,0
1415,0
1418,0
1439,0
1478,0
1493,0
1500,0
1504,0
1519,0
1529,0
1532,0
1535,0
1556,0
1595,0
1603,0
1609,0
1633,0
1635,0
1649,0
1654,0
1659,0
1660,0
1673,0
1710,0
1713,0
1722,0
1735,0
1736,0
1737,0
1758,0
1760,0
1762,0
1763,0
1773,0
1774,0
1784,0
1822,0
1852,0
1864,0
1865,0
1890,0
1898,0
1935,0
1946,0
1956,0
1958,0
1983,0
2003,0
2004,0
2009,0
2046,0
2057,0
2067,0
2069,0
2094,0
2114,0
2115,0
2120,0
2156,0
2157,0
2158,0
2159,0
2160,0
2162,0
2165,0
2167,0
2174,0
2178,0
2184,0
2185,0
2194,0
2195,0
2197,0
2200,0
2208,0
2213,0
2216,0
2228,0
2264,0
2265,0
2277,0
2287,0
2288,0
2290,0
2296,0
2301,0
2307,0
2309,0
2313,0
2321,0
2324,0
2336,0
2369,0
2381,0
2388,0
2390,0
2396,0
2400,0
2411,0
2418,0
2419,0
2422,0
2425,0
2435,0
2468,0
2470,0
2471,0
2472,0
2531,0
2564,0
2566,0
2567,0
2568,0
2627,0
2660,0
2662,0
2663,0
2664,0
2723,0
2756,0
2758,0
2759,0
2760,0
2819,0
2852,0
2854,0
2855,0
2856,0
2915,0
2948,0
2950,0
2951,0
2952,0
3011,0
3044,0
3046,0
3047,0
3048,0
3107,0
3140,0
3142,0
3143,0
3144,0
3203,0
3236,0
3238,0
3239,0
3240,0
3299,0
3332,0
3334,0
3339,0
3340,0
3351,0
3352,0
3357,0
3362,0
3372,0
3375,0
3377,0
3386,0
3390,0
3393,0
3394,0
3398,0
3430,0
3432,0
3433,0
3434,0
3435,0
3436,0
3489,0
3520,0
3522,0
3523,0
3524,0
3525,0
3526,0
3577,0
3608,0
3610,0
3611,0
3612,0
3613,0
3614,0
3665,0
3696,0
3698,0
3699,0
3700,0
3701,0
3702,0
3753,0
3783,0
3785,0
3786,0
3787,0
3840,0
3870,0
3872,0
3873,0
3874,0
3927,0
3957,0
3959,0
3960,0
3961,0
4014,0
4044,0
4046,0
4047,0
4048,0
8428,0
8429,0
8430,0
8433,0
8436,0
8439,0
8442,0
8445,0
8448,0
8451,0
8454,0
8457,0
8460,0
8462,0
8464,0
8466,0
6432,1
6434,1
6436,1
6437,1
6439,1
6441,1
6442,1
6444,1
6446,1
6447,1
6449,1
6451,1
6452,1
6454,1
6456,1
6457,1
6459,1
6461,1
6462,1
6464,1
6466,1
6467,1
6469,1
6471,1
6472,1
6474,1
6476,1
6477,1
6479,1
6481,1
6482,1
6484,1
6486,1
6487,1
6489,1
6491,1
6492,1
6494,1
6496,1
6497,1
6499,1
6501,1
6502,1
6504,1
6506,1
6507,1
6509,1
6511,1
6512,1
6514,1
6516,1
6517,1
6519,1
6521,1
6522,1
6524,1
6526,1
6527,1
6529,1
6531,1
6532,1
6534,1
6536,1
6537,1
6539,1
6541,1
6542,1
6544,1
6546,1
6547,1
6549,1
6551,1
6552,1
6554,1
6556,1
6557,1
6559,1
6561,1
6562,1
6564,1
6566,1
6567,1
6569,1
6571,1
6572,1
6574,1
6576,1
6577,1
6579,1
6581,1
6582,1
6584,1
6586,1
6587,1
6589,1
6591,1
6592,1
6594,1
6596,1
6597,1
6599,1
6601,1
6602,1
6604,1
6606,1
6607,1
6609,1
6611,1
6612,1
6614,1
6616,1
6617,1
6619,1
6621,1
6622,1
6624,1
6626,1
6627,1
6629,1
6631,1
8468,1
8471,1
8473,1
8474,1
8475,1
8478,1
8480,1
8481,1
8482,1
8485,1
8487,1
8488,1
8489,1
8492,1
8494,1
8495,1
8496,1
8499,1
8501,1
8502,1
8503,1
8506,1
8508,1
8509,1
8510,1
8513,1
8515,1
8516,1
8517,1
8520,1
8522,1
8523,1
118,2
158,2
160,2
161,2
162,2
165,2
169,2
170,2
173,2
176,2
177,2
178,2
179,2
184,2
185,2
186,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
197,2
203,2
204,2
207,2
213,2
216,2
217,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
230,2
236,2
274,2
275,2
276,2
279,2
280,2
284,2
285,2
286,2
287,2
288,2
291,2
292,2
293,2
297,2
298,2
302,2
304,2
305,2
306,2
310,2
311,2
312,2
315,2
317,2
318,2
320,2
325,2
327,2
329,2
332,2
333,2
334,2
339,2
785,2
821,2
822,2
825,2
826,2
827,2
828,2
830,2
831,2
833,2
834,2
837,2
840,2
842,2
844,2
846,2
847,2
849,2
851,2
854,2
855,2
857,2
859,2
861,2
863,2
865,2
866,2
867,2
868,2
872,2
875,2
877,2
880,2
881,2
886,2
922,2
923,2
926,2
927,2
928,2
929,2
931,2
932,2
934,2
935,2
938,2
941,2
943,2
945,2
947,2
948,2
950,2
952,2
955,2
956,2
958,2
960,2
962,2
964,2
966,2
967,2
968,2
969,2
973,2
976,2
978,2
981,2
982,2
4101,2
4126,2
4127,2
4131,2
4134,2
4135,2
4138,2
4140,2
4141,2
4144,2
4145,2
4146,2
4147,2
4149,2
4151,2
4163,2
4188,2
4189,2
4193,2
4196,2
4197,2
4200,2
4202,2
4203,2
4206,2
4207,2
4208,2
4209,2
4211,2
4213,2
4225,2
4250,2
4251,2
4253,2
4255,2
4260,2
4261,2
4263,2
4268,2
4270,2
4271,2
4275,2
4276,2
4287,2
4312,2
4313,2
4316,2
4317,2
4320,2
4322,2
4323,2
4327,2
4329,2
4331,2
4335,2
4338,2
4339,2
4349,2
4374,2
4375,2
4378,2
4379,2
4382,2
4384,2
4385,2
4389,2
4391,2
4393,2
4397,2
4400,2
4401,2
