project_id,required_project_id
2800,3200
2800,3199
2800,3181
2800,3180
2800,2820
2799,3199
2799,3198
2799,3200
2799,3179
2799,2819
2798,3198
2798,3197
2798,3199
2798,3178
2798,2818
2797,3197
2797,3196
2797,3198
2797,3177
2797,2817
2796,3196
2796,3195
2796,3197
2796,3176
2796,2816
2795,3195
2795,3194
2795,3196
2795,3175
2795,2815
2794,3194
2794,3193
2794,3195
2794,3174
2794,2814
2793,3193
2793,3192
2793,3194
2793,3173
2793,2813
2792,3192
2792,3191
2792,3193
2792,3172
2792,2812
2791,3191
2791,3190
2791,3192
2791,3171
2791,2811
2790,3190
2790,3189
2790,3191
2790,3170
2790,2810
2789,3189
2789,3188
2789,3190
2789,3169
2789,2809
2788,3188
2788,3187
2788,3189
2788,3168
2788,2808
2787,3187
2787,3186
2787,3188
2787,3167
2787,2807
2786,3186
2786,3185
2786,3187
2786,3166
2786,2806
2785,3185
2785,3184
2785,3186
2785,3165
2785,2805
2784,3184
2784,3183
2784,3185
2784,3164
2784,2804
2783,3183
2783,3182
2783,3184
2783,3163
2783,2803
2782,3182
2782,3181
2782,3183
2782,3162
2782,2802
2781,3181
2781,3200
2781,3182
2781,3161
2781,2801
2780,3180
2780,3179
2780,3161
2780,3160
2780,3200
2779,3179
2779,3178
2779,3180
2779,3159
2779,3199
2778,3178
2778,3177
2778,3179
2778,3158
2778,3198
2777,3177
2777,3176
2777,3178
2777,3157
2777,3197
2776,3176
2776,3175
2776,3177
2776,3156
2776,3196
2775,3175
2775,3174
2775,3176
2775,3155
2775,3195
2774,3174
2774,3173
2774,3175
2774,3154
2774,3194
2773,3173
2773,3172
2773,3174
2773,3153
2773,3193
2772,3172
2772,3171
2772,3173
2772,3152
2772,3192
2771,3171
2771,3170
2771,3172
2771,3151
2771,3191
2770,3170
2770,3169
2770,3171
2770,3150
2770,3190
2769,3169
2769,3168
2769,3170
2769,3149
2769,3189
2768,3168
2768,3167
2768,3169
2768,3148
2768,3188
2767,3167
2767,3166
2767,3168
2767,3147
2767,3187
2766,3166
2766,3165
2766,3167
2766,3146
2766,3186
2765,3165
2765,3164
2765,3166
2765,3145
2765,3185
2764,3164
2764,3163
2764,3165
2764,3144
2764,3184
2763,3163
2763,3162
2763,3164
2763,3143
2763,3183
2762,3162
2762,3161
2762,3163
2762,3142
