Employee_ID,Salary
0,78.0
1,86.0
2,93.0
3,-1.0
4,48.0
5,53.0
6,86.0
7,30.0
8,84.0
9,0.0
10,59.0
11,60.0
12,59.0
13,49.0
14,86.0
15,89.0
16,34.0
17,82.0
18,68.0
19,81.0
20,57.0
21,73.0
22,32.0
23,94.0
24,80.0
25,53.0
26,70.0
27,75.0
28,89.0
29,78.0
30,85.0
31,65.0
32,35.0
33,41.0
34,32.0
35,93.0
36,47.0
37,56.0
38,30.0
39,-4.0
40,61.0
41,50.0
42,18.0
43,-6.0
44,39.0
45,24.0
46,88.0
47,73.0
48,80.0
49,6.0
50,20.0
51,33.0
52,77.0
53,8.0
54,61.0
55,87.0
56,9.0
57,47.0
58,78.0
59,8.0
60,52.0
61,70.0
62,40.0
63,0.0
64,62.0
65,83.0
66,21.0
67,11.0
68,58.0
69,57.0
70,69.0
71,7.0
72,24.0
73,68.0
74,74.0
75,51.0
76,-10.0
77,19.0
78,50.0
79,98.0
80,73.0
81,56.0
82,24.0
83,36.0
84,67.0
85,74.0
86,28.0
87,46.0
88,58.0
89,82.0
90,23.0
91,48.0
92,34.0
93,61.0
94,80.0
95,47.0
96,81.0
97,65.0
98,72.0
99,52.0
100,48.0
101,79.0
102,37.0
103,64.0
104,-7.0
105,93.0
106,-6.0
107,15.0
108,28.0
109,67.0
110,84.0
111,89.0
112,85.0
113,7.0
114,89.0
115,9.0
116,13.0
117,73.0
118,84.0
119,81.0
120,88.0
121,23.0
122,85.0
123,30.0
124,95.0
125,48.0
126,90.0
127,81.0
128,62.0
129,46.0
130,67.0
131,38.0
132,57.0
133,60.0
134,77.0
135,60.0
136,41.0
137,48.0
138,85.0
139,37.0
140,71.0
141,18.0
142,65.0
143,68.0
144,36.0
145,90.0
146,70.0
147,96.0
148,24.0
149,53.0
150,59.0
151,79.0
152,19.0
153,61.0
154,85.0
155,48.0
156,69.0
157,46.0
158,54.0
159,93.0
160,51.0
161,64.0
162,10.0
163,-2.0
164,50.0
165,73.0
166,38.0
167,57.0
168,90.0
169,70.0
170,80.0
171,6.0
172,62.0
173,68.0
174,65.0
175,91.0
176,86.0
177,6.0
178,27.0
179,85.0
180,11.0
181,51.0
182,36.0
183,-10.0
184,11.0
185,27.0
186,7.0
187,62.0
188,80.0
189,65.0
190,67.0
191,81.0
192,88.0
193,82.0
194,27.0
195,1.0
196,88.0
197,68.0
198,52.0
199,43.0
200,75.0
201,16.0
202,-3.0
203,84.0
204,43.0
205,97.0
206,90.0
207,86.0
208,91.0
209,79.0
210,94.0
211,70.0
212,68.0
213,41.0
214,93.0
215,94.0
216,25.0
217,52.0
218,80.0
219,79.0
220,29.0
221,42.0
222,94.0
223,60.0
224,72.0
225,44.0
226,73.0
227,76.0
228,22.0
229,28.0
230,90.0
231,4.0
232,83.0
233,67.0
234,55.0
235,34.0
236,22.0
237,60.0
238,85.0
239,90.0
240,71.0
241,46.0
242,87.0
243,92.0
244,54.0
245,26.0
246,33.0
247,19.0
248,80.0
249,3.0
250,31.0
251,42.0
252,38.0
253,88.0
254,76.0
255,2.0
256,76.0
257,77.0
258,20.0
259,65.0
260,82.0
261,72.0
262,81.0
263,69.0
264,24.0
265,74.0
266,34.0
267,21.0
268,-5.0
269,55.0
270,17.0
271,18.0
272,22.0
273,68.0
274,67.0
275,84.0
276,-2.0
277,81.0
278,37.0
279,63.0
280,71.0
281,70.0
282,60.0
283,53.0
284,22.0
285,46.0
286,78.0
287,76.0
288,78.0
289,44.0
290,71.0
291,21.0
292,81.0
293,56.0
294,24.0
295,25.0
296,68.0
297,33.0
298,68.0
299,12.0
300,23.0
301,44.0
302,30.0
303,19.0
304,39.0
305,63.0
306,87.0
307,64.0
308,48.0
309,95.0
310,78.0
311,6.0
312,74.0
313,38.0
314,48.0
315,42.0
316,75.0
317,77.0
318,86.0
319,79.0
320,85.0
321,30.0
322,-3.0
323,42.0
324,75.0
325,58.0
326,78.0
327,35.0
328,91.0
329,62.0
330,88.0
331,52.0
332,85.0
333,84.0
334,63.0
335,36.0
336,72.0
337,59.0
338,-3.0
